z,n,symbol,idx,energy_shift,energy,unc_e,ripl_shift,jp,jp_order,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hl,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_mn,electric_quadrupole,unc_eq,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
66,83,Dy,0,,0,,,7/2-,1,4.2,,2,m,252,12,EC+B+,100,,,,,,,,,-0.119,0.007,-0.62,0.05,23-Aug-2022,Balraj Singh and Jun Chen,2025-10-17
66,83,Dy,1,,1034.6,0.2,,(3/2-),1,,,,,,,,,,,,,,,,,,,,,23-Aug-2022,Balraj Singh and Jun Chen,2025-10-17
66,83,Dy,2,,1073.23,0.09,,(13/2)+,1,12.5,,15,ns,0.0000000125,0.0000000015,,,,,,,,,,,,,,,23-Aug-2022,Balraj Singh and Jun Chen,2025-10-17
66,83,Dy,3,,1090.73,0.12,,(9/2-),1,,,,,,,,,,,,,,,,,,,,,23-Aug-2022,Balraj Singh and Jun Chen,2025-10-17
66,83,Dy,4,,1406.7,0.28,,(1/2+),1,,,,,,,,,,,,,,,,,,,,,23-Aug-2022,Balraj Singh and Jun Chen,2025-10-17
66,83,Dy,5,,1501,0.4,,(3/2+),1,,,,,,,,,,,,,,,,,,,,,23-Aug-2022,Balraj Singh and Jun Chen,2025-10-17
66,83,Dy,6,,1572.8,0.35,,(3/2+),2,,,,,,,,,,,,,,,,,,,,,23-Aug-2022,Balraj Singh and Jun Chen,2025-10-17
66,83,Dy,7,,1583.64,0.14,,(11/2-),1,,,,,,,,,,,,,,,,,,,,,23-Aug-2022,Balraj Singh and Jun Chen,2025-10-17
66,83,Dy,8,,1626.3,0.5,,(5/2+),1,,,,,,,,,,,,,,,,,,,,,23-Aug-2022,Balraj Singh and Jun Chen,2025-10-17
66,83,Dy,9,,1663.45,0.16,,(9/2+),1,,,,,,,,,,,,,,,,,,,,,23-Aug-2022,Balraj Singh and Jun Chen,2025-10-17
66,83,Dy,10,,1703.71,0.2,,(11/2)+,1,,,,,,,,,,,,,,,,,,,,,23-Aug-2022,Balraj Singh and Jun Chen,2025-10-17
66,83,Dy,11,,1712.79,0.18,,(9/2-),2,,,,,,,,,,,,,,,,,,,,,23-Aug-2022,Balraj Singh and Jun Chen,2025-10-17
66,83,Dy,12,,1727.5,0.6,,(1/2),1,,,,,,,,,,,,,,,,,,,,,23-Aug-2022,Balraj Singh and Jun Chen,2025-10-17
66,83,Dy,13,,1775.6,0.5,,(1/2),2,,,,,,,,,,,,,,,,,,,,,23-Aug-2022,Balraj Singh and Jun Chen,2025-10-17
66,83,Dy,14,,1782.21,0.3,,(7/2+),1,,,,,,,,,,,,,,,,,,,,,23-Aug-2022,Balraj Singh and Jun Chen,2025-10-17
66,83,Dy,15,,2165.82,0.28,,(9/2 11/2 13/2)+,1,,,,,,,,,,,,,,,,,,,,,23-Aug-2022,Balraj Singh and Jun Chen,2025-10-17
66,83,Dy,16,,2251.84,0.13,,(17/2)+,1,,,,,,,,,,,,,,,,,,,,,23-Aug-2022,Balraj Singh and Jun Chen,2025-10-17
66,83,Dy,17,,2291.74,0.22,,(11/2- 13/2-),1,,,,,,,,,,,,,,,,,,,,,23-Aug-2022,Balraj Singh and Jun Chen,2025-10-17
66,83,Dy,18,,2312.22,0.3,,(9/2- 11/2-),1,,,,,,,,,,,,,,,,,,,,,23-Aug-2022,Balraj Singh and Jun Chen,2025-10-17
66,83,Dy,19,,2321.19,0.24,,(9/2- 11/2-),2,,,,,,,,,,,,,,,,,,,,,23-Aug-2022,Balraj Singh and Jun Chen,2025-10-17
66,83,Dy,20,,2358,0.6,,(9/2- 11/2-),3,,,,,,,,,,,,,,,,,,,,,23-Aug-2022,Balraj Singh and Jun Chen,2025-10-17
66,83,Dy,21,,2402.44,0.31,,(11/2- 13/2-),2,,,,,,,,,,,,,,,,,,,,,23-Aug-2022,Balraj Singh and Jun Chen,2025-10-17
66,83,Dy,22,,2409.18,0.22,,(9/2- 11/2-),4,,,,,,,,,,,,,,,,,,,,,23-Aug-2022,Balraj Singh and Jun Chen,2025-10-17
66,83,Dy,23,,2466.23,0.29,,(9/2- 11/2-),5,,,,,,,,,,,,,,,,,,,,,23-Aug-2022,Balraj Singh and Jun Chen,2025-10-17
66,83,Dy,24,,2487.23,0.19,,(9/2- 11/2-),6,,,,,,,,,,,,,,,,,,,,,23-Aug-2022,Balraj Singh and Jun Chen,2025-10-17
66,83,Dy,25,,2550.44,0.17,,(21/2)+,1,,,,,,,,,,,,,,,,,,,,,23-Aug-2022,Balraj Singh and Jun Chen,2025-10-17
66,83,Dy,26,,2607.08,0.26,,(11/2-),2,,,,,,,,,,,,,,,,,,,,,23-Aug-2022,Balraj Singh and Jun Chen,2025-10-17
66,83,Dy,27,,2660.94,0.34,,(27/2)-,1,0.490,,15,s,0.49,0.015,IT,99.3,0.3,EC+B+,0.7,0.3,,,,,,,,,23-Aug-2022,Balraj Singh and Jun Chen,2025-10-17
66,83,Dy,28,,2718.5,0.4,,(9/2- 11/2-),7,,,,,,,,,,,,,,,,,,,,,23-Aug-2022,Balraj Singh and Jun Chen,2025-10-17
66,83,Dy,29,,2728.64,0.32,,(9/2- 11/2- 13/2-),1,,,,,,,,,,,,,,,,,,,,,23-Aug-2022,Balraj Singh and Jun Chen,2025-10-17
66,83,Dy,30,,2771,0.6,,(1/2+ 3/2+),1,,,,,,,,,,,,,,,,,,,,,23-Aug-2022,Balraj Singh and Jun Chen,2025-10-17
66,83,Dy,31,,2788.6,0.5,,(1/2+ 3/2+),2,,,,,,,,,,,,,,,,,,,,,23-Aug-2022,Balraj Singh and Jun Chen,2025-10-17
66,83,Dy,32,,2789.17,0.22,,(9/2- 11/2-),8,,,,,,,,,,,,,,,,,,,,,23-Aug-2022,Balraj Singh and Jun Chen,2025-10-17
66,83,Dy,33,,2827.32,0.19,,(11/2-),3,,,,,,,,,,,,,,,,,,,,,23-Aug-2022,Balraj Singh and Jun Chen,2025-10-17
66,83,Dy,34,,2882.79,0.23,,(11/2- 13/2-),3,,,,,,,,,,,,,,,,,,,,,23-Aug-2022,Balraj Singh and Jun Chen,2025-10-17
66,83,Dy,35,,2938.1,0.6,,(1/2+ 3/2+),3,,,,,,,,,,,,,,,,,,,,,23-Aug-2022,Balraj Singh and Jun Chen,2025-10-17
66,83,Dy,36,,2980.4,0.25,,(9/2- 11/2-),9,,,,,,,,,,,,,,,,,,,,,23-Aug-2022,Balraj Singh and Jun Chen,2025-10-17
66,83,Dy,37,,3014.2,0.4,,(9/2- 11/2-),10,,,,,,,,,,,,,,,,,,,,,23-Aug-2022,Balraj Singh and Jun Chen,2025-10-17
