z,n,symbol,idx,energy_shift,energy,unc_e,ripl_shift,jp,jp_order,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hl,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_mn,electric_quadrupole,unc_eq,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
7,7,N,0,,0,,,1+,1,STABLE,,,,,,,,,,,,,,,0,0.403573,0.000002,0.02044,0.00003,1-JUL-1990,F. AJZENBERG-SELOVE,2025-10-16
7,7,N,1,,2312.798,0.011,,0+,1,68,,3,fs,0.000000000000068,0.000000000000003,,,,,,,,,,1,,,,,1-JUL-1990,F. AJZENBERG-SELOVE,2025-10-16
7,7,N,2,,3948.1,0.2,,1+,2,4.8,,18,fs,0.0000000000000048,0.0000000000000018,,,,,,,,,,0,,,,,1-JUL-1990,F. AJZENBERG-SELOVE,2025-10-16
7,7,N,3,,4915.1,1.4,,0-,1,5.3,,10,fs,0.0000000000000053,0.000000000000001,,,,,,,,,,0,,,,,1-JUL-1990,F. AJZENBERG-SELOVE,2025-10-16
7,7,N,4,,5105.89,0.1,,2-,1,4.35,,5,ps,0.00000000000435,0.00000000000005,,,,,,,,,,0,1.32,0.08,,,1-JUL-1990,F. AJZENBERG-SELOVE,2025-10-16
7,7,N,5,,5691.44,0.13,,1-,1,11,,6,fs,0.000000000000011,0.000000000000006,,,,,,,,,,0,,,,,1-JUL-1990,F. AJZENBERG-SELOVE,2025-10-16
7,7,N,6,,5834.25,0.14,,3-,1,8.30,,16,ps,0.0000000000083,0.00000000000016,,,,,,,,,,0,,,,,1-JUL-1990,F. AJZENBERG-SELOVE,2025-10-16
7,7,N,7,,6203.5,0.6,,1+,3,111,,14,fs,0.000000000000111,0.000000000000014,,,,,,,,,,0,,,,,1-JUL-1990,F. AJZENBERG-SELOVE,2025-10-16
7,7,N,8,,6446.17,0.1,,3+,1,430,,42,fs,0.00000000000043,0.000000000000042,,,,,,,,,,0,,,,,1-JUL-1990,F. AJZENBERG-SELOVE,2025-10-16
7,7,N,9,,7029.12,0.12,,2+,1,3.7,,4,fs,0.0000000000000037,4e-16,,,,,,,,,,0,,,,,1-JUL-1990,F. AJZENBERG-SELOVE,2025-10-16
7,7,N,10,,7966.9,0.5,,2-,2,2.5,,7,eV,1.8249508602855427e-16,5.109862408799519e-17,P,99.3,0.2,IT,0.7,0.2,,,,0,,,,,1-JUL-1990,F. AJZENBERG-SELOVE,2025-10-16
7,7,N,11,,8062,1,,1-,2,23,,1,keV,1.9836422394408075e-20,8.624531475829599e-22,P,99.947,0.012,IT,0.053,0.012,,,,1,,,,,1-JUL-1990,F. AJZENBERG-SELOVE,2025-10-16
7,7,N,12,,8490,2,,4-,1,13.2,,21,fs,0.0000000000000132,0.0000000000000021,P,79,8,IT,21,8,,,,0,,,,,1-JUL-1990,F. AJZENBERG-SELOVE,2025-10-16
7,7,N,13,,8618,2,,0+,2,3.8,,3,keV,1.200625565977331e-19,9.478622889294718e-21,P,99.86,,IT,0.14,,,,,1,,,,,1-JUL-1990,F. AJZENBERG-SELOVE,2025-10-16
7,7,N,14,,8776,7,,0-,2,410,,20,keV,1.112774914808258e-21,5.428170316137844e-23,P,99.989,0.003,IT,0.011,0.003,,,,1,,,,,1-JUL-1990,F. AJZENBERG-SELOVE,2025-10-16
7,7,N,15,,8907,3,,3-,2,16,,2,keV,2.851485719196161e-20,3.564357148995201e-21,P,99.9977,0.0004,IT,0.0024,0.0004,,,,1,,,,,1-JUL-1990,F. AJZENBERG-SELOVE,2025-10-16
7,7,N,16,,8964,2,,5+,1,73,,12,fs,0.000000000000073,0.000000000000012,P,81,5,IT,19,5,,,,0,,,,,1-JUL-1990,F. AJZENBERG-SELOVE,2025-10-16
7,7,N,17,,8980,3,,2+,2,8,,2,keV,5.702971438392322e-20,1.4257428595980805e-20,P,,,IT,,,,,,0,,,,,1-JUL-1990,F. AJZENBERG-SELOVE,2025-10-16
7,7,N,18,,9129,0.5,,3+,2,9,,4,fs,0.000000000000009,0.000000000000004,P,80,9,IT,20,9,,,,0,,,,,1-JUL-1990,F. AJZENBERG-SELOVE,2025-10-16
7,7,N,19,,9172.25,0.12,,2+,3,122,,8,eV,3.739653402224473e-18,2.452231739163589e-19,P,94.8,0.4,IT,5.2,0.4,,,,1,,,,,1-JUL-1990,F. AJZENBERG-SELOVE,2025-10-16
7,7,N,20,,9388,3,,2-,3,13,,3,keV,3.509520885164506e-20,8.098894350379629e-21,P,100,,,,,,,,0,,,,,1-JUL-1990,F. AJZENBERG-SELOVE,2025-10-16
7,7,N,21,,9509,3,,2-,4,41,,2,keV,1.112774914808258e-20,5.428170316137843e-22,P,99.9902,0.0011,IT,0.0098,0.0011,,,,1,,,,,1-JUL-1990,F. AJZENBERG-SELOVE,2025-10-16
7,7,N,22,,9703,4,,1+,4,15,,3,keV,3.0415847671425715e-20,6.083169534285143e-21,P,99.99959,0.0001,IT,0.00041,0.0001,,,,0,,,,,1-JUL-1990,F. AJZENBERG-SELOVE,2025-10-16
7,7,N,23,,10079,10,,(3+),1,10,LT,,keV,4.5623771507138576e-20,0,,,,,,,,,,,,,,,1-JUL-1990,F. AJZENBERG-SELOVE,2025-10-16
7,7,N,24,,10101,15,,2+ 1+,1,12,,3,keV,3.8019809589282146e-20,9.504952397320536e-21,P,99.9983,0.0005,IT,0.0017,0.0005,,,,0,,,,,1-JUL-1990,F. AJZENBERG-SELOVE,2025-10-16
7,7,N,25,,10226,8,,1(-),1,80,,15,keV,5.702971438392322e-21,1.0693071446985604e-21,P,99.995,0.0019,IT,0.005,0.0019,,,,0,,,,,1-JUL-1990,F. AJZENBERG-SELOVE,2025-10-16
7,7,N,26,,10432,7,,2+,4,33,,3,keV,1.3825385305193506e-20,1.256853209563046e-21,P,99.961,0.004,IT,0.039,0.004,,,,1,,,,,1-JUL-1990,F. AJZENBERG-SELOVE,2025-10-16
7,7,N,27,,10534,20,,(1-),1,140,,,keV,3.2588408219384697e-21,0,P,100,,,,,,,,,,,,,1-JUL-1990,F. AJZENBERG-SELOVE,2025-10-16
7,7,N,28,,10812,15,,5+,2,0.39,,16,eV,0.0000000000000011698402950548351,4.799344800224964e-16,P,95.9,0.8,IT,4.1,0.8,,,,0,,,,,1-JUL-1990,F. AJZENBERG-SELOVE,2025-10-16
7,7,N,29,,11000,30,,,,165,,30,keV,2.7650770610387014e-21,5.027412838252184e-22,IT,,,P,,,,,,,,,,,1-JUL-1990,F. AJZENBERG-SELOVE,2025-10-16
7,7,N,30,,11050,5,,3+,3,1.2,,4,keV,3.8019809589282146e-19,1.267326986309405e-19,P,99.982,0.007,IT,0.018,0.007,,,,,,,,,1-JUL-1990,F. AJZENBERG-SELOVE,2025-10-16
7,7,N,31,,11070,,,1+,5,100,,,keV,4.5623771507138576e-21,0,N,,,P,,,D,,,0,,,,,1-JUL-1990,F. AJZENBERG-SELOVE,2025-10-16
7,7,N,32,,11210,30,,,,220,,30,keV,2.073807795779026e-21,2.827919721516854e-22,D,,,IT,,,P,,,1,,,,,1-JUL-1990,F. AJZENBERG-SELOVE,2025-10-16
7,7,N,33,,11240,15,,3-,3,11,,,keV,4.1476155915580525e-20,0,IT,,,P,,,N,,,0,,,,,1-JUL-1990,F. AJZENBERG-SELOVE,2025-10-16
7,7,N,34,,11270,15,,2-,5,180,,,keV,2.5346539726188097e-21,0,N,,,P,,,D,,,0,,,,,1-JUL-1990,F. AJZENBERG-SELOVE,2025-10-16
7,7,N,35,,11357,15,,1+,6,30,,,keV,1.5207923835712858e-20,0,N,,,P,,,D,,,0,,,,,1-JUL-1990,F. AJZENBERG-SELOVE,2025-10-16
7,7,N,36,,11513.5,1.5,,2+ 3+,1,7.0,,5,keV,6.51768164387694e-20,4.655486888483528e-21,D,,,P,,,,,,,,,,,1-JUL-1990,F. AJZENBERG-SELOVE,2025-10-16
7,7,N,37,,11676,18,,1- 2-,1,150,,20,keV,3.0415847671425716e-21,4.0554463561900954e-22,D,,,P,,,N,,,,,,,,1-JUL-1990,F. AJZENBERG-SELOVE,2025-10-16
7,7,N,38,,11741,6,,1- 2-,2,40,,9,keV,1.1405942876784644e-20,2.566337147276545e-21,P,,,D,,,IT,,,,,,,,1-JUL-1990,F. AJZENBERG-SELOVE,2025-10-16
7,7,N,39,,11761,6,,3- 4-,1,78,,6,keV,5.849201475274176e-21,4.499385750210905e-22,IT,,,P,,,D,,,,,,,,1-JUL-1990,F. AJZENBERG-SELOVE,2025-10-16
7,7,N,40,,11807,7,,2- (1+),1,119,,9,keV,3.8339303787511406e-21,2.89961121082019e-22,N,,,P,,,D,,,,,,,,1-JUL-1990,F. AJZENBERG-SELOVE,2025-10-16
7,7,N,41,,11874,6,,2- (1-),1,101,,9,keV,4.517205099716691e-21,4.025232267074279e-22,N,,,P,,,D,,,,,,,,1-JUL-1990,F. AJZENBERG-SELOVE,2025-10-16
7,7,N,42,,12200,19,,1- 2-,3,300,,30,keV,1.5207923835712858e-21,1.5207923835712859e-22,N,,,P,,,D,,,,,,,,1-JUL-1990,F. AJZENBERG-SELOVE,2025-10-16
7,7,N,43,,12408,3,,(4-),1,34,,3,keV,1.3418756325628993e-20,1.1840079110849113e-21,N,,,P,,,D,,,,,,,,1-JUL-1990,F. AJZENBERG-SELOVE,2025-10-16
7,7,N,44,,12418,3,,3- 4-,2,41,,4,keV,1.112774914808258e-20,1.0856340632275687e-21,P,,,D,,,,,,,,,,,1-JUL-1990,F. AJZENBERG-SELOVE,2025-10-16
7,7,N,45,,12495,9,,(1+),1,39,,5,keV,1.1698402950548352e-20,1.4997952500703014e-21,N,,,A,,,D,,,1,,,,,1-JUL-1990,F. AJZENBERG-SELOVE,2025-10-16
7,7,N,46,,12594,3,,3+,4,48,,2,keV,9.504952397320536e-21,3.96039683221689e-22,N,,,D,,,A,,,,,,,,1-JUL-1990,F. AJZENBERG-SELOVE,2025-10-16
7,7,N,47,,12690,5,,3-,4,18,,5,keV,2.5346539726188098e-20,7.040705479496694e-21,P,,,D,,,A,,,,,,,,1-JUL-1990,F. AJZENBERG-SELOVE,2025-10-16
7,7,N,48,,12708,9,,,,43,,15,keV,1.0610179420264784e-20,3.701225379162134e-21,P,,,D,,,,,,,,,,,1-JUL-1990,F. AJZENBERG-SELOVE,2025-10-16
7,7,N,49,,12789,5,,4+,1,16,,3,keV,2.851485719196161e-20,5.346535723492802e-21,P,,,A,,,D,,,,,,,,1-JUL-1990,F. AJZENBERG-SELOVE,2025-10-16
7,7,N,50,,12813,4,,4-,2,5,,2,keV,9.124754301427715e-20,3.649901720571086e-20,D,,,A,,,P,,,,,,,,1-JUL-1990,F. AJZENBERG-SELOVE,2025-10-16
7,7,N,51,,12826,6,,,,11,,3,keV,4.1476155915580525e-20,1.1311678886067415e-20,N,,,P,,,D,,,,,,,,1-JUL-1990,F. AJZENBERG-SELOVE,2025-10-16
7,7,N,52,,12857,6,,,,78,,10,keV,5.849201475274176e-21,7.498976250351507e-22,N,,,P,,,D,,,,,,,,1-JUL-1990,F. AJZENBERG-SELOVE,2025-10-16
7,7,N,53,,12883,8,,,,134,,11,keV,3.404759067696908e-21,2.7949514734825365e-22,P,,,D,,,,,,,,,,,1-JUL-1990,F. AJZENBERG-SELOVE,2025-10-16
7,7,N,54,,12922,5,,4+,2,22,,4,keV,2.0738077957790263e-20,3.770559628689139e-21,P,,,D,,,A,,,,,,,,1-JUL-1990,F. AJZENBERG-SELOVE,2025-10-16
7,7,N,55,,13007,17,,,,120,,30,keV,3.8019809589282144e-21,9.504952397320536e-22,IT,,,P,,,,,,,,,,,1-JUL-1990,F. AJZENBERG-SELOVE,2025-10-16
7,7,N,56,,13167,5,,1+,7,15,,5,keV,3.0415847671425715e-20,1.0138615890475237e-20,IT,,,N,,,P,,,,,,,,1-JUL-1990,F. AJZENBERG-SELOVE,2025-10-16
7,7,N,57,,13192,9,,3+,5,65,,10,keV,7.019041770329012e-21,1.0798525800506173e-21,A,100,,,,,,,,,,,,,1-JUL-1990,F. AJZENBERG-SELOVE,2025-10-16
7,7,N,58,,13243,10,,2-,6,92,,5,keV,4.959105598602019e-21,2.695166086196749e-22,IT,,,N,,,P,,,,,,,,1-JUL-1990,F. AJZENBERG-SELOVE,2025-10-16
7,7,N,59,,13300,40,,(2-),1,1000,,150,keV,4.562377150713858e-22,6.843565726070786e-23,IT,,,P,,,,,,1,,,,,1-JUL-1990,F. AJZENBERG-SELOVE,2025-10-16
7,7,N,60,,13656,5,,(2+ 3+),1,90,AP,,keV,5.0693079452376195e-21,0,N,,,P,,,D,,,,,,,,1-JUL-1990,F. AJZENBERG-SELOVE,2025-10-16
7,7,N,61,,13714,5,,2- 3+,1,105,,25,keV,4.34512109591796e-21,1.0345526418852284e-21,IT,,,N,,,P,,,,,,,,1-JUL-1990,F. AJZENBERG-SELOVE,2025-10-16
7,7,N,62,,13740,10,,1+,8,180,,20,keV,2.5346539726188097e-21,2.816282191798677e-22,IT,,,N,,,P,,,1,,,,,1-JUL-1990,F. AJZENBERG-SELOVE,2025-10-16
7,7,N,63,,13770,10,,(1+),2,120,,,keV,3.8019809589282144e-21,0,P,,,A,,,,,,,,,,,1-JUL-1990,F. AJZENBERG-SELOVE,2025-10-16
7,7,N,64,,14040,30,,,,100,,,keV,4.5623771507138576e-21,0,N,,,P,,,D,,,,,,,,1-JUL-1990,F. AJZENBERG-SELOVE,2025-10-16
7,7,N,65,,14160,30,,,,230,,,keV,1.9836422394408077e-21,0,N,,,P,,,D,,,,,,,,1-JUL-1990,F. AJZENBERG-SELOVE,2025-10-16
7,7,N,66,,14250,50,,3+,6,420,,100,keV,1.08628027397949e-21,2.586381604713071e-22,P,,,A,,,,,,,,,,,1-JUL-1990,F. AJZENBERG-SELOVE,2025-10-16
7,7,N,67,,14300,20,,,,150,,,keV,3.0415847671425716e-21,0,P,,,A,,,,,,,,,,,1-JUL-1990,F. AJZENBERG-SELOVE,2025-10-16
7,7,N,68,,14560,20,,,,100,,,keV,4.5623771507138576e-21,0,N,,,P,,,A,,,,,,,,1-JUL-1990,F. AJZENBERG-SELOVE,2025-10-16
7,7,N,69,,14590,30,,,,50,,,keV,9.124754301427715e-21,0,N,,,P,,,A,,,,,,,,1-JUL-1990,F. AJZENBERG-SELOVE,2025-10-16
7,7,N,70,,14660,10,,5-,1,100,,20,keV,4.5623771507138576e-21,9.124754301427716e-22,A,100,,,,,,,,0,,,,,1-JUL-1990,F. AJZENBERG-SELOVE,2025-10-16
7,7,N,71,,14730,25,,(2-),2,125,,,keV,3.649901720571086e-21,0,IT,,,N,,,P,,,1,,,,,1-JUL-1990,F. AJZENBERG-SELOVE,2025-10-16
7,7,N,72,,14860,30,,,,140,,,keV,3.2588408219384697e-21,0,N,,,P,,,D,,,,,,,,1-JUL-1990,F. AJZENBERG-SELOVE,2025-10-16
7,7,N,73,,14920,30,,,,43,,8,keV,1.0610179420264784e-20,1.9739868688864715e-21,N,,,P,,,A,,,,,,,,1-JUL-1990,F. AJZENBERG-SELOVE,2025-10-16
7,7,N,74,,15020,20,,3- 4-,3,60,AP,,keV,7.603961917856429e-21,0,IT,,,N,,,P,,,1,,,,,1-JUL-1990,F. AJZENBERG-SELOVE,2025-10-16
