z,n,symbol,idx,energy_shift,energy,unc_e,ripl_shift,jp,jp_order,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hl,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_mn,electric_quadrupole,unc_eq,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
67,87,Ho,0,,0,,,2-,1,11.76,,19,m,705.6,11.4,EC+B+,99.981,0.005,A,0.019,0.005,,,,,-0.641,0.006,0.19,0.1,1-May-2008,C. W. Reich,2025-10-17
67,87,Ho,1,,26.9,0.2,,1+,1,,,,,,,,,,,,,,,,,,,,,1-May-2008,C. W. Reich,2025-10-17
67,87,Ho,2,X,0,8,243,8+,1,3.10,,14,m,186,8.4,EC+B+,100,,A,0.001,,IT,0,,,,,,,1-May-2008,C. W. Reich,2025-10-17
67,87,Ho,3,X,21,,243,,,,,,,,,,,,,,,,,,,,,,,1-May-2008,C. W. Reich,2025-10-17
67,87,Ho,4,X,285,,243,(9+),1,,,,,,,,,,,,,,,,,,,,,1-May-2008,C. W. Reich,2025-10-17
67,87,Ho,5,X,339,,243,(10+),1,,,,,,,,,,,,,,,,,,,-1,0.5,1-May-2008,C. W. Reich,2025-10-17
67,87,Ho,6,X,521,,243,(11-),1,,,,,,,,,,,,,,,,,,,,,1-May-2008,C. W. Reich,2025-10-17
67,87,Ho,7,X,813,,243,(12-),1,,,,,,,,,,,,,,,,,,,,,1-May-2008,C. W. Reich,2025-10-17
67,87,Ho,8,X,854,,243,(11+),1,,,,,,,,,,,,,,,,,,,,,1-May-2008,C. W. Reich,2025-10-17
67,87,Ho,9,X,890,,243,(12+),1,,,,,,,,,,,,,,,,,,,,,1-May-2008,C. W. Reich,2025-10-17
67,87,Ho,10,X,1096,,243,(13-),1,,,,,,,,,,,,,,,,,,,,,1-May-2008,C. W. Reich,2025-10-17
67,87,Ho,11,X,1198,,243,(13),1,,,,,,,,,,,,,,,,,,,,,1-May-2008,C. W. Reich,2025-10-17
67,87,Ho,12,X,1375,,243,(14-),1,,,,,,,,,,,,,,,,,,,,,1-May-2008,C. W. Reich,2025-10-17
67,87,Ho,13,X,1454,,243,(13+),1,,,,,,,,,,,,,,,,,,,,,1-May-2008,C. W. Reich,2025-10-17
67,87,Ho,14,X,1476,,243,(14+),1,,,,,,,,,,,,,,,,,,,,,1-May-2008,C. W. Reich,2025-10-17
67,87,Ho,15,X,1686,,243,(15-),1,,,,,,,,,,,,,,,,,,,,,1-May-2008,C. W. Reich,2025-10-17
67,87,Ho,16,X,1728,,243,(15),1,,,,,,,,,,,,,,,,,,,,,1-May-2008,C. W. Reich,2025-10-17
67,87,Ho,17,X,1972,,243,(16-),1,,,,,,,,,,,,,,,,,,,,,1-May-2008,C. W. Reich,2025-10-17
67,87,Ho,18,X,2186,,243,(16),1,,,,,,,,,,,,,,,,,,,,,1-May-2008,C. W. Reich,2025-10-17
67,87,Ho,19,X,2231,,243,(16+),1,,,,,,,,,,,,,,,,,,,,,1-May-2008,C. W. Reich,2025-10-17
67,87,Ho,20,X,2301,,243,(17-),1,,,,,,,,,,,,,,,,,,,,,1-May-2008,C. W. Reich,2025-10-17
67,87,Ho,21,X,2384,,243,(18-),1,,,,,,,,,,,,,,,,,,,,,1-May-2008,C. W. Reich,2025-10-17
67,87,Ho,22,X,2438,,243,(17),1,,,,,,,,,,,,,,,,,,,,,1-May-2008,C. W. Reich,2025-10-17
67,87,Ho,23,X,2640,,243,(18-),2,,,,,,,,,,,,,,,,,,,,,1-May-2008,C. W. Reich,2025-10-17
67,87,Ho,24,X,2740,,243,(19),1,,,,,,,,,,,,,,,,,,,,,1-May-2008,C. W. Reich,2025-10-17
67,87,Ho,25,X,3060,,243,(18+),1,,,,,,,,,,,,,,,,,,,,,1-May-2008,C. W. Reich,2025-10-17
67,87,Ho,26,X,3072,,243,(19-),1,,,,,,,,,,,,,,,,,,,,,1-May-2008,C. W. Reich,2025-10-17
67,87,Ho,27,X,3396,,243,(20-),1,,,,,,,,,,,,,,,,,,,,,1-May-2008,C. W. Reich,2025-10-17
67,87,Ho,28,X,3453,,243,(20),1,,,,,,,,,,,,,,,,,,,,,1-May-2008,C. W. Reich,2025-10-17
67,87,Ho,29,X,3637,,243,(21),1,,,,,,,,,,,,,,,,,,,,,1-May-2008,C. W. Reich,2025-10-17
67,87,Ho,30,X,3638,,243,(21),2,,,,,,,,,,,,,,,,,,,,,1-May-2008,C. W. Reich,2025-10-17
67,87,Ho,31,X,4068,,243,,,,,,,,,,,,,,,,,,,,,,,1-May-2008,C. W. Reich,2025-10-17
67,87,Ho,32,X,4413,,243,(23),1,,,,,,,,,,,,,,,,,,,,,1-May-2008,C. W. Reich,2025-10-17
67,87,Ho,33,X,4551,,243,,,,,,,,,,,,,,,,,,,,,,,1-May-2008,C. W. Reich,2025-10-17
67,87,Ho,34,X,4633,,243,,,,,,,,,,,,,,,,,,,,,,,1-May-2008,C. W. Reich,2025-10-17
67,87,Ho,35,X,4927,,243,,,,,,,,,,,,,,,,,,,,,,,1-May-2008,C. W. Reich,2025-10-17
67,87,Ho,36,X,5089,,243,,,,,,,,,,,,,,,,,,,,,,,1-May-2008,C. W. Reich,2025-10-17
67,87,Ho,37,X,5170,,243,(25),1,,,,,,,,,,,,,,,,,,,,,1-May-2008,C. W. Reich,2025-10-17
67,87,Ho,38,X,5435,,243,(26),1,,,,,,,,,,,,,,,,,,,,,1-May-2008,C. W. Reich,2025-10-17

