z,n,symbol,idx,energy_shift,energy,unc_e,ripl_shift,jp,jp_order,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hl,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_mn,electric_quadrupole,unc_eq,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
60,94,Nd,0,,0,,,0+,1,25.9,,2,s,25.9,0.2,B-,100,,,,,,,,,,,,,1-May-2008,C. W. Reich,2025-10-17
60,94,Nd,1,,70.8,0.1,,2+,1,7.7,,20,ns,0.0000000077,0.000000002,,,,,,,,,,,,,,,1-May-2008,C. W. Reich,2025-10-17
60,94,Nd,2,,233.2,0.1,,4+,1,,,,,,,,,,,,,,,,,,,,,1-May-2008,C. W. Reich,2025-10-17
60,94,Nd,3,X,233.2,,,,,1.3,,5,us,0.0000013,0.0000005,,,,,,,,,,,,,,,1-May-2008,C. W. Reich,2025-10-17
60,94,Nd,4,,481.9,,,6+,1,,,,,,,,,,,,,,,,,,,,,1-May-2008,C. W. Reich,2025-10-17
60,94,Nd,5,,810.1,,,8+,1,,,,,,,,,,,,,,,,,,,,,1-May-2008,C. W. Reich,2025-10-17
60,94,Nd,6,,961.6,0.5,,1 2+,1,,,,,,,,,,,,,,,,,,,,,1-May-2008,C. W. Reich,2025-10-17
60,94,Nd,7,,1003.1,0.4,,(2-),1,,,,,,,,,,,,,,,,,,,,,1-May-2008,C. W. Reich,2025-10-17
60,94,Nd,8,,1027.6,0.3,,2+ 3 4+,1,,,,,,,,,,,,,,,,,,,,,1-May-2008,C. W. Reich,2025-10-17
60,94,Nd,9,,1128.4,0.4,,(4-),1,,,,,,,,,,,,,,,,,,,,,1-May-2008,C. W. Reich,2025-10-17
60,94,Nd,10,,1210.8,,,10+,1,,,,,,,,,,,,,,,,,,,,,1-May-2008,C. W. Reich,2025-10-17
60,94,Nd,11,,1325.8,,,(6-),1,,,,,,,,,,,,,,,,,,,,,1-May-2008,C. W. Reich,2025-10-17
60,94,Nd,12,,1349,,,(5-),1,1,GT,,us,0.000001,,,,,,,,,,,,,,,,1-May-2008,C. W. Reich,2025-10-17
60,94,Nd,13,,1523.9,0.5,,,,,,,,,,,,,,,,,,,,,,,,1-May-2008,C. W. Reich,2025-10-17
60,94,Nd,14,,1584.1,0.8,,,,,,,,,,,,,,,,,,,,,,,,1-May-2008,C. W. Reich,2025-10-17
60,94,Nd,15,,1594.3,,,(8-),1,,,,,,,,,,,,,,,,,,,,,1-May-2008,C. W. Reich,2025-10-17
60,94,Nd,16,,1677.3,,,12+,1,1.9,,,ps,0.0000000000019,,,,,,,,,,,,,,,,1-May-2008,C. W. Reich,2025-10-17
60,94,Nd,17,,1932.6,,,(10-),1,,,,,,,,,,,,,,,,,,,,,1-May-2008,C. W. Reich,2025-10-17
60,94,Nd,18,,2194.4,1.1,,,,,,,,,,,,,,,,,,,,,,,,1-May-2008,C. W. Reich,2025-10-17
60,94,Nd,19,,2202.4,,,14+,1,1.0,,,ps,0.000000000001,,,,,,,,,,,,,,,,1-May-2008,C. W. Reich,2025-10-17
60,94,Nd,20,,2338.4,,,(12-),1,,,,,,,,,,,,,,,,,,,,,1-May-2008,C. W. Reich,2025-10-17
60,94,Nd,21,,2779,,,16+,1,0.69,,,ps,0.00000000000069,,,,,,,,,,,,,,,,1-May-2008,C. W. Reich,2025-10-17
60,94,Nd,22,,2808.4,,,(14-),1,,,,,,,,,,,,,,,,,,,,,1-May-2008,C. W. Reich,2025-10-17
60,94,Nd,23,,3339.1,,,(16-),1,,,,,,,,,,,,,,,,,,,,,1-May-2008,C. W. Reich,2025-10-17
60,94,Nd,24,,3399.3,,,(18+),1,,,,,,,,,,,,,,,,,,,,,1-May-2008,C. W. Reich,2025-10-17

