z,n,symbol,idx,energy_shift,energy,unc_e,ripl_shift,jp,jp_order,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hl,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_mn,electric_quadrupole,unc_eq,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
62,92,Sm,0,,0,,,0+,1,STABLE,,,,,,,,,,,,,,,,,,,,1-May-2008,C. W. Reich,2025-10-17
62,92,Sm,1,,81.981,0.015,,2+,1,3.02,,4,ns,0.00000000302,0.00000000004,,,,,,,,,,,0.78,0.04,-1.87,0.04,1-May-2008,C. W. Reich,2025-10-17
62,92,Sm,2,,266.817,0.022,,4+,1,172,,4,ps,0.000000000172,0.000000000004,,,,,,,,,,,1.35,0.15,,,1-May-2008,C. W. Reich,2025-10-17
62,92,Sm,3,,544.1,0.04,,6+,1,22.7,,6,ps,0.0000000000227,0.0000000000006,,,,,,,,,,,1.9,0.3,,,1-May-2008,C. W. Reich,2025-10-17
62,92,Sm,4,,902.75,0.19,,8+,1,5.9,,3,ps,0.0000000000059,0.0000000000003,,,,,,,,,,,,,,,1-May-2008,C. W. Reich,2025-10-17
62,92,Sm,5,,921.345,0.019,,1-,1,21,,1,fs,0.000000000000021,0.000000000000001,,,,,,,,,,,,,,,1-May-2008,C. W. Reich,2025-10-17
62,92,Sm,6,,1012.4,0.03,,3-,1,23,,3,fs,0.000000000000023,0.000000000000003,,,,,,,,,,,,,,,1-May-2008,C. W. Reich,2025-10-17
62,92,Sm,7,,1099.26,0.05,,0+,2,0.90,,21,ps,0.0000000000009,0.00000000000021,,,,,,,,,,,,,,,1-May-2008,C. W. Reich,2025-10-17
62,92,Sm,8,,1177.812,0.021,,2+,2,2.4,GT,,ps,0.0000000000024,,,,,,,,,,,,,,,,1-May-2008,C. W. Reich,2025-10-17
62,92,Sm,9,,1181.26,0.04,,5-,1,,,,,,,,,,,,,,,,,,,,,1-May-2008,C. W. Reich,2025-10-17
62,92,Sm,10,,1202.44,0.06,,0+,3,,,,,,,,,,,,,,,,,,,,,1-May-2008,C. W. Reich,2025-10-17
62,92,Sm,11,,1286.29,0.04,,2+,3,,,,,,,,,,,,,,,,,,,,,1-May-2008,C. W. Reich,2025-10-17
62,92,Sm,12,,1333,0.9,,10+,1,2.45,,12,ps,0.00000000000245,0.00000000000012,,,,,,,,,,,,,,,1-May-2008,C. W. Reich,2025-10-17
62,92,Sm,13,,1337.6,0.05,,4+,2,,,,,,,,,,,,,,,,,,,,,1-May-2008,C. W. Reich,2025-10-17
62,92,Sm,14,,1430.93,0.14,,7-,1,,,,,,,,,,,,,,,,,,,,,1-May-2008,C. W. Reich,2025-10-17
62,92,Sm,15,,1440.04,0.03,,2+,4,0.42,,3,ps,0.00000000000042,0.00000000000003,,,,,,,,,,,,,,,1-May-2008,C. W. Reich,2025-10-17
62,92,Sm,16,,1472.16,0.12,,(4+),1,,,,,,,,,,,,,,,,,,,,,1-May-2008,C. W. Reich,2025-10-17
62,92,Sm,17,,1475,,,(6+),1,,,,,,,,,,,,,,,,,,,,,1-May-2008,C. W. Reich,2025-10-17
62,92,Sm,18,,1475.81,0.04,,1-,2,,,,,,,,,,,,,,,,,,,,,1-May-2008,C. W. Reich,2025-10-17
62,92,Sm,19,,1515.18,0.05,,2-,1,,,,,,,,,,,,,,,,,,,,,1-May-2008,C. W. Reich,2025-10-17
62,92,Sm,20,,1539.19,0.04,,3+,1,,,,,,,,,,,,,,,,,,,,,1-May-2008,C. W. Reich,2025-10-17
62,92,Sm,21,,1577,,,6+,2,,,,,,,,,,,,,,,,,,,,,1-May-2008,C. W. Reich,2025-10-17
62,92,Sm,22,,1584.5,0.05,,3-,2,,,,,,,,,,,,,,,,,,,,,1-May-2008,C. W. Reich,2025-10-17
62,92,Sm,23,,1614.77,0.07,,,,,,,,,,,,,,,,,,,,,,,,1-May-2008,C. W. Reich,2025-10-17
62,92,Sm,24,,1660.65,0.04,,4-,1,,,,,,,,,,,,,,,,,,,,,1-May-2008,C. W. Reich,2025-10-17
62,92,Sm,25,,1664.82,0.07,,4+,3,,,,,,,,,,,,,,,,,,,,,1-May-2008,C. W. Reich,2025-10-17
62,92,Sm,26,,1673.9,0.07,,2,1,,,,,,,,,,,,,,,,,,,,,1-May-2008,C. W. Reich,2025-10-17
62,92,Sm,27,,1706.71,0.05,,3+,2,,,,,,,,,,,,,,,,,,,,,1-May-2008,C. W. Reich,2025-10-17
62,92,Sm,28,,1741,,,(8+),1,,,,,,,,,,,,,,,,,,,,,1-May-2008,C. W. Reich,2025-10-17
62,92,Sm,29,,1754.51,0.05,,,,,,,,,,,,,,,,,,,,,,,,1-May-2008,C. W. Reich,2025-10-17
62,92,Sm,30,,1755.67,0.04,,1- 2 3-,1,,,,,,,,,,,,,,,,,,,,,1-May-2008,C. W. Reich,2025-10-17
62,92,Sm,31,,1760,,,9-,1,,,,,,,,,,,,,,,,,,,,,1-May-2008,C. W. Reich,2025-10-17
62,92,Sm,32,,1764.4,0.4,,,,,,,,,,,,,,,,,,,,,,,,1-May-2008,C. W. Reich,2025-10-17
62,92,Sm,33,,1774.31,0.08,,5-,2,,,,,,,,,,,,,,,,,,,,,1-May-2008,C. W. Reich,2025-10-17
62,92,Sm,34,,1804.99,0.1,,5+,1,,,,,,,,,,,,,,,,,,,,,1-May-2008,C. W. Reich,2025-10-17
62,92,Sm,35,,1815.04,0.05,,2+ 3,1,,,,,,,,,,,,,,,,,,,,,1-May-2008,C. W. Reich,2025-10-17
62,92,Sm,36,,1818.37,0.08,,4+ 5 6+,1,,,,,,,,,,,,,,,,,,,,,1-May-2008,C. W. Reich,2025-10-17
62,92,Sm,37,,1825.9,1,,12+,1,1.39,,9,ps,0.00000000000139,0.00000000000009,,,,,,,,,,,,,,,1-May-2008,C. W. Reich,2025-10-17
62,92,Sm,38,,1878.7,0.04,,2+,5,,,,,,,,,,,,,,,,,,,,,1-May-2008,C. W. Reich,2025-10-17
62,92,Sm,39,,1890.45,0.11,,1-,3,,,,,,,,,,,,,,,,,,,,,1-May-2008,C. W. Reich,2025-10-17
62,92,Sm,40,,1900,,,,,,,,,,,,,,,,,,,,,,,,,1-May-2008,C. W. Reich,2025-10-17
62,92,Sm,41,,1922.05,0.04,,2+,6,,,,,,,,,,,,,,,,,,,,,1-May-2008,C. W. Reich,2025-10-17
62,92,Sm,42,,1925.56,0.16,,,,,,,,,,,,,,,,,,,,,,,,1-May-2008,C. W. Reich,2025-10-17
62,92,Sm,43,,1945.61,0.06,,,,,,,,,,,,,,,,,,,,,,,,1-May-2008,C. W. Reich,2025-10-17
62,92,Sm,44,,1973.76,0.05,,1- 2+,1,,,,,,,,,,,,,,,,,,,,,1-May-2008,C. W. Reich,2025-10-17
62,92,Sm,45,,1974,,,(6+),2,,,,,,,,,,,,,,,,,,,,,1-May-2008,C. W. Reich,2025-10-17
62,92,Sm,46,,1986.59,0.04,,3-,3,,,,,,,,,,,,,,,,,,,,,1-May-2008,C. W. Reich,2025-10-17
62,92,Sm,47,,2013.4,0.6,,,,,,,,,,,,,,,,,,,,,,,,1-May-2008,C. W. Reich,2025-10-17
62,92,Sm,48,,2015.4,0.06,,(1- 2+),1,,,,,,,,,,,,,,,,,,,,,1-May-2008,C. W. Reich,2025-10-17
62,92,Sm,49,,2062,4,,,,,,,,,,,,,,,,,,,,,,,,1-May-2008,C. W. Reich,2025-10-17
62,92,Sm,50,,2065.9,0.08,,,,,,,,,,,,,,,,,,,,,,,,1-May-2008,C. W. Reich,2025-10-17
62,92,Sm,51,,2069,,,(10+),1,,,,,,,,,,,,,,,,,,,,,1-May-2008,C. W. Reich,2025-10-17
62,92,Sm,52,,2069.07,0.04,,(2+),1,,,,,,,,,,,,,,,,,,,,,1-May-2008,C. W. Reich,2025-10-17
62,92,Sm,53,,2130,4,,,,,,,,,,,,,,,,,,,,,,,,1-May-2008,C. W. Reich,2025-10-17
62,92,Sm,54,,2131.82,0.06,,(2+),2,,,,,,,,,,,,,,,,,,,,,1-May-2008,C. W. Reich,2025-10-17
62,92,Sm,55,,2139.82,0.04,,(1 2+),1,,,,,,,,,,,,,,,,,,,,,1-May-2008,C. W. Reich,2025-10-17
62,92,Sm,56,,2154.3,,,7+,1,,,,,,,,,,,,,,,,,,,,,1-May-2008,C. W. Reich,2025-10-17
62,92,Sm,57,,2163,,,11-,1,,,,,,,,,,,,,,,,,,,,,1-May-2008,C. W. Reich,2025-10-17
62,92,Sm,58,,2196.2,0.5,,(1 2+),2,,,,,,,,,,,,,,,,,,,,,1-May-2008,C. W. Reich,2025-10-17
62,92,Sm,59,,2232.8,0.4,,,,,,,,,,,,,,,,,,,,,,,,1-May-2008,C. W. Reich,2025-10-17
62,92,Sm,60,,2275,4,,,,,,,,,,,,,,,,,,,,,,,,1-May-2008,C. W. Reich,2025-10-17
62,92,Sm,61,,2288,4,,,,,,,,,,,,,,,,,,,,,,,,1-May-2008,C. W. Reich,2025-10-17
62,92,Sm,62,,2293.85,0.12,,(2+ 3 4+),1,,,,,,,,,,,,,,,,,,,,,1-May-2008,C. W. Reich,2025-10-17
