z,n,symbol,idx,energy_shift,energy,unc_e,ripl_shift,jp,jp_order,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hl,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_mn,electric_quadrupole,unc_eq,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
69,87,Tm,0,,0,,,2-,1,83.8,,18,s,83.8,1.8,EC+B+,99.936,0.01,A,0.064,0.01,,,,,0.4,0.03,-0.48,0.11,1-Mar-2012,C. W. REICH,2025-10-17
69,87,Tm,1,,115.2,0.2,,1+,1,,,,,,,,,,,,,,,,,,,,,1-Mar-2012,C. W. REICH,2025-10-17
69,87,Tm,2,,317.5,,,1+,2,,,,,,,,,,,,,,,,,,,,,1-Mar-2012,C. W. REICH,2025-10-17
69,87,Tm,3,X,0,,196.4,,,,,,,,,,,,,,,,,,,,,,,1-Mar-2012,C. W. REICH,2025-10-17
69,87,Tm,4,X,203.6,,196.4,(11-),1,400,AP,,ns,0.0000004,,,,,,,,,,,,,,,,1-Mar-2012,C. W. REICH,2025-10-17
69,87,Tm,5,X,771.2,,196.4,(13-),1,,,,,,,,,,,,,,,,,,,,,1-Mar-2012,C. W. REICH,2025-10-17
69,87,Tm,6,X,1366,,196.4,(15-),1,,,,,,,,,,,,,,,,,,,,,1-Mar-2012,C. W. REICH,2025-10-17
69,87,Tm,7,X,1725.7,,196.4,(16-),1,,,,,,,,,,,,,,,,,,,,,1-Mar-2012,C. W. REICH,2025-10-17
69,87,Tm,8,X,2056.6,,196.4,(17-),1,,,,,,,,,,,,,,,,,,,,,1-Mar-2012,C. W. REICH,2025-10-17
69,87,Tm,9,X,2335.6,,196.4,(18-),1,,,,,,,,,,,,,,,,,,,,,1-Mar-2012,C. W. REICH,2025-10-17
69,87,Tm,10,X,2535,,196.4,(19-),1,,,,,,,,,,,,,,,,,,,,,1-Mar-2012,C. W. REICH,2025-10-17
69,87,Tm,11,X,3234,,196.4,(21-),1,,,,,,,,,,,,,,,,,,,,,1-Mar-2012,C. W. REICH,2025-10-17
69,87,Tm,12,X,3407,,196.4,(22-),1,,,,,,,,,,,,,,,,,,,,,1-Mar-2012,C. W. REICH,2025-10-17
69,87,Tm,13,X,3978,,196.4,(23-),1,,,,,,,,,,,,,,,,,,,,,1-Mar-2012,C. W. REICH,2025-10-17
69,87,Tm,14,X,4773,,196.4,(25-),1,,,,,,,,,,,,,,,,,,,,,1-Mar-2012,C. W. REICH,2025-10-17

