z,n,symbol,idx,energy_shift,energy,unc_e,ripl_shift,jp,jp_order,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hl,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_mn,electric_quadrupole,unc_eq,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
73,84,Ta,0,,0,,,1/2+,1,10.1,,4,ms,0.0101,0.0004,A,96.6,1.2,P,3.4,1.2,,,,,,,,,4-Dec-2015,N. NICA,2025-10-17
73,84,Ta,1,,22,5,,11/2-,1,4.3,,1,ms,0.0043,0.0001,A,100,,,,,,,,,,,,,4-Dec-2015,N. NICA,2025-10-17
73,84,Ta,2,,864,0.3,,15/2(-),1,,,,,,,,,,,,,,,,,,,,,4-Dec-2015,N. NICA,2025-10-17
73,84,Ta,3,,1567.2,0.5,,19/2(-),1,,,,,,,,,,,,,,,,,,,,,4-Dec-2015,N. NICA,2025-10-17
73,84,Ta,4,,1589,10,,(25/2-),1,1.7,,1,ms,0.0017,0.0001,A,100,,,,,,,,,,,,,4-Dec-2015,N. NICA,2025-10-17
73,84,Ta,5,,1717.8,0.6,,(23/2-),1,5,AP,,ns,0.000000005,,,,,,,,,,,,,,,,4-Dec-2015,N. NICA,2025-10-17
73,84,Ta,6,,2360.4,0.6,,(27/2-),1,,,,,,,,,,,,,,,,,,,,,4-Dec-2015,N. NICA,2025-10-17
73,84,Ta,7,,2927.7,0.7,,(29/2+),1,,,,,,,,,,,,,,,,,,,,,4-Dec-2015,N. NICA,2025-10-17
73,84,Ta,8,,3065.4,0.8,,(31/2+),1,,,,,,,,,,,,,,,,,,,,,4-Dec-2015,N. NICA,2025-10-17
73,84,Ta,9,,3353.9,0.8,,,,,,,,,,,,,,,,,,,,,,,,4-Dec-2015,N. NICA,2025-10-17
73,84,Ta,10,,3678.1,0.9,,,,,,,,,,,,,,,,,,,,,,,,4-Dec-2015,N. NICA,2025-10-17
73,84,Ta,11,,3986.9,0.9,,,,,,,,,,,,,,,,,,,,,,,,4-Dec-2015,N. NICA,2025-10-17

