z,n,symbol,idx,energy_shift,energy,unc_e,ripl_shift,jp,jp_order,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hl,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_mn,electric_quadrupole,unc_eq,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
65,94,Tb,0,,0,,,3/2+,1,STABLE,,,,,,,,,,,,,,,,2.009,0.004,1.432,0.008,31-Dec-2010,C. W. Reich,2025-10-17
65,94,Tb,1,,57.9964,0.0015,,5/2+,1,55.0,,22,ps,0.000000000055,0.0000000000022,,,,,,,,,,,,,,,31-Dec-2010,C. W. Reich,2025-10-17
65,94,Tb,2,,137.5055,0.0017,,7/2+,1,41.3,,21,ps,0.0000000000413,0.0000000000021,,,,,,,,,,,,,,,31-Dec-2010,C. W. Reich,2025-10-17
65,94,Tb,3,,241.15,0.04,,9/2+,1,27.2,,12,ps,0.0000000000272,0.0000000000012,,,,,,,,,,,,,,,31-Dec-2010,C. W. Reich,2025-10-17
65,94,Tb,4,,348.2832,0.0015,,5/2+,2,,,,,,,,,,,,,,,,,,,,,31-Dec-2010,C. W. Reich,2025-10-17
65,94,Tb,5,,362.05,0.04,,11/2+,1,15.2,,2,ps,0.0000000000152,0.0000000000002,,,,,,,,,,,,,,,31-Dec-2010,C. W. Reich,2025-10-17
65,94,Tb,6,,363.5449,0.0014,,5/2-,1,153,,5,ps,0.000000000153,0.000000000005,,,,,,,,,,,,,,,31-Dec-2010,C. W. Reich,2025-10-17
65,94,Tb,7,,388.4,,,7/2-,1,,,,,,,,,,,,,,,,,,,,,31-Dec-2010,C. W. Reich,2025-10-17
65,94,Tb,8,,428.2,,,7/2+,2,,,,,,,,,,,,,,,,,,,,,31-Dec-2010,C. W. Reich,2025-10-17
65,94,Tb,9,,454.6,,,(9/2-),1,,,,,,,,,,,,,,,,,,,,,31-Dec-2010,C. W. Reich,2025-10-17
65,94,Tb,10,,510.4,0.05,,13/2+,1,9.17,,22,ps,0.00000000000917,0.00000000000022,,,,,,,,,,,,,,,31-Dec-2010,C. W. Reich,2025-10-17
65,94,Tb,11,,532,,,(9/2+),1,,,,,,,,,,,,,,,,,,,,,31-Dec-2010,C. W. Reich,2025-10-17
65,94,Tb,12,,536.7,,,,,,,,,,,,,,,,,,,,,,,,,31-Dec-2010,C. W. Reich,2025-10-17
65,94,Tb,13,,545.1,,,11/2-,1,,,,,,,,,,,,,,,,,,,,,31-Dec-2010,C. W. Reich,2025-10-17
65,94,Tb,14,,547.6,,,7/2-,2,,,,,,,,,,,,,,,,,,,,,31-Dec-2010,C. W. Reich,2025-10-17
65,94,Tb,15,,580.808,0.006,,1/2+,1,0.76,,10,ps,0.00000000000076,0.0000000000001,,,,,,,,,,,,,,,31-Dec-2010,C. W. Reich,2025-10-17
65,94,Tb,16,,617.621,0.015,,3/2+,2,,,,,,,,,,,,,,,,,,,,,31-Dec-2010,C. W. Reich,2025-10-17
65,94,Tb,17,,668.91,0.05,,15/2+,1,6.2,,4,ps,0.0000000000062,0.0000000000004,,,,,,,,,,,,,,,31-Dec-2010,C. W. Reich,2025-10-17
65,94,Tb,18,,674.235,0.017,,5/2+,3,2.3,LT,,ps,0.0000000000023,,,,,,,,,,,,,,,,31-Dec-2010,C. W. Reich,2025-10-17
65,94,Tb,19,,677.9,,,(9/2-),2,,,,,,,,,,,,,,,,,,,,,31-Dec-2010,C. W. Reich,2025-10-17
65,94,Tb,20,,761.3,,,(7/2+),1,,,,,,,,,,,,,,,,,,,,,31-Dec-2010,C. W. Reich,2025-10-17
65,94,Tb,21,,777.1,,,7/2+,3,,,,,,,,,,,,,,,,,,,,,31-Dec-2010,C. W. Reich,2025-10-17
65,94,Tb,22,,799,,,15/2-,1,,,,,,,,,,,,,,,,,,,,,31-Dec-2010,C. W. Reich,2025-10-17
65,94,Tb,23,,822.2,,,11/2-,2,,,,,,,,,,,,,,,,,,,,,31-Dec-2010,C. W. Reich,2025-10-17
65,94,Tb,24,,854.962,0.014,,(1/2-),1,,,,,,,,,,,,,,,,,,,,,31-Dec-2010,C. W. Reich,2025-10-17
65,94,Tb,25,,857.3,,,(9/2+),2,,,,,,,,,,,,,,,,,,,,,31-Dec-2010,C. W. Reich,2025-10-17
65,94,Tb,26,,859.98,0.07,,17/2+,1,3.98,,20,ps,0.00000000000398,0.0000000000002,,,,,,,,,,,,,,,31-Dec-2010,C. W. Reich,2025-10-17
65,94,Tb,27,,891.25,0.06,,(5/2-),1,,,,,,,,,,,,,,,,,,,,,31-Dec-2010,C. W. Reich,2025-10-17
65,94,Tb,28,,946,,,(1/2+&3/2-),1,,,,,,,,,,,,,,,,,,,,,31-Dec-2010,C. W. Reich,2025-10-17
65,94,Tb,29,,971,,,(1/2+),1,,,,,,,,,,,,,,,,,,,,,31-Dec-2010,C. W. Reich,2025-10-17
65,94,Tb,30,,978,,,(3/2+),1,,,,,,,,,,,,,,,,,,,,,31-Dec-2010,C. W. Reich,2025-10-17
65,94,Tb,31,,1008.6,,,(11/2+),1,,,,,,,,,,,,,,,,,,,,,31-Dec-2010,C. W. Reich,2025-10-17
65,94,Tb,32,,1018,,,(5/2+),1,,,,,,,,,,,,,,,,,,,,,31-Dec-2010,C. W. Reich,2025-10-17
65,94,Tb,33,,1049,,,(7/2+),2,,,,,,,,,,,,,,,,,,,,,31-Dec-2010,C. W. Reich,2025-10-17
65,94,Tb,34,,1052.32,0.07,,19/2+,1,2.45,,8,ps,0.00000000000245,0.00000000000008,,,,,,,,,,,,,,,31-Dec-2010,C. W. Reich,2025-10-17
65,94,Tb,35,,1086.5,,,,,,,,,,,,,,,,,,,,,,,,,31-Dec-2010,C. W. Reich,2025-10-17
65,94,Tb,36,,1099,,,(5/2+),2,,,,,,,,,,,,,,,,,,,,,31-Dec-2010,C. W. Reich,2025-10-17
65,94,Tb,37,,1102.5,,,(7/2+),3,,,,,,,,,,,,,,,,,,,,,31-Dec-2010,C. W. Reich,2025-10-17
65,94,Tb,38,,1156,,,(1/2+),2,,,,,,,,,,,,,,,,,,,,,31-Dec-2010,C. W. Reich,2025-10-17
65,94,Tb,39,,1218,,,(3/2+&5/2+),1,,,,,,,,,,,,,,,,,,,,,31-Dec-2010,C. W. Reich,2025-10-17
65,94,Tb,40,,1264,,,,,,,,,,,,,,,,,,,,,,,,,31-Dec-2010,C. W. Reich,2025-10-17
65,94,Tb,41,,1282.56,0.1,,21/2+,1,1.57,,16,ps,0.00000000000157,0.00000000000016,,,,,,,,,,,,,,,31-Dec-2010,C. W. Reich,2025-10-17
65,94,Tb,42,,1325,,,,,,,,,,,,,,,,,,,,,,,,,31-Dec-2010,C. W. Reich,2025-10-17
65,94,Tb,43,,1358,,,,,,,,,,,,,,,,,,,,,,,,,31-Dec-2010,C. W. Reich,2025-10-17
65,94,Tb,44,,1392,,,(7/2+&9/2+),1,,,,,,,,,,,,,,,,,,,,,31-Dec-2010,C. W. Reich,2025-10-17
65,94,Tb,45,,1439,,,,,,,,,,,,,,,,,,,,,,,,,31-Dec-2010,C. W. Reich,2025-10-17
