z,n,symbol,idx,energy_shift,energy,unc_e,ripl_shift,jp,jp_order,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hl,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_mn,electric_quadrupole,unc_eq,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
68,93,Er,0,,0,,,3/2-,1,3.21,,3,h,11556,108,EC+B+,100,,,,,,,,,-0.364,0.003,1.363,0.008,1-Jun-2011,C. W. Reich,2025-10-17
68,93,Er,1,,59.501,0.024,,5/2-,1,0.15,LE,,ns,0.00000000015,,,,,,,,,,,,,,,,1-Jun-2011,C. W. Reich,2025-10-17
68,93,Er,2,,143.89,0.03,,7/2-,1,0.18,LE,,ns,0.00000000018,,,,,,,,,,,,,,,,1-Jun-2011,C. W. Reich,2025-10-17
68,93,Er,3,,172.06,0.03,,5/2-,2,0.35,,10,ns,0.00000000035,0.0000000001,,,,,,,,,,,,,,,1-Jun-2011,C. W. Reich,2025-10-17
68,93,Er,4,,189.42,0.03,,9/2+,1,84,,10,ns,0.000000084,0.00000001,,,,,,,,,,,,,,,1-Jun-2011,C. W. Reich,2025-10-17
68,93,Er,5,,212.91,0.03,,5/2+,1,0.81,,6,ns,0.00000000081,0.00000000006,,,,,,,,,,,,,,,1-Jun-2011,C. W. Reich,2025-10-17
68,93,Er,6,,217.34,0.04,,7/2+,1,0.55,,5,ns,0.00000000055,0.00000000005,,,,,,,,,,,,,,,1-Jun-2011,C. W. Reich,2025-10-17
68,93,Er,7,,249.77,0.03,,9/2-,1,,,,,,,,,,,,,,,,,,,,,1-Jun-2011,C. W. Reich,2025-10-17
68,93,Er,8,,266.44,0.03,,7/2-,2,0.21,,3,ns,0.00000000021,0.00000000003,,,,,,,,,,,,,,,1-Jun-2011,C. W. Reich,2025-10-17
68,93,Er,9,,267.45,0.04,,13/2+,1,2.0,,2,ns,0.000000002,0.0000000002,,,,,,,,,,,,,,,1-Jun-2011,C. W. Reich,2025-10-17
68,93,Er,10,,296.69,0.04,,11/2+,1,,,,,,,,,,,,,,,,,,,,,1-Jun-2011,C. W. Reich,2025-10-17
68,93,Er,11,,369.48,0.05,,3/2+,1,,,,,,,,,,,,,,,,,,,,,1-Jun-2011,C. W. Reich,2025-10-17
68,93,Er,12,,388.46,0.06,,11/2-,1,,,,,,,,,,,,,,,,,,,,,1-Jun-2011,C. W. Reich,2025-10-17
68,93,Er,13,,390.2,0.04,,9/2-,2,,,,,,,,,,,,,,,,,,,,,1-Jun-2011,C. W. Reich,2025-10-17
68,93,Er,14,,396.44,0.04,,11/2-,2,7.5,,7,us,0.0000075,0.0000007,IT,100,,,,,,,,,,,,,1-Jun-2011,C. W. Reich,2025-10-17
68,93,Er,15,,463.11,0.09,,3/2+,2,,,,,,,,,,,,,,,,,,,,,1-Jun-2011,C. W. Reich,2025-10-17
68,93,Er,16,,466.2,0.1,,17/2+,1,,,,,,,,,,,,,,,,,,,,,1-Jun-2011,C. W. Reich,2025-10-17
68,93,Er,17,,481,,,1/2+,1,,,,,,,,,,,,,,,,,,,,,1-Jun-2011,C. W. Reich,2025-10-17
68,93,Er,18,,496.28,0.08,,5/2+,2,,,,,,,,,,,,,,,,,,,,,1-Jun-2011,C. W. Reich,2025-10-17
68,93,Er,19,,508.85,0.1,,15/2+,1,,,,,,,,,,,,,,,,,,,,,1-Jun-2011,C. W. Reich,2025-10-17
68,93,Er,20,,522,,,,,,,,,,,,,,,,,,,,,,,,,1-Jun-2011,C. W. Reich,2025-10-17
68,93,Er,21,,531.11,0.23,,13/2-,1,,,,,,,,,,,,,,,,,,,,,1-Jun-2011,C. W. Reich,2025-10-17
68,93,Er,22,,540,,,(11/2-),1,,,,,,,,,,,,,,,,,,,,,1-Jun-2011,C. W. Reich,2025-10-17
68,93,Er,23,,563,,,,,,,,,,,,,,,,,,,,,,,,,1-Jun-2011,C. W. Reich,2025-10-17
68,93,Er,24,,578.5,0.3,,13/2-,2,,,,,,,,,,,,,,,,,,,,,1-Jun-2011,C. W. Reich,2025-10-17
68,93,Er,25,,590.06,0.12,,7/2+,2,,,,,,,,,,,,,,,,,,,,,1-Jun-2011,C. W. Reich,2025-10-17
68,93,Er,26,,621,,,,,,,,,,,,,,,,,,,,,,,,,1-Jun-2011,C. W. Reich,2025-10-17
68,93,Er,27,,635,,,,,,,,,,,,,,,,,,,,,,,,,1-Jun-2011,C. W. Reich,2025-10-17
68,93,Er,28,,665,,,,,,,,,,,,,,,,,,,,,,,,,1-Jun-2011,C. W. Reich,2025-10-17
68,93,Er,29,,704,,,,,,,,,,,,,,,,,,,,,,,,,1-Jun-2011,C. W. Reich,2025-10-17
68,93,Er,30,,712,,,,,,,,,,,,,,,,,,,,,,,,,1-Jun-2011,C. W. Reich,2025-10-17
68,93,Er,31,,724.84,0.2,,(3/2-),1,,,,,,,,,,,,,,,,,,,,,1-Jun-2011,C. W. Reich,2025-10-17
68,93,Er,32,,726,0.4,,15/2-,1,,,,,,,,,,,,,,,,,,,,,1-Jun-2011,C. W. Reich,2025-10-17
68,93,Er,33,,738,,,,,,,,,,,,,,,,,,,,,,,,,1-Jun-2011,C. W. Reich,2025-10-17
68,93,Er,34,,782.5,0.4,,15/2-,2,,,,,,,,,,,,,,,,,,,,,1-Jun-2011,C. W. Reich,2025-10-17
68,93,Er,35,,783.5,0.1,,21/2+,1,,,,,,,,,,,,,,,,,,,,,1-Jun-2011,C. W. Reich,2025-10-17
68,93,Er,36,,843.16,0.21,,(5/2-),1,,,,,,,,,,,,,,,,,,,,,1-Jun-2011,C. W. Reich,2025-10-17
68,93,Er,37,,848.93,0.13,,19/2+,1,,,,,,,,,,,,,,,,,,,,,1-Jun-2011,C. W. Reich,2025-10-17
68,93,Er,38,,891.6,0.4,,17/2-,1,,,,,,,,,,,,,,,,,,,,,1-Jun-2011,C. W. Reich,2025-10-17
68,93,Er,39,,1006.7,0.5,,17/2-,2,,,,,,,,,,,,,,,,,,,,,1-Jun-2011,C. W. Reich,2025-10-17
68,93,Er,40,,1135.6,0.4,,19/2-,1,,,,,,,,,,,,,,,,,,,,,1-Jun-2011,C. W. Reich,2025-10-17
68,93,Er,41,,1208.6,0.2,,25/2+,1,,,,,,,,,,,,,,,,,,,,,1-Jun-2011,C. W. Reich,2025-10-17
68,93,Er,42,,1249.5,0.5,,19/2-,2,,,,,,,,,,,,,,,,,,,,,1-Jun-2011,C. W. Reich,2025-10-17
68,93,Er,43,,1301.85,0.15,,23/2+,1,,,,,,,,,,,,,,,,,,,,,1-Jun-2011,C. W. Reich,2025-10-17
68,93,Er,44,,1312.7,0.3,,21/2-,1,,,,,,,,,,,,,,,,,,,,,1-Jun-2011,C. W. Reich,2025-10-17
68,93,Er,45,,1481.2,0.19,,(5/2 7/2-),1,,,,,,,,,,,,,,,,,,,,,1-Jun-2011,C. W. Reich,2025-10-17
68,93,Er,46,,1509.1,0.6,,21/2-,2,,,,,,,,,,,,,,,,,,,,,1-Jun-2011,C. W. Reich,2025-10-17
68,93,Er,47,,1589.7,0.4,,23/2-,1,,,,,,,,,,,,,,,,,,,,,1-Jun-2011,C. W. Reich,2025-10-17
68,93,Er,48,,1727.1,0.2,,29/2+,1,,,,,,,,,,,,,,,,,,,,,1-Jun-2011,C. W. Reich,2025-10-17
68,93,Er,49,,1772.2,0.3,,25/2-,1,,,,,,,,,,,,,,,,,,,,,1-Jun-2011,C. W. Reich,2025-10-17
68,93,Er,50,,1783.6,0.6,,23/2-,2,,,,,,,,,,,,,,,,,,,,,1-Jun-2011,C. W. Reich,2025-10-17
68,93,Er,51,,1849.9,0.3,,27/2+,1,,,,,,,,,,,,,,,,,,,,,1-Jun-2011,C. W. Reich,2025-10-17
68,93,Er,52,,1960.25,0.17,,(7/2-),1,,,,,,,,,,,,,,,,,,,,,1-Jun-2011,C. W. Reich,2025-10-17
68,93,Er,53,,2044.6,0.3,,9/2+,2,,,,,,,,,,,,,,,,,,,,,1-Jun-2011,C. W. Reich,2025-10-17
68,93,Er,54,,2063.09,0.21,,(5/2+ 7/2),1,,,,,,,,,,,,,,,,,,,,,1-Jun-2011,C. W. Reich,2025-10-17
68,93,Er,55,,2063.2,0.4,,27/2-,1,,,,,,,,,,,,,,,,,,,,,1-Jun-2011,C. W. Reich,2025-10-17
68,93,Er,56,,2066.89,0.17,,(5/2 7/2-),2,,,,,,,,,,,,,,,,,,,,,1-Jun-2011,C. W. Reich,2025-10-17
68,93,Er,57,,2071.2,0.6,,25/2-,2,,,,,,,,,,,,,,,,,,,,,1-Jun-2011,C. W. Reich,2025-10-17
68,93,Er,58,,2256.7,0.4,,29/2-,1,,,,,,,,,,,,,,,,,,,,,1-Jun-2011,C. W. Reich,2025-10-17
68,93,Er,59,,2325.96,0.22,,33/2+,1,,,,,,,,,,,,,,,,,,,,,1-Jun-2011,C. W. Reich,2025-10-17
68,93,Er,60,,2369,0.7,,27/2-,2,,,,,,,,,,,,,,,,,,,,,1-Jun-2011,C. W. Reich,2025-10-17
68,93,Er,61,,2477,0.4,,31/2+,1,,,,,,,,,,,,,,,,,,,,,1-Jun-2011,C. W. Reich,2025-10-17
68,93,Er,62,,2548.5,0.3,,31/2-,1,,,,,,,,,,,,,,,,,,,,,1-Jun-2011,C. W. Reich,2025-10-17
68,93,Er,63,,2674.1,0.8,,29/2-,2,,,,,,,,,,,,,,,,,,,,,1-Jun-2011,C. W. Reich,2025-10-17
68,93,Er,64,,2775.4,0.5,,33/2-,1,,,,,,,,,,,,,,,,,,,,,1-Jun-2011,C. W. Reich,2025-10-17
68,93,Er,65,,2980.1,0.8,,31/2-,2,,,,,,,,,,,,,,,,,,,,,1-Jun-2011,C. W. Reich,2025-10-17
68,93,Er,66,,2991.36,0.24,,37/2+,1,,,,,,,,,,,,,,,,,,,,,1-Jun-2011,C. W. Reich,2025-10-17
68,93,Er,67,,3066.9,0.3,,35/2-,1,,,,,,,,,,,,,,,,,,,,,1-Jun-2011,C. W. Reich,2025-10-17
68,93,Er,68,,3169.2,0.5,,35/2+,1,,,,,,,,,,,,,,,,,,,,,1-Jun-2011,C. W. Reich,2025-10-17
68,93,Er,69,,3345.6,0.6,,37/2-,1,,,,,,,,,,,,,,,,,,,,,1-Jun-2011,C. W. Reich,2025-10-17
68,93,Er,70,,3565.7,0.9,,35/2-,2,,,,,,,,,,,,,,,,,,,,,1-Jun-2011,C. W. Reich,2025-10-17
68,93,Er,71,,3645.9,0.4,,39/2-,1,,,,,,,,,,,,,,,,,,,,,1-Jun-2011,C. W. Reich,2025-10-17
68,93,Er,72,,3708.3,0.3,,41/2+,1,,,,,,,,,,,,,,,,,,,,,1-Jun-2011,C. W. Reich,2025-10-17
68,93,Er,73,,3913.3,0.7,,39/2+,1,,,,,,,,,,,,,,,,,,,,,1-Jun-2011,C. W. Reich,2025-10-17
68,93,Er,74,,3976.4,0.8,,41/2-,1,,,,,,,,,,,,,,,,,,,,,1-Jun-2011,C. W. Reich,2025-10-17
68,93,Er,75,,4297.7,0.5,,43/2-,1,,,,,,,,,,,,,,,,,,,,,1-Jun-2011,C. W. Reich,2025-10-17
68,93,Er,76,,4461.5,0.3,,45/2+,1,,,,,,,,,,,,,,,,,,,,,1-Jun-2011,C. W. Reich,2025-10-17
68,93,Er,77,,4670.5,0.9,,45/2-,1,,,,,,,,,,,,,,,,,,,,,1-Jun-2011,C. W. Reich,2025-10-17
68,93,Er,78,,4691.3,0.9,,43/2+,1,,,,,,,,,,,,,,,,,,,,,1-Jun-2011,C. W. Reich,2025-10-17
68,93,Er,79,,5020.4,0.7,,47/2-,1,,,,,,,,,,,,,,,,,,,,,1-Jun-2011,C. W. Reich,2025-10-17
68,93,Er,80,,5246.5,0.4,,49/2+,1,,,,,,,,,,,,,,,,,,,,,1-Jun-2011,C. W. Reich,2025-10-17
68,93,Er,81,,5427.8,1.1,,49/2-,1,,,,,,,,,,,,,,,,,,,,,1-Jun-2011,C. W. Reich,2025-10-17
68,93,Er,82,,5808.4,0.9,,51/2-,1,,,,,,,,,,,,,,,,,,,,,1-Jun-2011,C. W. Reich,2025-10-17
68,93,Er,83,,6076.5,0.7,,53/2+,1,,,,,,,,,,,,,,,,,,,,,1-Jun-2011,C. W. Reich,2025-10-17
68,93,Er,84,,6243.4,1.2,,53/2-,1,,,,,,,,,,,,,,,,,,,,,1-Jun-2011,C. W. Reich,2025-10-17
