z,n,symbol,idx,energy_shift,energy,unc_e,ripl_shift,jp,jp_order,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hl,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_mn,electric_quadrupole,unc_eq,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
70,96,Yb,0,,0,,,0+,1,56.7,,1,h,204120,360,EC,100,,,,,,,,,,,,,1-Mar-2008,CORAL M. BAGLIN,2025-10-17
70,96,Yb,1,,102.37,0.03,,2+,1,1.24,,6,ns,0.00000000124,0.00000000006,,,,,,,,,,,,,,,1-Mar-2008,CORAL M. BAGLIN,2025-10-17
70,96,Yb,2,,330.48,0.04,,4+,1,52.9,,17,ps,0.0000000000529,0.0000000000017,,,,,,,,,,,,,,,1-Mar-2008,CORAL M. BAGLIN,2025-10-17
70,96,Yb,3,,667.97,0.05,,6+,1,7.8,,3,ps,0.0000000000078,0.0000000000003,,,,,,,,,,,,,,,1-Mar-2008,CORAL M. BAGLIN,2025-10-17
70,96,Yb,4,,932.38,0.05,,(2)+,1,,,,,,,,,,,,,,,,,,,,,1-Mar-2008,CORAL M. BAGLIN,2025-10-17
70,96,Yb,5,,1039.14,0.05,,(3)+,1,,,,,,,,,,,,,,,,,,,,,1-Mar-2008,CORAL M. BAGLIN,2025-10-17
70,96,Yb,6,,1043,10,,(0+),1,,,,,,,,,,,,,,,,,,,,,1-Mar-2008,CORAL M. BAGLIN,2025-10-17
70,96,Yb,7,,1098.25,0.06,,8+,1,2.14,,24,ps,0.00000000000214,0.00000000000024,,,,,,,,,,,,,,,1-Mar-2008,CORAL M. BAGLIN,2025-10-17
70,96,Yb,8,,1144.29,0.22,,(2+),1,,,,,,,,,,,,,,,,,,,,,1-Mar-2008,CORAL M. BAGLIN,2025-10-17
70,96,Yb,9,,1162.74,0.06,,(4)+,1,,,,,,,,,,,,,,,,,,,,,1-Mar-2008,CORAL M. BAGLIN,2025-10-17
70,96,Yb,10,,1315.22,0.14,,,,,,,,,,,,,,,,,,,,,,,,1-Mar-2008,CORAL M. BAGLIN,2025-10-17
70,96,Yb,11,,1327.85,0.05,,(5)+,1,,,,,,,,,,,,,,,,,,,,,1-Mar-2008,CORAL M. BAGLIN,2025-10-17
70,96,Yb,12,,1342.5,0.3,,(4+),1,,,,,,,,,,,,,,,,,,,,,1-Mar-2008,CORAL M. BAGLIN,2025-10-17
70,96,Yb,13,,1358.93,0.07,,1-,1,,,,,,,,,,,,,,,,,,,,,1-Mar-2008,CORAL M. BAGLIN,2025-10-17
70,96,Yb,14,,1386.05,0.11,,(2+ 3 4+),1,,,,,,,,,,,,,,,,,,,,,1-Mar-2008,CORAL M. BAGLIN,2025-10-17
70,96,Yb,15,,1418.6,0.3,,(3)-,1,,,,,,,,,,,,,,,,,,,,,1-Mar-2008,CORAL M. BAGLIN,2025-10-17
70,96,Yb,16,,1451.38,0.2,,,,,,,,,,,,,,,,,,,,,,,,1-Mar-2008,CORAL M. BAGLIN,2025-10-17
70,96,Yb,17,,1482.43,0.06,,(6)+,1,,,,,,,,,,,,,,,,,,,,,1-Mar-2008,CORAL M. BAGLIN,2025-10-17
70,96,Yb,18,,1503.37,0.07,,(2-),1,,,,,,,,,,,,,,,,,,,,,1-Mar-2008,CORAL M. BAGLIN,2025-10-17
70,96,Yb,19,,1505.4,0.07,,(5)-,1,,,,,,,,,,,,,,,,,,,,,1-Mar-2008,CORAL M. BAGLIN,2025-10-17
