z,n,symbol,idx,energy_shift,energy,unc_e,ripl_shift,jp,jp_order,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hl,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_mn,electric_quadrupole,unc_eq,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
71,96,Lu,0,,0,,,7/2+,1,51.46,,15,m,3087.6,9,EC+B+,100,,,,,,,,,2.318,0.004,3.28,0.02,22-Aug-2023,Balraj Singh and Jun Chen,2025-10-17
71,96,Lu,1,,33.7,0.4,,1/2+,1,1,GE,,m,60,,EC+B+,,,IT,,,,,,,,,,,22-Aug-2023,Balraj Singh and Jun Chen,2025-10-17
71,96,Lu,2,,48.6,0.4,,3/2+,1,,,,,,,,,,,,,,,,,,,,,22-Aug-2023,Balraj Singh and Jun Chen,2025-10-17
71,96,Lu,3,,67.1,0.4,,(5/2+),1,,,,,,,,,,,,,,,,,,,,,22-Aug-2023,Balraj Singh and Jun Chen,2025-10-17
71,96,Lu,4,,136.3,0.4,,(1/2-),1,,,,,,,,,,,,,,,,,,,,,22-Aug-2023,Balraj Singh and Jun Chen,2025-10-17
71,96,Lu,5,,140,0.2,,9/2+,1,,,,,,,,,,,,,,,,,,,,,22-Aug-2023,Balraj Singh and Jun Chen,2025-10-17
71,96,Lu,6,,155.9,0.4,,(5/2-),1,,,,,,,,,,,,,,,,,,,,,22-Aug-2023,Balraj Singh and Jun Chen,2025-10-17
71,96,Lu,7,,178.3,0.4,,5/2+,1,,,,,,,,,,,,,,,,,,,,,22-Aug-2023,Balraj Singh and Jun Chen,2025-10-17
71,96,Lu,8,,184.5,0.4,,(7/2+),1,,,,,,,,,,,,,,,,,,,,,22-Aug-2023,Balraj Singh and Jun Chen,2025-10-17
71,96,Lu,9,,218.4,0.4,,7/2+,2,,,,,,,,,,,,,,,,,,,,,22-Aug-2023,Balraj Singh and Jun Chen,2025-10-17
71,96,Lu,10,,258.7,0.4,,(3/2-),1,,,,,,,,,,,,,,,,,,,,,22-Aug-2023,Balraj Singh and Jun Chen,2025-10-17
71,96,Lu,11,,267.6,0.4,,(9/2-),1,,,,,,,,,,,,,,,,,,,,,22-Aug-2023,Balraj Singh and Jun Chen,2025-10-17
71,96,Lu,12,,305.3,0.2,,11/2+,1,,,,,,,,,,,,,,,,,,,,,22-Aug-2023,Balraj Singh and Jun Chen,2025-10-17
71,96,Lu,13,,315.28,0.09,,(7/2)-,1,,,,,,,,,,,,,,,,,,,,,22-Aug-2023,Balraj Singh and Jun Chen,2025-10-17
71,96,Lu,14,,329.5,0.4,,(9/2+),1,,,,,,,,,,,,,,,,,,,,,22-Aug-2023,Balraj Singh and Jun Chen,2025-10-17
71,96,Lu,15,,331.9,0.2,,(9/2-),2,,,,,,,,,,,,,,,,,,,,,22-Aug-2023,Balraj Singh and Jun Chen,2025-10-17
71,96,Lu,16,,432.8,0.4,,9/2+,2,,,,,,,,,,,,,,,,,,,,,22-Aug-2023,Balraj Singh and Jun Chen,2025-10-17
71,96,Lu,17,,433.6,0.2,,(11/2-),1,,,,,,,,,,,,,,,,,,,,,22-Aug-2023,Balraj Singh and Jun Chen,2025-10-17
71,96,Lu,18,,435.4,0.4,,(7/2-),1,,,,,,,,,,,,,,,,,,,,,22-Aug-2023,Balraj Singh and Jun Chen,2025-10-17
71,96,Lu,19,,479.9,0.4,,(13/2-),1,81.3,,+73-81,ps,0.0000000000813,0.0000000000077,,,,,,,,,,,,,,,22-Aug-2023,Balraj Singh and Jun Chen,2025-10-17
71,96,Lu,20,,494.2,0.2,,13/2+,1,,,,,,,,,,,,,,,,,,,,,22-Aug-2023,Balraj Singh and Jun Chen,2025-10-17
71,96,Lu,21,,499,0.4,,(11/2+),1,,,,,,,,,,,,,,,,,,,,,22-Aug-2023,Balraj Singh and Jun Chen,2025-10-17
71,96,Lu,22,,507.8,0.4,,11/2+,2,,,,,,,,,,,,,,,,,,,,,22-Aug-2023,Balraj Singh and Jun Chen,2025-10-17
71,96,Lu,23,,576.9,0.2,,(13/2-),2,,,,,,,,,,,,,,,,,,,,,22-Aug-2023,Balraj Singh and Jun Chen,2025-10-17
71,96,Lu,24,,692.8,0.4,,(11/2-),2,,,,,,,,,,,,,,,,,,,,,22-Aug-2023,Balraj Singh and Jun Chen,2025-10-17
71,96,Lu,25,,693.9,0.4,,(13/2+),1,,,,,,,,,,,,,,,,,,,,,22-Aug-2023,Balraj Singh and Jun Chen,2025-10-17
71,96,Lu,26,,704.2,0.2,,15/2+,1,,,,,,,,,,,,,,,,,,,,,22-Aug-2023,Balraj Singh and Jun Chen,2025-10-17
71,96,Lu,27,,744.09,0.2,,(15/2-),1,,,,,,,,,,,,,,,,,,,,,22-Aug-2023,Balraj Singh and Jun Chen,2025-10-17
71,96,Lu,28,,783.7,0.4,,13/2+,2,,,,,,,,,,,,,,,,,,,,,22-Aug-2023,Balraj Singh and Jun Chen,2025-10-17
71,96,Lu,29,,794.5,0.4,,(17/2-),1,12.1,,+15-13,ps,0.0000000000121,0.0000000000014,,,,,,,,,,,,,,,22-Aug-2023,Balraj Singh and Jun Chen,2025-10-17
71,96,Lu,30,,887.3,0.4,,15/2+,2,,,,,,,,,,,,,,,,,,,,,22-Aug-2023,Balraj Singh and Jun Chen,2025-10-17
71,96,Lu,31,,916.2,0.4,,(15/2+),1,,,,,,,,,,,,,,,,,,,,,22-Aug-2023,Balraj Singh and Jun Chen,2025-10-17
71,96,Lu,32,,934.2,0.2,,17/2+,1,,,,,,,,,,,,,,,,,,,,,22-Aug-2023,Balraj Singh and Jun Chen,2025-10-17
71,96,Lu,33,,947.7,0.2,,(17/2-),2,,,,,,,,,,,,,,,,,,,,,22-Aug-2023,Balraj Singh and Jun Chen,2025-10-17
71,96,Lu,34,,1034.4,0.4,,(15/2-),2,,,,,,,,,,,,,,,,,,,,,22-Aug-2023,Balraj Singh and Jun Chen,2025-10-17
71,96,Lu,35,,1141.4,0.4,,(17/2+),1,,,,,,,,,,,,,,,,,,,,,22-Aug-2023,Balraj Singh and Jun Chen,2025-10-17
71,96,Lu,36,,1159.4,0.2,,(19/2-),1,,,,,,,,,,,,,,,,,,,,,22-Aug-2023,Balraj Singh and Jun Chen,2025-10-17
71,96,Lu,37,,1181,0.2,,19/2+,1,,,,,,,,,,,,,,,,,,,,,22-Aug-2023,Balraj Singh and Jun Chen,2025-10-17
71,96,Lu,38,,1205.3,0.4,,(21/2-),1,3.19,,+56-28,ps,0.00000000000319,0.00000000000042,,,,,,,,,,,,,,,22-Aug-2023,Balraj Singh and Jun Chen,2025-10-17
71,96,Lu,39,,1217.1,0.4,,17/2+,2,,,,,,,,,,,,,,,,,,,,,22-Aug-2023,Balraj Singh and Jun Chen,2025-10-17
71,96,Lu,40,,1346.5,0.4,,19/2+,2,,,,,,,,,,,,,,,,,,,,,22-Aug-2023,Balraj Singh and Jun Chen,2025-10-17
71,96,Lu,41,,1406.6,0.4,,(19/2+),1,,,,,,,,,,,,,,,,,,,,,22-Aug-2023,Balraj Singh and Jun Chen,2025-10-17
71,96,Lu,42,,1411.5,0.2,,(21/2-),2,,,,,,,,,,,,,,,,,,,,,22-Aug-2023,Balraj Singh and Jun Chen,2025-10-17
71,96,Lu,43,,1444.4,0.2,,21/2+,1,,,,,,,,,,,,,,,,,,,,,22-Aug-2023,Balraj Singh and Jun Chen,2025-10-17
71,96,Lu,44,,1458.9,0.4,,(19/2-),2,,,,,,,,,,,,,,,,,,,,,22-Aug-2023,Balraj Singh and Jun Chen,2025-10-17
71,96,Lu,45,,1649.9,0.4,,(21/2+),1,,,,,,,,,,,,,,,,,,,,,22-Aug-2023,Balraj Singh and Jun Chen,2025-10-17
71,96,Lu,46,,1655.8,0.3,,(23/2-),1,,,,,,,,,,,,,,,,,,,,,22-Aug-2023,Balraj Singh and Jun Chen,2025-10-17
71,96,Lu,47,,1677,0.3,,(17/2-),3,,,,,,,,,,,,,,,,,,,,,22-Aug-2023,Balraj Singh and Jun Chen,2025-10-17
71,96,Lu,48,,1703.3,0.4,,(25/2-),1,1.18,,+28-14,ps,0.00000000000118,0.00000000000021,,,,,,,,,,,,,,,22-Aug-2023,Balraj Singh and Jun Chen,2025-10-17
71,96,Lu,49,,1716.7,0.4,,21/2+,2,,,,,,,,,,,,,,,,,,,,,22-Aug-2023,Balraj Singh and Jun Chen,2025-10-17
71,96,Lu,50,,1720.1,0.2,,23/2+,1,,,,,,,,,,,,,,,,,,,,,22-Aug-2023,Balraj Singh and Jun Chen,2025-10-17
71,96,Lu,51,,1789.1,0.3,,(19/2-),3,,,,,,,,,,,,,,,,,,,,,22-Aug-2023,Balraj Singh and Jun Chen,2025-10-17
71,96,Lu,52,,1856.7,0.4,,23/2+,2,,,,,,,,,,,,,,,,,,,,,22-Aug-2023,Balraj Singh and Jun Chen,2025-10-17
71,96,Lu,53,,1940.5,0.2,,(21/2-),3,,,,,,,,,,,,,,,,,,,,,22-Aug-2023,Balraj Singh and Jun Chen,2025-10-17
71,96,Lu,54,,1947.3,0.3,,(25/2-),2,,,,,,,,,,,,,,,,,,,,,22-Aug-2023,Balraj Singh and Jun Chen,2025-10-17
71,96,Lu,55,,1954.7,0.4,,(23/2+),1,,,,,,,,,,,,,,,,,,,,,22-Aug-2023,Balraj Singh and Jun Chen,2025-10-17
71,96,Lu,56,,1959.7,0.4,,(23/2-),2,,,,,,,,,,,,,,,,,,,,,22-Aug-2023,Balraj Singh and Jun Chen,2025-10-17
71,96,Lu,57,,1964,0.8,,(21/2+),2,,,,,,,,,,,,,,,,,,,,,22-Aug-2023,Balraj Singh and Jun Chen,2025-10-17
71,96,Lu,58,,2008.1,0.3,,25/2+,1,,,,,,,,,,,,,,,,,,,,,22-Aug-2023,Balraj Singh and Jun Chen,2025-10-17
71,96,Lu,59,,2100.3,0.2,,(23/2-),3,,,,,,,,,,,,,,,,,,,,,22-Aug-2023,Balraj Singh and Jun Chen,2025-10-17
71,96,Lu,60,,2165,0.4,,(21/2-),4,,,,,,,,,,,,,,,,,,,,,22-Aug-2023,Balraj Singh and Jun Chen,2025-10-17
71,96,Lu,61,,2187.1,0.4,,(25/2+),1,,,,,,,,,,,,,,,,,,,,,22-Aug-2023,Balraj Singh and Jun Chen,2025-10-17
71,96,Lu,62,,2214.9,0.3,,(27/2-),1,,,,,,,,,,,,,,,,,,,,,22-Aug-2023,Balraj Singh and Jun Chen,2025-10-17
71,96,Lu,63,,2260.7,0.4,,25/2+,2,,,,,,,,,,,,,,,,,,,,,22-Aug-2023,Balraj Singh and Jun Chen,2025-10-17
