z,n,symbol,idx,energy_shift,energy,unc_e,ripl_shift,jp,jp_order,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hl,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_mn,electric_quadrupole,unc_eq,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
8,8,O,0,,0,,,0+,1,STABLE,,,,,,,,,,,,,,,0,,,,,31-DEC-1992,J.H. KELLEY and  D.R. TILLEY and  H.R. WELLER AND C.M. CHEVES,2025-10-16
8,8,O,1,,6049.4,1,,0+,2,67,,5,ps,0.000000000067,0.000000000005,,,,,,,,,,0,,,,,31-DEC-1992,J.H. KELLEY and  D.R. TILLEY and  H.R. WELLER AND C.M. CHEVES,2025-10-16
8,8,O,2,,6129.89,0.04,,3-,1,18.4,,5,ps,0.0000000000184,0.0000000000005,,,,,,,,,,0,1.668,0.012,,,31-DEC-1992,J.H. KELLEY and  D.R. TILLEY and  H.R. WELLER AND C.M. CHEVES,2025-10-16
8,8,O,3,,6917.1,0.6,,2+,1,4.70,,13,fs,0.0000000000000047,1.3e-16,,,,,,,,,,0,,,,,31-DEC-1992,J.H. KELLEY and  D.R. TILLEY and  H.R. WELLER AND C.M. CHEVES,2025-10-16
8,8,O,4,,7116.85,0.14,,1-,1,8.3,,5,fs,0.0000000000000083,5e-16,,,,,,,,,,0,,,,,31-DEC-1992,J.H. KELLEY and  D.R. TILLEY and  H.R. WELLER AND C.M. CHEVES,2025-10-16
8,8,O,5,,8871.9,0.5,,2-,1,125,,11,fs,0.000000000000125,0.000000000000011,,,,,,,,,,0,,,,,31-DEC-1992,J.H. KELLEY and  D.R. TILLEY and  H.R. WELLER AND C.M. CHEVES,2025-10-16
8,8,O,6,,9585,11,,1-,2,420,,20,keV,1.08628027397949e-21,5.172763209426142e-23,A,100,,IT,0.0000067,0.000001,,,,0,,,,,31-DEC-1992,J.H. KELLEY and  D.R. TILLEY and  H.R. WELLER AND C.M. CHEVES,2025-10-16
8,8,O,7,,9844.5,0.5,,2+,2,0.62,,10,keV,7.358672823732028e-19,1.186882713505166e-19,A,100,,IT,0.0016,0.0003,,,,0,,,,,31-DEC-1992,J.H. KELLEY and  D.R. TILLEY and  H.R. WELLER AND C.M. CHEVES,2025-10-16
8,8,O,8,,10356,3,,4+,1,26,,3,keV,1.754760442582253e-20,2.024723587594907e-21,A,100,,IT,0.00024,0.00004,,,,0,,,,,31-DEC-1992,J.H. KELLEY and  D.R. TILLEY and  H.R. WELLER AND C.M. CHEVES,2025-10-16
8,8,O,9,,10957,1,,0-,1,5.5,,35,fs,0.0000000000000055,0.0000000000000035,,,,,,,,,,0,,,,,31-DEC-1992,J.H. KELLEY and  D.R. TILLEY and  H.R. WELLER AND C.M. CHEVES,2025-10-16
8,8,O,10,,11080,3,,3+,1,12,LT,,keV,3.8019809589282146e-20,0,,,,,,,,,,0,,,,,31-DEC-1992,J.H. KELLEY and  D.R. TILLEY and  H.R. WELLER AND C.M. CHEVES,2025-10-16
8,8,O,11,,11096.7,1.6,,4+,2,0.28,,5,keV,1.6294204109692347e-18,2.909679305302205e-19,A,100,,IT,0.002,0.0006,,,,0,,,,,31-DEC-1992,J.H. KELLEY and  D.R. TILLEY and  H.R. WELLER AND C.M. CHEVES,2025-10-16
8,8,O,12,,11260,,,(0+),1,2500,,,keV,1.824950860285543e-22,0,A,100,,,,,,,,0,,,,,31-DEC-1992,J.H. KELLEY and  D.R. TILLEY and  H.R. WELLER AND C.M. CHEVES,2025-10-16
