z,n,symbol,idx,energy_shift,energy,unc_e,ripl_shift,jp,jp_order,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hl,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_mn,electric_quadrupole,unc_eq,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
79,98,Au,0,,0,,,1/2+,1,1.501,,20,s,1.501,0.02,EC+B+,60,6,A,40,6,,,,,1.15,0.05,,,30-Aug-2019,F.G. KONDEV,2025-10-17
79,98,Au,1,,24.9,0.23,,(3/2+),1,,,,,,,,,,,,,,,,,,,,,30-Aug-2019,F.G. KONDEV,2025-10-17
79,98,Au,2,,182.7,0.5,,(11/2-),1,1.193,,13,s,1.193,0.013,A,60,10,EC+B+,40,10,,,,,6.348,0.006,,,30-Aug-2019,F.G. KONDEV,2025-10-17
79,98,Au,3,,290.3,0.23,,(5/2+),1,,,,,,,,,,,,,,,,,,,,,30-Aug-2019,F.G. KONDEV,2025-10-17
79,98,Au,4,,423.6,0.6,,(9/2-),1,15,LE,,ns,0.000000015,,,,,,,,,,,,,,,,30-Aug-2019,F.G. KONDEV,2025-10-17
79,98,Au,5,,703.5,0.7,,(13/2-),1,,,,,,,,,,,,,,,,,,,,,30-Aug-2019,F.G. KONDEV,2025-10-17
79,98,Au,6,,706.6,0.7,,(15/2-),1,,,,,,,,,,,,,,,,,,,,,30-Aug-2019,F.G. KONDEV,2025-10-17
79,98,Au,7,,713.5,0.6,,(13/2-),2,,,,,,,,,,,,,,,,,,,,,30-Aug-2019,F.G. KONDEV,2025-10-17
79,98,Au,8,,743,0.25,,(9/2+),1,,,,,,,,,,,,,,,,,,,,,30-Aug-2019,F.G. KONDEV,2025-10-17
79,98,Au,9,X,743,0.05,,(13/2+),1,,,,,,,,,,,,,,,,,,,,,30-Aug-2019,F.G. KONDEV,2025-10-17
79,98,Au,10,X,903.1,0.1,,(17/2+),1,,,,,,,,,,,,,,,,,,,,,30-Aug-2019,F.G. KONDEV,2025-10-17
