z,n,symbol,idx,energy_shift,energy,unc_e,ripl_shift,jp,jp_order,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hl,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_mn,electric_quadrupole,unc_eq,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
77,102,Ir,0,,0,,,(5/2)-,1,79,,1,s,79,1,EC+B+,100,,,,,,,,,,,,,15-Nov-2008,Coral M. BAGLIN,2025-10-17
77,102,Ir,1,X,0,,,(9/2-),1,,,,,,,,,,,,,,,,,,,,,15-Nov-2008,Coral M. BAGLIN,2025-10-17
77,102,Ir,2,,99.8,,,(1/2)-,1,,,,,,,,,,,,,,,,,,,,,15-Nov-2008,Coral M. BAGLIN,2025-10-17
77,102,Ir,3,X,140,0.6,,(9/2-),2,,,,,,,,,,,,,,,,,,,,,15-Nov-2008,Coral M. BAGLIN,2025-10-17
77,102,Ir,4,X,186.5,0.4,,(5/2+),1,,,,,,,,,,,,,,,,,,,,,15-Nov-2008,Coral M. BAGLIN,2025-10-17
77,102,Ir,5,,193.1,,,(3/2)-,1,,,,,,,,,,,,,,,,,,,,,15-Nov-2008,Coral M. BAGLIN,2025-10-17
77,102,Ir,6,X,202.74,0.16,,(13/2-),1,97,,21,ps,0.000000000097,0.000000000021,,,,,,,,,,,,,,,15-Nov-2008,Coral M. BAGLIN,2025-10-17
77,102,Ir,7,X,264,0.6,,(11/2-),1,,,,,,,,,,,,,,,,,,,,,15-Nov-2008,Coral M. BAGLIN,2025-10-17
77,102,Ir,8,,271.5,,,(1/2 3/2)+,1,,,,,,,,,,,,,,,,,,,,,15-Nov-2008,Coral M. BAGLIN,2025-10-17
77,102,Ir,9,X,288.6,0.4,,(7/2+),1,,,,,,,,,,,,,,,,,,,,,15-Nov-2008,Coral M. BAGLIN,2025-10-17
77,102,Ir,10,,343,,,(1/2 3/2 5/2-),1,,,,,,,,,,,,,,,,,,,,,15-Nov-2008,Coral M. BAGLIN,2025-10-17
77,102,Ir,11,,377.8,,,,,,,,,,,,,,,,,,,,,,,,,15-Nov-2008,Coral M. BAGLIN,2025-10-17
77,102,Ir,12,,394,11,,,,,,,,,,,,,,,,,,,,,,,,15-Nov-2008,Coral M. BAGLIN,2025-10-17
77,102,Ir,13,X,414.5,0.4,,(9/2+),1,,,,,,,,,,,,,,,,,,,,,15-Nov-2008,Coral M. BAGLIN,2025-10-17
77,102,Ir,14,X,427.3,0.6,,(13/2-),2,,,,,,,,,,,,,,,,,,,,,15-Nov-2008,Coral M. BAGLIN,2025-10-17
77,102,Ir,15,X,432.57,0.16,,(11/2-),2,,,,,,,,,,,,,,,,,,,,,15-Nov-2008,Coral M. BAGLIN,2025-10-17
77,102,Ir,16,,493.2,,,(1/2 3/2 5/2-),2,,,,,,,,,,,,,,,,,,,,,15-Nov-2008,Coral M. BAGLIN,2025-10-17
77,102,Ir,17,,502.4,,,(1/2 3/2 5/2-),3,,,,,,,,,,,,,,,,,,,,,15-Nov-2008,Coral M. BAGLIN,2025-10-17
77,102,Ir,18,X,553.08,0.21,,(17/2-),1,7.6,,7,ps,0.0000000000076,0.0000000000007,,,,,,,,,,,,,,,15-Nov-2008,Coral M. BAGLIN,2025-10-17
77,102,Ir,19,X,563.3,0.4,,(11/2+),1,,,,,,,,,,,,,,,,,,,,,15-Nov-2008,Coral M. BAGLIN,2025-10-17
77,102,Ir,20,X,607.5,0.6,,(15/2-),1,,,,,,,,,,,,,,,,,,,,,15-Nov-2008,Coral M. BAGLIN,2025-10-17
77,102,Ir,21,X,731.7,0.4,,(13/2+),1,,,,,,,,,,,,,,,,,,,,,15-Nov-2008,Coral M. BAGLIN,2025-10-17
77,102,Ir,22,X,759.95,0.19,,(15/2-),2,,,,,,,,,,,,,,,,,,,,,15-Nov-2008,Coral M. BAGLIN,2025-10-17
77,102,Ir,23,X,804.58,0.17,,,,,,,,,,,,,,,,,,,,,,,,15-Nov-2008,Coral M. BAGLIN,2025-10-17
77,102,Ir,24,X,807.6,0.6,,(17/2-),2,,,,,,,,,,,,,,,,,,,,,15-Nov-2008,Coral M. BAGLIN,2025-10-17
77,102,Ir,25,X,903.6,0.3,,(15/2-),3,,,,,,,,,,,,,,,,,,,,,15-Nov-2008,Coral M. BAGLIN,2025-10-17
77,102,Ir,26,X,919.9,0.4,,(15/2+),1,,,,,,,,,,,,,,,,,,,,,15-Nov-2008,Coral M. BAGLIN,2025-10-17
77,102,Ir,27,X,1018.35,0.24,,(21/2-),1,2.3,,3,ps,0.0000000000023,0.0000000000003,,,,,,,,,,,,,,,15-Nov-2008,Coral M. BAGLIN,2025-10-17
77,102,Ir,28,X,1022.5,0.5,,(19/2-),1,,,,,,,,,,,,,,,,,,,,,15-Nov-2008,Coral M. BAGLIN,2025-10-17
77,102,Ir,29,X,1115.1,0.3,,17/2+,1,,,,,,,,,,,,,,,,,,,,,15-Nov-2008,Coral M. BAGLIN,2025-10-17
77,102,Ir,30,X,1134.2,0.3,,(17/2+),1,,,,,,,,,,,,,,,,,,,,,15-Nov-2008,Coral M. BAGLIN,2025-10-17
77,102,Ir,31,X,1141.37,0.19,,,,,,,,,,,,,,,,,,,,,,,,15-Nov-2008,Coral M. BAGLIN,2025-10-17
77,102,Ir,32,X,1191.22,0.22,,(19/2-),2,,,,,,,,,,,,,,,,,,,,,15-Nov-2008,Coral M. BAGLIN,2025-10-17
77,102,Ir,33,X,1253.6,0.5,,(21/2-),2,,,,,,,,,,,,,,,,,,,,,15-Nov-2008,Coral M. BAGLIN,2025-10-17
77,102,Ir,34,X,1284.42,0.25,,(19/2-),3,,,,,,,,,,,,,,,,,,,,,15-Nov-2008,Coral M. BAGLIN,2025-10-17
77,102,Ir,35,X,1344.1,0.4,,(19/2+),1,,,,,,,,,,,,,,,,,,,,,15-Nov-2008,Coral M. BAGLIN,2025-10-17
77,102,Ir,36,X,1397.3,0.3,,(21/2+),1,15.9,,21,ps,0.0000000000159,0.0000000000021,,,,,,,,,,,,,,,15-Nov-2008,Coral M. BAGLIN,2025-10-17
77,102,Ir,37,X,1497.6,0.5,,(23/2-),1,,,,,,,,,,,,,,,,,,,,,15-Nov-2008,Coral M. BAGLIN,2025-10-17
77,102,Ir,38,X,1565.1,0.3,,,,,,,,,,,,,,,,,,,,,,,,15-Nov-2008,Coral M. BAGLIN,2025-10-17
77,102,Ir,39,X,1568.6,0.3,,(25/2-),1,0.90,,7,ps,0.0000000000009,0.00000000000007,,,,,,,,,,,,,,,15-Nov-2008,Coral M. BAGLIN,2025-10-17
77,102,Ir,40,X,1578,0.4,,(21/2+),2,,,,,,,,,,,,,,,,,,,,,15-Nov-2008,Coral M. BAGLIN,2025-10-17
77,102,Ir,41,X,1697.68,0.25,,(23/2-),2,,,,,,,,,,,,,,,,,,,,,15-Nov-2008,Coral M. BAGLIN,2025-10-17
77,102,Ir,42,X,1733.6,0.3,,(23/2-),3,,,,,,,,,,,,,,,,,,,,,15-Nov-2008,Coral M. BAGLIN,2025-10-17
77,102,Ir,43,X,1756.3,0.5,,(25/2-),2,,,,,,,,,,,,,,,,,,,,,15-Nov-2008,Coral M. BAGLIN,2025-10-17
77,102,Ir,44,X,1758.9,0.4,,(25/2+),1,4.4,,5,ps,0.0000000000044,0.0000000000005,,,,,,,,,,,,,,,15-Nov-2008,Coral M. BAGLIN,2025-10-17
77,102,Ir,45,X,1825,0.4,,(23/2+),1,,,,,,,,,,,,,,,,,,,,,15-Nov-2008,Coral M. BAGLIN,2025-10-17
77,102,Ir,46,X,2027.2,0.5,,(27/2-),1,,,,,,,,,,,,,,,,,,,,,15-Nov-2008,Coral M. BAGLIN,2025-10-17
77,102,Ir,47,X,2067.7,0.4,,,,,,,,,,,,,,,,,,,,,,,,15-Nov-2008,Coral M. BAGLIN,2025-10-17
77,102,Ir,48,X,2086.1,0.4,,(25/2+),2,,,,,,,,,,,,,,,,,,,,,15-Nov-2008,Coral M. BAGLIN,2025-10-17
77,102,Ir,49,X,2182.3,0.4,,(29/2-),1,0.55,,14,ps,0.00000000000055,0.00000000000014,,,,,,,,,,,,,,,15-Nov-2008,Coral M. BAGLIN,2025-10-17
77,102,Ir,50,X,2192.9,0.4,,(29/2+),1,1.66,,7,ps,0.00000000000166,0.00000000000007,,,,,,,,,,,,,,,15-Nov-2008,Coral M. BAGLIN,2025-10-17
77,102,Ir,51,X,2214,0.3,,(27/2-),2,,,,,,,,,,,,,,,,,,,,,15-Nov-2008,Coral M. BAGLIN,2025-10-17
77,102,Ir,52,X,2290.7,0.3,,(27/2-),3,,,,,,,,,,,,,,,,,,,,,15-Nov-2008,Coral M. BAGLIN,2025-10-17
77,102,Ir,53,X,2312.7,0.5,,(29/2-),2,,,,,,,,,,,,,,,,,,,,,15-Nov-2008,Coral M. BAGLIN,2025-10-17
77,102,Ir,54,X,2365,0.4,,(27/2+),1,,,,,,,,,,,,,,,,,,,,,15-Nov-2008,Coral M. BAGLIN,2025-10-17
77,102,Ir,55,X,2533.7,0.4,,,,,,,,,,,,,,,,,,,,,,,,15-Nov-2008,Coral M. BAGLIN,2025-10-17
77,102,Ir,56,X,2610.3,0.5,,(31/2-),1,,,,,,,,,,,,,,,,,,,,,15-Nov-2008,Coral M. BAGLIN,2025-10-17
77,102,Ir,57,X,2690.4,0.5,,(33/2+),1,0.76,,14,ps,0.00000000000076,0.00000000000014,,,,,,,,,,,,,,,15-Nov-2008,Coral M. BAGLIN,2025-10-17
77,102,Ir,58,X,2765,0.4,,(31/2-),2,,,,,,,,,,,,,,,,,,,,,15-Nov-2008,Coral M. BAGLIN,2025-10-17
77,102,Ir,59,X,2845.3,0.4,,(33/2-),1,0.35,,7,ps,0.00000000000035,0.00000000000007,,,,,,,,,,,,,,,15-Nov-2008,Coral M. BAGLIN,2025-10-17
77,102,Ir,60,X,2916.3,0.4,,(31/2-),3,,,,,,,,,,,,,,,,,,,,,15-Nov-2008,Coral M. BAGLIN,2025-10-17
77,102,Ir,61,X,2921,0.5,,(33/2-),2,,,,,,,,,,,,,,,,,,,,,15-Nov-2008,Coral M. BAGLIN,2025-10-17
77,102,Ir,62,X,2925.6,0.5,,(33/2-),3,,,,,,,,,,,,,,,,,,,,,15-Nov-2008,Coral M. BAGLIN,2025-10-17
77,102,Ir,63,X,3245.5,0.5,,(35/2-),1,,,,,,,,,,,,,,,,,,,,,15-Nov-2008,Coral M. BAGLIN,2025-10-17
77,102,Ir,64,X,3245.9,0.5,,(37/2+),1,0.42,,7,ps,0.00000000000042,0.00000000000007,,,,,,,,,,,,,,,15-Nov-2008,Coral M. BAGLIN,2025-10-17
77,102,Ir,65,X,3371.6,0.4,,(35/2-),2,,,,,,,,,,,,,,,,,,,,,15-Nov-2008,Coral M. BAGLIN,2025-10-17
77,102,Ir,66,X,3400.8,0.5,,(37/2-),1,1.2,,6,ps,0.0000000000012,0.0000000000006,,,,,,,,,,,,,,,15-Nov-2008,Coral M. BAGLIN,2025-10-17
77,102,Ir,67,X,3563.9,0.5,,(37/2-),2,,,,,,,,,,,,,,,,,,,,,15-Nov-2008,Coral M. BAGLIN,2025-10-17
77,102,Ir,68,X,3577.3,0.6,,(35/2-),3,,,,,,,,,,,,,,,,,,,,,15-Nov-2008,Coral M. BAGLIN,2025-10-17
