z,n,symbol,idx,energy_shift,energy,unc_e,ripl_shift,jp,jp_order,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hl,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_mn,electric_quadrupole,unc_eq,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
9,9,F,0,,0,,,1+,1,109.77,,5,m,6586.2,3,EC+B+,100,,,,,,,,0,,,,,31-OCT-1994,TILLEY and  WELLER and  CHEVES and  CHASTELER,2025-10-16
9,9,F,1,,937.2,0.06,,3+,1,46.9,,17,ps,0.0000000000469,0.0000000000017,IT,100,,,,,,,,0,1.6,0.2,,,31-OCT-1994,TILLEY and  WELLER and  CHEVES and  CHASTELER,2025-10-16
9,9,F,2,,1041.55,0.08,,0+,1,1.77,,31,fs,0.00000000000000177,3.1e-16,IT,100,,,,,,,,1,,,,,31-OCT-1994,TILLEY and  WELLER and  CHEVES and  CHASTELER,2025-10-16
9,9,F,3,,1080.54,0.12,,0-,1,19.1,,13,ps,0.0000000000191,0.0000000000013,IT,100,,,,,,,,0,,,,,31-OCT-1994,TILLEY and  WELLER and  CHEVES and  CHASTELER,2025-10-16
9,9,F,4,,1121.36,0.15,,5+,1,162,,7,ns,0.000000162,0.000000007,IT,100,,,,,,,,0,2.68,0.03,0.071,0.006,31-OCT-1994,TILLEY and  WELLER and  CHEVES and  CHASTELER,2025-10-16
9,9,F,5,,1700.81,0.18,,1+,2,662,,19,fs,0.000000000000662,0.000000000000019,IT,100,,,,,,,,0,,,,,31-OCT-1994,TILLEY and  WELLER and  CHEVES and  CHASTELER,2025-10-16
9,9,F,6,,2100.61,0.1,,2-,1,3.5,,3,ps,0.0000000000035,0.0000000000003,IT,100,,,,,,,,0,,,,,31-OCT-1994,TILLEY and  WELLER and  CHEVES and  CHASTELER,2025-10-16
9,9,F,7,,2523.35,0.18,,2+,1,408,,17,fs,0.000000000000408,0.000000000000017,IT,100,,,,,,,,0,,,,,31-OCT-1994,TILLEY and  WELLER and  CHEVES and  CHASTELER,2025-10-16
9,9,F,8,,3061.84,0.18,,2+,2,0.83,LT,,fs,8.3e-16,,IT,100,,,,,,,,1,,,,,31-OCT-1994,TILLEY and  WELLER and  CHEVES and  CHASTELER,2025-10-16
9,9,F,9,,3133.87,0.15,,1-,1,0.27,,1,ps,0.00000000000027,0.00000000000001,IT,100,,,,,,,,0,,,,,31-OCT-1994,TILLEY and  WELLER and  CHEVES and  CHASTELER,2025-10-16
9,9,F,10,,3358.2,1,,3+,2,0.30,,2,ps,0.0000000000003,0.00000000000002,IT,100,,,,,,,,0,,,,,31-OCT-1994,TILLEY and  WELLER and  CHEVES and  CHASTELER,2025-10-16
9,9,F,11,,3724.19,0.22,,1+,3,1.9,,28,fs,0.0000000000000019,0.0000000000000028,IT,100,,,,,,,,0,,,,,31-OCT-1994,TILLEY and  WELLER and  CHEVES and  CHASTELER,2025-10-16
9,9,F,12,,3791.49,0.22,,3-,1,1.32,,9,ps,0.00000000000132,0.00000000000009,IT,100,,,,,,,,0,,,,,31-OCT-1994,TILLEY and  WELLER and  CHEVES and  CHASTELER,2025-10-16
9,9,F,13,,3839.17,0.22,,2+,3,13.2,,19,fs,0.0000000000000132,0.0000000000000019,IT,100,,,,,,,,0,,,,,31-OCT-1994,TILLEY and  WELLER and  CHEVES and  CHASTELER,2025-10-16
9,9,F,14,,4115.9,0.25,,3+,3,63,,15,fs,0.000000000000063,0.000000000000015,IT,100,,,,,,,,0,,,,,31-OCT-1994,TILLEY and  WELLER and  CHEVES and  CHASTELER,2025-10-16
9,9,F,15,,4225.8,0.7,,2-,2,76,,10,fs,0.000000000000076,0.00000000000001,IT,100,,,,,,,,0,,,,,31-OCT-1994,TILLEY and  WELLER and  CHEVES and  CHASTELER,2025-10-16
9,9,F,16,,4360.15,0.26,,1+,4,19,,7,fs,0.000000000000019,0.000000000000007,IT,100,,,,,,,,0,,,,,31-OCT-1994,TILLEY and  WELLER and  CHEVES and  CHASTELER,2025-10-16
9,9,F,17,,4398.1,0.7,,4-,1,40,,8,fs,0.00000000000004,0.000000000000008,IT,100,,,,,,,,0,,,,,31-OCT-1994,TILLEY and  WELLER and  CHEVES and  CHASTELER,2025-10-16
9,9,F,18,,4652,2,,4+,1,7,LT,,fs,0.000000000000007,,IT,100,,,,,,,,1,,,,,31-OCT-1994,TILLEY and  WELLER and  CHEVES and  CHASTELER,2025-10-16
9,9,F,19,,4753,3,,0+,2,,,,,,,IT,100,,,,,,,,1,,,,,31-OCT-1994,TILLEY and  WELLER and  CHEVES and  CHASTELER,2025-10-16
9,9,F,20,,4848.3,0.5,,5-,1,3.6,,6,ps,0.0000000000036,0.0000000000006,IT,100,,,,,,,,0,,,,,31-OCT-1994,TILLEY and  WELLER and  CHEVES and  CHASTELER,2025-10-16
9,9,F,21,,4860,2,,1-,2,46,,12,fs,0.000000000000046,0.000000000000012,IT,,,A,,,,,,0,,,,,31-OCT-1994,TILLEY and  WELLER and  CHEVES and  CHASTELER,2025-10-16
9,9,F,22,,4963.6,0.8,,2+,4,3,LT,,fs,0.000000000000003,,IT,100,,,,,,,,1,,,,,31-OCT-1994,TILLEY and  WELLER and  CHEVES and  CHASTELER,2025-10-16
9,9,F,23,,5297.6,1.5,,4+,2,21,,3,fs,0.000000000000021,0.000000000000003,IT,,,A,,,,,,0,,,,,31-OCT-1994,TILLEY and  WELLER and  CHEVES and  CHASTELER,2025-10-16
9,9,F,24,,5502,2,,3(-),1,44,,17,fs,0.000000000000044,0.000000000000017,IT,,,A,,,,,,0,,,,,31-OCT-1994,TILLEY and  WELLER and  CHEVES and  CHASTELER,2025-10-16
9,9,F,25,,5603.38,0.27,,1+,5,43.3,,16,eV,1.0536667784558562e-17,3.8934569180816865e-19,A,,,IT,,,,,,,,,,,31-OCT-1994,TILLEY and  WELLER and  CHEVES and  CHASTELER,2025-10-16
9,9,F,26,,5604.86,0.28,,1-,3,1.2,LT,,keV,3.8019809589282146e-19,0,IT,,,A,,,,,,0 1,,,,,31-OCT-1994,TILLEY and  WELLER and  CHEVES and  CHASTELER,2025-10-16
9,9,F,27,,5672.57,0.32,,1-,4,0.8,LT,,keV,5.702971438392322e-19,0,IT,,,A,,,,,,0 1,,,,,31-OCT-1994,TILLEY and  WELLER and  CHEVES and  CHASTELER,2025-10-16
9,9,F,28,,5786,2,,2-,3,10,,7,fs,0.00000000000001,0.000000000000007,IT,,,A,,,,,,0,,,,,31-OCT-1994,TILLEY and  WELLER and  CHEVES and  CHASTELER,2025-10-16
9,9,F,29,,6096.4,1.1,,4-,2,0.24,,3,keV,1.9009904794641073e-18,2.376238099330134e-19,IT,,,P,,,A,,,0,,,,,31-OCT-1994,TILLEY and  WELLER and  CHEVES and  CHASTELER,2025-10-16
9,9,F,30,,6108,3,,(1+),1,0.034,,3,keV,1.3418756325628992e-17,1.1840079110849108e-18,IT,,,P,,,A,,,0,,,,,31-OCT-1994,TILLEY and  WELLER and  CHEVES and  CHASTELER,2025-10-16
9,9,F,31,,6136.47,0.33,,0+,3,1,LT,,keV,4.562377150713857e-19,0,IT,,,P,,,,,,1,,,,,31-OCT-1994,TILLEY and  WELLER and  CHEVES and  CHASTELER,2025-10-16
9,9,F,32,,6163.2,0.9,,3+,4,14.0,,5,keV,3.25884082193847e-20,1.163871722120882e-21,IT,,,P,,,A,,,1,,,,,31-OCT-1994,TILLEY and  WELLER and  CHEVES and  CHASTELER,2025-10-16
9,9,F,33,,6240.4,0.8,,3-,2,0.19,,3,keV,2.401251131954662e-18,3.791449155717887e-19,P,,,A,,,IT,,,0 1,,,,,31-OCT-1994,TILLEY and  WELLER and  CHEVES and  CHASTELER,2025-10-16
9,9,F,34,,6242,3,,3-,3,0.18,,4,keV,2.53465397261881e-18,5.632564383597356e-19,P,,,A,,,IT,,,0 1,,,,,31-OCT-1994,TILLEY and  WELLER and  CHEVES and  CHASTELER,2025-10-16
9,9,F,35,,6262,3,,1+,6,0.60,,12,keV,7.603961917856429e-19,1.5207923835712858e-19,IT,,,P,,,A,,,0,,,,,31-OCT-1994,TILLEY and  WELLER and  CHEVES and  CHASTELER,2025-10-16
9,9,F,36,,6283.2,0.9,,2+,5,10.0,,5,keV,4.5623771507138576e-20,2.2811885753569288e-21,A,,,IT,,,P,,,1,,,,,31-OCT-1994,TILLEY and  WELLER and  CHEVES and  CHASTELER,2025-10-16
9,9,F,37,,6310.5,0.8,,3+,5,0.95,,14,keV,4.802502263909324e-19,7.077371757340056e-20,P,,,A,,,IT,,,0,,,,,31-OCT-1994,TILLEY and  WELLER and  CHEVES and  CHASTELER,2025-10-16
9,9,F,38,,6385.5,1.7,,2+,6,0.49,,9,keV,9.310973776967055e-19,1.710178856993949e-19,IT,,,P,,,A,,,0 1,,,,,31-OCT-1994,TILLEY and  WELLER and  CHEVES and  CHASTELER,2025-10-16
9,9,F,39,,6484.9,1.5,,3+,6,0.40,,10,keV,1.1405942876784644e-18,2.851485719196161e-19,IT,,,P,,,A,,,0,,,,,31-OCT-1994,TILLEY and  WELLER and  CHEVES and  CHASTELER,2025-10-16
9,9,F,40,,6567,1.5,,5+,2,0.56,,13,keV,8.147102054846173e-19,1.891291548446433e-19,IT,,,P,,,A,,,0,,,,,31-OCT-1994,TILLEY and  WELLER and  CHEVES and  CHASTELER,2025-10-16
9,9,F,41,,6633,10,,1,1,80,,2,keV,5.702971438392322e-21,1.4257428595980805e-22,P,,,A,,,,,,,,,,,31-OCT-1994,TILLEY and  WELLER and  CHEVES and  CHASTELER,2025-10-16
