z,n,symbol,idx,energy_shift,energy,unc_e,ripl_shift,jp,jp_order,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hl,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_mn,electric_quadrupole,unc_eq,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
78,116,Pt,0,,0,,,0+,1,STABLE,,,,,,,,,,,,,,,,,,,,3-Sep-2021,Jun Chen and Balraj Singh,2025-10-17
78,116,Pt,1,,328.473,0.004,,2+,1,41.7,,17,ps,0.0000000000417,0.0000000000017,,,,,,,,,,,0.59,0.02,0.48,0.14,3-Sep-2021,Jun Chen and Balraj Singh,2025-10-17
78,116,Pt,2,,622.024,0.004,,2+,2,35,,4,ps,0.000000000035,0.000000000004,,,,,,,,,,,0.56,0.11,,,3-Sep-2021,Jun Chen and Balraj Singh,2025-10-17
78,116,Pt,3,,811.288,0.007,,4+,1,3.7,,2,ps,0.0000000000037,0.0000000000002,,,,,,,,,,,1.12,0.12,,,3-Sep-2021,Jun Chen and Balraj Singh,2025-10-17
78,116,Pt,4,,922.772,0.006,,3+,1,,,,,,,,,,,,,,,,,,,,,3-Sep-2021,Jun Chen and Balraj Singh,2025-10-17
78,116,Pt,5,,1229.52,0.01,,4+,2,3.8,,6,ps,0.0000000000038,0.0000000000006,,,,,,,,,,,,,,,3-Sep-2021,Jun Chen and Balraj Singh,2025-10-17
78,116,Pt,6,,1267.2,0.006,,0+,2,6.1,,14,ps,0.0000000000061,0.0000000000014,,,,,,,,,,,,,,,3-Sep-2021,Jun Chen and Balraj Singh,2025-10-17
78,116,Pt,7,,1373.772,0.017,,(5-),1,,,,,,,,,,,,,,,,,,,,,3-Sep-2021,Jun Chen and Balraj Singh,2025-10-17
78,116,Pt,8,,1411.83,0.08,,6+,1,1.6,,5,ps,0.0000000000016,0.0000000000005,,,,,,,,,,,,,,,3-Sep-2021,Jun Chen and Balraj Singh,2025-10-17
78,116,Pt,9,,1422.21,0.11,,(3 4)+,1,,,,,,,,,,,,,,,,,,,,,3-Sep-2021,Jun Chen and Balraj Singh,2025-10-17
78,116,Pt,10,,1432.551,0.006,,3-,1,110,,+10-9,ps,0.00000000011,0.0000000000095,,,,,,,,,,,,,,,3-Sep-2021,Jun Chen and Balraj Singh,2025-10-17
78,116,Pt,11,,1479.272,0.006,,0+,3,,,,,,,,,,,,,,,,,,,,,3-Sep-2021,Jun Chen and Balraj Singh,2025-10-17
78,116,Pt,12,,1485.04,0.16,,(7-),1,3.45,,12,ns,0.00000000345,0.00000000012,,,,,,,,,,,1.8,0.6,,,3-Sep-2021,Jun Chen and Balraj Singh,2025-10-17
78,116,Pt,13,,1498.77,0.2,,(5+),1,,,,,,,,,,,,,,,,,,,,,3-Sep-2021,Jun Chen and Balraj Singh,2025-10-17
78,116,Pt,14,,1512.004,0.006,,2+,3,,,,,,,,,,,,,,,,,,,,,3-Sep-2021,Jun Chen and Balraj Singh,2025-10-17
78,116,Pt,15,,1529,2,,,,,,,,,,,,,,,,,,,,,,,,3-Sep-2021,Jun Chen and Balraj Singh,2025-10-17
