z,n,symbol,idx,energy_shift,energy,unc_e,ripl_shift,jp,jp_order,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hl,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_mn,electric_quadrupole,unc_eq,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
83,114,Bi,0,,0,,,(9/2-),1,9.33,,50,m,559.8,30,EC+B+,100,,A,0.0001,,,,,,3.9,0.11,-1.7,1,1-Jan-2002,HUANG XIAOLONG and  ZHOU CHUNMEI,2025-10-17
83,114,Bi,1,,500,,,(1/2+),1,5.04,,16,m,302.4,9.6,A,55,40,EC+B+,45,40,IT,0.3,,,,,,,1-Jan-2002,HUANG XIAOLONG and  ZHOU CHUNMEI,2025-10-17
83,114,Bi,2,,1000.73,0.16,,(13/2-),1,,,,,,,,,,,,,,,,,,,,,1-Jan-2002,HUANG XIAOLONG and  ZHOU CHUNMEI,2025-10-17
83,114,Bi,3,,1009.23,0.16,,(11/2-),1,,,,,,,,,,,,,,,,,,,,,1-Jan-2002,HUANG XIAOLONG and  ZHOU CHUNMEI,2025-10-17
83,114,Bi,4,,1196.25,0.15,,(13/2+),1,,,,,,,,,,,,,,,,,,,,,1-Jan-2002,HUANG XIAOLONG and  ZHOU CHUNMEI,2025-10-17
83,114,Bi,5,,1600.95,0.25,,(17/2+),1,15.3,,30,ns,0.0000000153,0.000000003,,,,,,,,,,,,,,,1-Jan-2002,HUANG XIAOLONG and  ZHOU CHUNMEI,2025-10-17
83,114,Bi,6,,1967.5,0.8,,21/2+,1,,,,,,,,,,,,,,,,,,,,,1-Jan-2002,HUANG XIAOLONG and  ZHOU CHUNMEI,2025-10-17
83,114,Bi,7,X,1968,,42.6,,,18.0,,31,ns,0.000000018,0.0000000031,,,,,,,,,,,,,,,1-Jan-2002,HUANG XIAOLONG and  ZHOU CHUNMEI,2025-10-17
83,114,Bi,8,,2064.7,1,,,,36.7,,70,ns,0.0000000367,0.000000007,,,,,,,,,,,,,,,1-Jan-2002,HUANG XIAOLONG and  ZHOU CHUNMEI,2025-10-17
83,114,Bi,9,,2088.6,1,,(25/2+),1,19.3,,49,ns,0.0000000193,0.0000000049,,,,,,,,,,,,,,,1-Jan-2002,HUANG XIAOLONG and  ZHOU CHUNMEI,2025-10-17
83,114,Bi,10,X,2127.9,0.5,42.6,,,,,,,,,,,,,,,,,,,,,,,1-Jan-2002,HUANG XIAOLONG and  ZHOU CHUNMEI,2025-10-17
83,114,Bi,11,,2129.3,0.4,,(23/2-),1,204,,18,ns,0.000000204,0.000000018,,,,,,,,,,,,,,,1-Jan-2002,HUANG XIAOLONG and  ZHOU CHUNMEI,2025-10-17
83,114,Bi,12,,2357.4,1.1,,(27/2+),1,53,,21,ns,0.000000053,0.000000021,,,,,,,,,,,,,,,1-Jan-2002,HUANG XIAOLONG and  ZHOU CHUNMEI,2025-10-17
83,114,Bi,13,X,2360.4,0.5,42.6,(29/2-),1,263,,13,ns,0.000000263,0.000000013,,,,,,,,,,,,,,,1-Jan-2002,HUANG XIAOLONG and  ZHOU CHUNMEI,2025-10-17
83,114,Bi,14,X,2383.1,0.7,42.6,(29/2-),2,253,,39,ns,0.000000253,0.000000039,,,,,,,,,,,,,,,1-Jan-2002,HUANG XIAOLONG and  ZHOU CHUNMEI,2025-10-17
83,114,Bi,15,,2383.3,1.1,,(27/2+),2,,,,,,,,,,,,,,,,,,,,,1-Jan-2002,HUANG XIAOLONG and  ZHOU CHUNMEI,2025-10-17
83,114,Bi,16,,2384.5,0.5,,(25/2),1,,,,,,,,,,,,,,,,,,,,,1-Jan-2002,HUANG XIAOLONG and  ZHOU CHUNMEI,2025-10-17
83,114,Bi,17,,2497.8,1.1,,,,,,,,,,,,,,,,,,,,,,,,1-Jan-2002,HUANG XIAOLONG and  ZHOU CHUNMEI,2025-10-17
83,114,Bi,18,,2635.1,1.2,,,,,,,,,,,,,,,,,,,,,,,,1-Jan-2002,HUANG XIAOLONG and  ZHOU CHUNMEI,2025-10-17
83,114,Bi,19,,2688.7,0.5,,(27/2),1,,,,,,,,,,,,,,,,,,,,,1-Jan-2002,HUANG XIAOLONG and  ZHOU CHUNMEI,2025-10-17
83,114,Bi,20,X,2868.2,1.2,42.6,(31/2-),1,,,,,,,,,,,,,,,,,,,,,1-Jan-2002,HUANG XIAOLONG and  ZHOU CHUNMEI,2025-10-17
83,114,Bi,21,,2928.3,1.2,,,,,,,,,,,,,,,,,,,,,,,,1-Jan-2002,HUANG XIAOLONG and  ZHOU CHUNMEI,2025-10-17
83,114,Bi,22,,2929.5,0.5,,(31/2-),2,209,,30,ns,0.000000209,0.00000003,,,,,,,,,,,,,,,1-Jan-2002,HUANG XIAOLONG and  ZHOU CHUNMEI,2025-10-17
83,114,Bi,23,,3070.6,1.1,,,,,,,,,,,,,,,,,,,,,,,,1-Jan-2002,HUANG XIAOLONG and  ZHOU CHUNMEI,2025-10-17
83,114,Bi,24,,3078.3,1.2,,,,,,,,,,,,,,,,,,,,,,,,1-Jan-2002,HUANG XIAOLONG and  ZHOU CHUNMEI,2025-10-17
83,114,Bi,25,X,3306.6,0.9,42.6,(33/2-),1,,,,,,,,,,,,,,,,,,,,,1-Jan-2002,HUANG XIAOLONG and  ZHOU CHUNMEI,2025-10-17
83,114,Bi,26,,3555.6,1.3,,,,,,,,,,,,,,,,,,,,,,,,1-Jan-2002,HUANG XIAOLONG and  ZHOU CHUNMEI,2025-10-17
83,114,Bi,27,X,3684,1,42.6,,,,,,,,,,,,,,,,,,,,,,,1-Jan-2002,HUANG XIAOLONG and  ZHOU CHUNMEI,2025-10-17
83,114,Bi,28,,3866.2,1.4,,,,,,,,,,,,,,,,,,,,,,,,1-Jan-2002,HUANG XIAOLONG and  ZHOU CHUNMEI,2025-10-17
83,114,Bi,29,,4024.8,1.3,,,,,,,,,,,,,,,,,,,,,,,,1-Jan-2002,HUANG XIAOLONG and  ZHOU CHUNMEI,2025-10-17
83,114,Bi,30,Y,,,,J AP (15/2),1,,,,,,,,,,,,,,,,,1.6,0.05,,,1-Jan-2002,HUANG XIAOLONG and  ZHOU CHUNMEI,2025-10-17
83,114,Bi,31,Y,186.7,0.5,,J+2,1,,,,,,,,,,,,,,,,,,,,,1-Jan-2002,HUANG XIAOLONG and  ZHOU CHUNMEI,2025-10-17
83,114,Bi,32,Y,415.8,0.7,,J+4,1,,,,,,,,,,,,,,,,,,,,,1-Jan-2002,HUANG XIAOLONG and  ZHOU CHUNMEI,2025-10-17
83,114,Bi,33,Y,685.4,0.9,,J+6,1,,,,,,,,,,,,,,,,,,,,,1-Jan-2002,HUANG XIAOLONG and  ZHOU CHUNMEI,2025-10-17
83,114,Bi,34,Y,995.4,1,,J+8,1,,,,,,,,,,,,,,,,,,,,,1-Jan-2002,HUANG XIAOLONG and  ZHOU CHUNMEI,2025-10-17
83,114,Bi,35,Y,1346.5,1.2,,J+10,1,,,,,,,,,,,,,,,,,,,,,1-Jan-2002,HUANG XIAOLONG and  ZHOU CHUNMEI,2025-10-17
83,114,Bi,36,Y,1737.2,1.3,,J+12,1,,,,,,,,,,,,,,,,,,,,,1-Jan-2002,HUANG XIAOLONG and  ZHOU CHUNMEI,2025-10-17
83,114,Bi,37,Y,2168,1.4,,J+14,1,,,,,,,,,,,,,,,,,,,,,1-Jan-2002,HUANG XIAOLONG and  ZHOU CHUNMEI,2025-10-17
83,114,Bi,38,Y,2636.5,1.5,,J+16,1,,,,,,,,,,,,,,,,,,,,,1-Jan-2002,HUANG XIAOLONG and  ZHOU CHUNMEI,2025-10-17
83,114,Bi,39,Y,3143.6,1.5,,J+18,1,,,,,,,,,,,,,,,,,,,,,1-Jan-2002,HUANG XIAOLONG and  ZHOU CHUNMEI,2025-10-17
83,114,Bi,40,Y,3688.6,,,J+20,1,,,,,,,,,,,,,,,,,,,,,1-Jan-2002,HUANG XIAOLONG and  ZHOU CHUNMEI,2025-10-17

