z,n,symbol,idx,energy_shift,energy,unc_e,ripl_shift,jp,jp_order,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hl,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_mn,electric_quadrupole,unc_eq,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
84,116,Po,0,,0,,,0+,1,11.54,,9,m,692.4,5.4,EC+B+,88.7,0.4,A,11.3,0.4,,,,,,,,,1-Aug-2023,F.G. KONDEV,2025-10-17
84,116,Po,1,,665.9,0.1,,2+,1,2.01,,11,ps,0.00000000000201,0.00000000000011,,,,,,,,,,,,,0.05,0.15,1-Aug-2023,F.G. KONDEV,2025-10-17
84,116,Po,2,,1136.5,0.2,,0+,2,,,,,,,,,,,,,,,,,,,,,1-Aug-2023,F.G. KONDEV,2025-10-17
84,116,Po,3,,1276.9,0.14,,4+,1,,,,,,,,,,,,,,,,,,,,,1-Aug-2023,F.G. KONDEV,2025-10-17
84,116,Po,4,,1392.3,0.15,,2+,2,,,,,,,,,,,,,,,,,,,,,1-Aug-2023,F.G. KONDEV,2025-10-17
84,116,Po,5,,1652,0.23,,(1 2 3)+,1,,,,,,,,,,,,,,,,,,,,,1-Aug-2023,F.G. KONDEV,2025-10-17
84,116,Po,6,,1761.4,0.17,,6+,1,,,,,,,,,,,,,,,,,,,,,1-Aug-2023,F.G. KONDEV,2025-10-17
84,116,Po,7,,1773.2,0.25,,(3 4 5)+,1,,,,,,,,,,,,,,,,,,,,,1-Aug-2023,F.G. KONDEV,2025-10-17
84,116,Po,8,,1773.61,0.24,,8+,1,61,,3,ns,0.000000061,0.000000003,,,,,,,,,,,7.44,0.16,-1.38,0.07,1-Aug-2023,F.G. KONDEV,2025-10-17
84,116,Po,9,,1776.2,0.23,,,,,,,,,,,,,,,,,,,,,,,,1-Aug-2023,F.G. KONDEV,2025-10-17
84,116,Po,10,,1791.5,0.25,,,,,,,,,,,,,,,,,,,,,,,,1-Aug-2023,F.G. KONDEV,2025-10-17
84,116,Po,11,,1811.41,0.17,,5-,1,,,,,,,,,,,,,,,,,,,,,1-Aug-2023,F.G. KONDEV,2025-10-17
84,116,Po,12,,1850.6,0.25,,,,,,,,,,,,,,,,,,,,,,,,1-Aug-2023,F.G. KONDEV,2025-10-17
84,116,Po,13,,1883.2,0.25,,(3 4 5)+,2,,,,,,,,,,,,,,,,,,,,,1-Aug-2023,F.G. KONDEV,2025-10-17
84,116,Po,14,,2085.6,0.8,,(6)+,1,,,,,,,,,,,,,,,,,,,,,1-Aug-2023,F.G. KONDEV,2025-10-17
84,116,Po,15,,2135.22,0.21,,7-,1,,,,,,,,,,,,,,,,,,,,,1-Aug-2023,F.G. KONDEV,2025-10-17
84,116,Po,16,,2220.7,0.3,,(4 5 6)-,1,,,,,,,,,,,,,,,,,,,,,1-Aug-2023,F.G. KONDEV,2025-10-17
84,116,Po,17,,2235.9,1.1,,8-,1,,,,,,,,,,,,,,,,,,,,,1-Aug-2023,F.G. KONDEV,2025-10-17
84,116,Po,18,,2261.28,0.25,,9-,1,2,LT,,ns,0.000000002,,,,,,,,,,,,,,,,1-Aug-2023,F.G. KONDEV,2025-10-17
84,116,Po,19,,2329.9,0.4,,,,,,,,,,,,,,,,,,,,,,,,1-Aug-2023,F.G. KONDEV,2025-10-17
84,116,Po,20,,2338.2,0.3,,(7 8 9)+,1,,,,,,,,,,,,,,,,,,,,,1-Aug-2023,F.G. KONDEV,2025-10-17
84,116,Po,21,,2360.7,0.4,,,,,,,,,,,,,,,,,,,,,,,,1-Aug-2023,F.G. KONDEV,2025-10-17
84,116,Po,22,,2414.6,0.3,,(5)-,1,,,,,,,,,,,,,,,,,,,,,1-Aug-2023,F.G. KONDEV,2025-10-17
