z,n,symbol,idx,energy_shift,energy,unc_e,ripl_shift,jp,jp_order,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hl,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_mn,electric_quadrupole,unc_eq,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
80,125,Hg,0,,0,,,1/2-,1,5.14,,9,m,308.4,5.4,B-,100,,,,,,,,,0.601,0.0006,,,20-Apr-2020,F.G. KONDEV,2025-10-17
80,125,Hg,1,,379.46,0.1,,5/2-,1,,,,,,,,,,,,,,,,,,,,,20-Apr-2020,F.G. KONDEV,2025-10-17
80,125,Hg,2,,467.51,0.11,,3/2-,1,,,,,,,,,,,,,,,,,,,,,20-Apr-2020,F.G. KONDEV,2025-10-17
80,125,Hg,3,,1280.7,0.3,,1/2- 3/2 5/2-,1,,,,,,,,,,,,,,,,,,,,,20-Apr-2020,F.G. KONDEV,2025-10-17
80,125,Hg,4,,1325.2,0.4,,1/2- 3/2 5/2-,2,,,,,,,,,,,,,,,,,,,,,20-Apr-2020,F.G. KONDEV,2025-10-17
80,125,Hg,5,,1346.12,0.13,,7/2-,1,,,,,,,,,,,,,,,,,,,,,20-Apr-2020,F.G. KONDEV,2025-10-17
80,125,Hg,6,,1395.08,0.21,,9/2-,1,,,,,,,,,,,,,,,,,,,,,20-Apr-2020,F.G. KONDEV,2025-10-17
80,125,Hg,7,,1447.5,0.4,,1/2- 3/2 5/2,1,,,,,,,,,,,,,,,,,,,,,20-Apr-2020,F.G. KONDEV,2025-10-17
80,125,Hg,8,,1556.4,0.3,,13/2+,1,1.09,,4,ms,0.00109,0.00004,IT,100,,,,,,,,,,,,,20-Apr-2020,F.G. KONDEV,2025-10-17
80,125,Hg,9,,1818.2,0.5,,,,,,,,,,,,,,,,,,,,,,,,20-Apr-2020,F.G. KONDEV,2025-10-17
80,125,Hg,10,,1847.3,0.3,,9/2+,1,,,,,,,,,,,,,,,,,,,,,20-Apr-2020,F.G. KONDEV,2025-10-17
80,125,Hg,11,,2011.4,0.3,,(11/2+),1,,,,,,,,,,,,,,,,,,,,,20-Apr-2020,F.G. KONDEV,2025-10-17
80,125,Hg,12,,2205.9,0.6,,,,,,,,,,,,,,,,,,,,,,,,20-Apr-2020,F.G. KONDEV,2025-10-17
80,125,Hg,13,,2337,,,,,,,,,,,,,,,,,,,,,,,,,20-Apr-2020,F.G. KONDEV,2025-10-17
80,125,Hg,14,,2350.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,20-Apr-2020,F.G. KONDEV,2025-10-17
80,125,Hg,15,,2366.4,0.6,,(17/2+),1,,,,,,,,,,,,,,,,,,,,,20-Apr-2020,F.G. KONDEV,2025-10-17
80,125,Hg,16,,2368.9,0.5,,,,,,,,,,,,,,,,,,,,,,,,20-Apr-2020,F.G. KONDEV,2025-10-17
80,125,Hg,17,,2540,,,,,,,,,,,,,,,,,,,,,,,,,20-Apr-2020,F.G. KONDEV,2025-10-17
80,125,Hg,18,,2566,,,+,1,,,,,,,,,,,,,,,,,,,,,20-Apr-2020,F.G. KONDEV,2025-10-17
