z,n,symbol,idx,energy_shift,energy,unc_e,ripl_shift,jp,jp_order,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hl,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_mn,electric_quadrupole,unc_eq,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
81,125,Tl,0,,0,,,0-,1,4.202,,11,m,252.12,0.66,B-,100,,,,,,,,,,,,,31-Jan-2008,F.G. KONDEV,2025-10-17
81,125,Tl,1,,265.832,0.005,,2-,1,2.29,,14,ns,0.00000000229,0.00000000014,,,,,,,,,,,,,,,31-Jan-2008,F.G. KONDEV,2025-10-17
81,125,Tl,2,,304.896,0.006,,1-,1,4.2,,14,ps,0.0000000000042,0.0000000000014,,,,,,,,,,,,,,,31-Jan-2008,F.G. KONDEV,2025-10-17
81,125,Tl,3,,635.02,0.05,,2-,2,4.0,,9,ps,0.000000000004,0.0000000000009,,,,,,,,,,,,,,,31-Jan-2008,F.G. KONDEV,2025-10-17
81,125,Tl,4,,649.42,0.05,,1-,2,,,,,,,,,,,,,,,,,,,,,31-Jan-2008,F.G. KONDEV,2025-10-17
81,125,Tl,5,,801.36,0.04,,(3)-,1,2.4,,7,ps,0.0000000000024,0.0000000000007,,,,,,,,,,,,,,,31-Jan-2008,F.G. KONDEV,2025-10-17
81,125,Tl,6,,939.91,0.05,,,,,,,,,,,,,,,,,,,,,,,,31-Jan-2008,F.G. KONDEV,2025-10-17
81,125,Tl,7,,952.17,0.06,,4-,1,42,,10,ps,0.000000000042,0.00000000001,,,,,,,,,,,,,,,31-Jan-2008,F.G. KONDEV,2025-10-17
81,125,Tl,8,,998.17,0.07,,2- 3-,1,,,,,,,,,,,,,,,,,,,,,31-Jan-2008,F.G. KONDEV,2025-10-17
81,125,Tl,9,,1079.6,0.7,,(1- 2),1,,,,,,,,,,,,,,,,,,,,,31-Jan-2008,F.G. KONDEV,2025-10-17
81,125,Tl,10,,1117.5,0.6,,1- 2-,1,,,,,,,,,,,,,,,,,,,,,31-Jan-2008,F.G. KONDEV,2025-10-17
81,125,Tl,11,,1206,4,,,,,,,,,,,,,,,,,,,,,,,,31-Jan-2008,F.G. KONDEV,2025-10-17
81,125,Tl,12,,1257,10,,,,,,,,,,,,,,,,,,,,,,,,31-Jan-2008,F.G. KONDEV,2025-10-17
81,125,Tl,13,,1333,4,,1- 2-,2,,,,,,,,,,,,,,,,,,,,,31-Jan-2008,F.G. KONDEV,2025-10-17
81,125,Tl,14,,1360.3,0.3,,(0 1 2)-,1,,,,,,,,,,,,,,,,,,,,,31-Jan-2008,F.G. KONDEV,2025-10-17
81,125,Tl,15,,1400,3,,,,,,,,,,,,,,,,,,,,,,,,31-Jan-2008,F.G. KONDEV,2025-10-17
81,125,Tl,16,,1405.47,0.07,,(5)+,1,78,,1,ns,0.000000078,0.000000001,,,,,,,,,,,4.27,0.06,,,31-Jan-2008,F.G. KONDEV,2025-10-17
81,125,Tl,17,,1453,4,,,,,,,,,,,,,,,,,,,,,,,,31-Jan-2008,F.G. KONDEV,2025-10-17
81,125,Tl,18,,1473,4,,,,,,,,,,,,,,,,,,,,,,,,31-Jan-2008,F.G. KONDEV,2025-10-17
81,125,Tl,19,,1489.8,0.4,,(1 2 3)-,1,,,,,,,,,,,,,,,,,,,,,31-Jan-2008,F.G. KONDEV,2025-10-17
81,125,Tl,20,,1621.7,0.11,,(7)+,1,10.1,,6,ns,0.0000000101,0.0000000006,,,,,,,,,,,,,,,31-Jan-2008,F.G. KONDEV,2025-10-17
81,125,Tl,21,,1631,4,,(2-),1,,,,,,,,,,,,,,,,,,,,,31-Jan-2008,F.G. KONDEV,2025-10-17
81,125,Tl,22,,1649,5,,(1 2)-,1,,,,,,,,,,,,,,,,,,,,,31-Jan-2008,F.G. KONDEV,2025-10-17
81,125,Tl,23,,1710.53,0.18,,(5 6)+,1,,,,,,,,,,,,,,,,,,,,,31-Jan-2008,F.G. KONDEV,2025-10-17
81,125,Tl,24,,1800,5,,(3+),1,,,,,,,,,,,,,,,,,,,,,31-Jan-2008,F.G. KONDEV,2025-10-17
81,125,Tl,25,,1844,4,,1- 2-,3,,,,,,,,,,,,,,,,,,,,,31-Jan-2008,F.G. KONDEV,2025-10-17
81,125,Tl,26,,1983,6,,(5)+,2,,,,,,,,,,,,,,,,,,,,,31-Jan-2008,F.G. KONDEV,2025-10-17
81,125,Tl,27,,1988,6,,,,,,,,,,,,,,,,,,,,,,,,31-Jan-2008,F.G. KONDEV,2025-10-17
81,125,Tl,28,,2058,6,,2- 3-,2,,,,,,,,,,,,,,,,,,,,,31-Jan-2008,F.G. KONDEV,2025-10-17
81,125,Tl,29,,2078.9,0.18,,(8+),1,,,,,,,,,,,,,,,,,,,,,31-Jan-2008,F.G. KONDEV,2025-10-17
81,125,Tl,30,,2126,6,,5+ 6+,1,,,,,,,,,,,,,,,,,,,,,31-Jan-2008,F.G. KONDEV,2025-10-17
81,125,Tl,31,,2170,7,,,,,,,,,,,,,,,,,,,,,,,,31-Jan-2008,F.G. KONDEV,2025-10-17
81,125,Tl,32,,2217,7,,2- 3- 4-,1,,,,,,,,,,,,,,,,,,,,,31-Jan-2008,F.G. KONDEV,2025-10-17
81,125,Tl,33,,2243,7,,(5+ 6+ 7+),1,,,,,,,,,,,,,,,,,,,,,31-Jan-2008,F.G. KONDEV,2025-10-17
81,125,Tl,34,,2264,10,,5+ 6+,2,,,,,,,,,,,,,,,,,,,,,31-Jan-2008,F.G. KONDEV,2025-10-17
81,125,Tl,35,,2326.16,0.19,,(8+ 9+),1,,,,,,,,,,,,,,,,,,,,,31-Jan-2008,F.G. KONDEV,2025-10-17
81,125,Tl,36,,2347,7,,,,,,,,,,,,,,,,,,,,,,,,31-Jan-2008,F.G. KONDEV,2025-10-17
81,125,Tl,37,,2411,7,,(5+ 6+),1,,,,,,,,,,,,,,,,,,,,,31-Jan-2008,F.G. KONDEV,2025-10-17
81,125,Tl,38,,2442,7,,,,,,,,,,,,,,,,,,,,,,,,31-Jan-2008,F.G. KONDEV,2025-10-17
81,125,Tl,39,,2462,7,,2- 3-,3,,,,,,,,,,,,,,,,,,,,,31-Jan-2008,F.G. KONDEV,2025-10-17
81,125,Tl,40,,2495,7,,1- 2-,4,,,,,,,,,,,,,,,,,,,,,31-Jan-2008,F.G. KONDEV,2025-10-17
81,125,Tl,41,,2530,8,,,,,,,,,,,,,,,,,,,,,,,,31-Jan-2008,F.G. KONDEV,2025-10-17
81,125,Tl,42,,2581,7,,(4+ 5+),1,,,,,,,,,,,,,,,,,,,,,31-Jan-2008,F.G. KONDEV,2025-10-17
81,125,Tl,43,,2594,7,,(4+ 5+),2,,,,,,,,,,,,,,,,,,,,,31-Jan-2008,F.G. KONDEV,2025-10-17
81,125,Tl,44,,2617,8,,(4+ 5+),3,,,,,,,,,,,,,,,,,,,,,31-Jan-2008,F.G. KONDEV,2025-10-17
81,125,Tl,45,,2643.1,0.18,,(12-),1,3.74,,3,m,224.4,1.8,IT,100,,,,,,,,,,,,,31-Jan-2008,F.G. KONDEV,2025-10-17
81,125,Tl,46,,2646,8,,(4+ 5+),4,,,,,,,,,,,,,,,,,,,,,31-Jan-2008,F.G. KONDEV,2025-10-17
81,125,Tl,47,,2708,8,,(1 2 3)-,2,,,,,,,,,,,,,,,,,,,,,31-Jan-2008,F.G. KONDEV,2025-10-17
81,125,Tl,48,,2728,8,,,,,,,,,,,,,,,,,,,,,,,,31-Jan-2008,F.G. KONDEV,2025-10-17
81,125,Tl,49,,2807,8,,(1 2 3)-,3,,,,,,,,,,,,,,,,,,,,,31-Jan-2008,F.G. KONDEV,2025-10-17
81,125,Tl,50,,2828,7,,,,,,,,,,,,,,,,,,,,,,,,31-Jan-2008,F.G. KONDEV,2025-10-17
