z,n,symbol,idx,energy_shift,energy,unc_e,ripl_shift,jp,jp_order,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hl,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_mn,electric_quadrupole,unc_eq,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
85,124,At,0,,0,,,9/2-,1,5.42,,5,h,19512,180,EC+B+,95.9,0.5,A,4.1,0.5,,,,,4.14,0.07,-0.4,0.2,30-Sep-2013,J. CHEN {+#} AND F.G. KONDEV,2025-10-17
85,124,At,1,,408.37,0.03,,7/2-,1,,,,,,,,,,,,,,,,,,,,,30-Sep-2013,J. CHEN {+#} AND F.G. KONDEV,2025-10-17
85,124,At,2,,577.08,0.07,,11/2-,1,,,,,,,,,,,,,,,,,,,,,30-Sep-2013,J. CHEN {+#} AND F.G. KONDEV,2025-10-17
85,124,At,3,,725.07,0.08,,13/2-,1,,,,,,,,,,,,,,,,,,,,,30-Sep-2013,J. CHEN {+#} AND F.G. KONDEV,2025-10-17
85,124,At,4,,745.81,0.04,,7/2-,2,,,,,,,,,,,,,,,,,,,,,30-Sep-2013,J. CHEN {+#} AND F.G. KONDEV,2025-10-17
85,124,At,5,,789.07,0.21,,(9/2)-,1,,,,,,,,,,,,,,,,,,,,,30-Sep-2013,J. CHEN {+#} AND F.G. KONDEV,2025-10-17
85,124,At,6,,794.62,0.05,,5/2-,1,,,,,,,,,,,,,,,,,,,,,30-Sep-2013,J. CHEN {+#} AND F.G. KONDEV,2025-10-17
85,124,At,7,,934.51,0.13,,(7/2)-,1,,,,,,,,,,,,,,,,,,,,,30-Sep-2013,J. CHEN {+#} AND F.G. KONDEV,2025-10-17
85,124,At,8,,1081.22,0.05,,(5/2 7/2)-,1,,,,,,,,,,,,,,,,,,,,,30-Sep-2013,J. CHEN {+#} AND F.G. KONDEV,2025-10-17
85,124,At,9,,1093.13,0.16,,(7/2)-,2,,,,,,,,,,,,,,,,,,,,,30-Sep-2013,J. CHEN {+#} AND F.G. KONDEV,2025-10-17
85,124,At,10,,1097.74,0.05,,(7/2)-,3,,,,,,,,,,,,,,,,,,,,,30-Sep-2013,J. CHEN {+#} AND F.G. KONDEV,2025-10-17
85,124,At,11,,1131.11,0.11,,(5/2 7/2)-,2,,,,,,,,,,,,,,,,,,,,,30-Sep-2013,J. CHEN {+#} AND F.G. KONDEV,2025-10-17
85,124,At,12,,1214.28,0.13,,11/2- 13/2-,1,,,,,,,,,,,,,,,,,,,,,30-Sep-2013,J. CHEN {+#} AND F.G. KONDEV,2025-10-17
85,124,At,13,,1242.36,0.11,,(13/2-),1,,,,,,,,,,,,,,,,,,,,,30-Sep-2013,J. CHEN {+#} AND F.G. KONDEV,2025-10-17
85,124,At,14,,1269.84,0.17,,(11/2 13/2)-,1,,,,,,,,,,,,,,,,,,,,,30-Sep-2013,J. CHEN {+#} AND F.G. KONDEV,2025-10-17
85,124,At,15,,1321.57,0.13,,17/2-,1,,,,,,,,,,,,,,,,,,,,,30-Sep-2013,J. CHEN {+#} AND F.G. KONDEV,2025-10-17
85,124,At,16,,1339.57,0.22,,(13/2 15/2)-,1,,,,,,,,,,,,,,,,,,,,,30-Sep-2013,J. CHEN {+#} AND F.G. KONDEV,2025-10-17
85,124,At,17,,1393.57,0.13,,(13/2 15/2)-,2,,,,,,,,,,,,,,,,,,,,,30-Sep-2013,J. CHEN {+#} AND F.G. KONDEV,2025-10-17
85,124,At,18,,1394.16,0.06,,(7/2)-,4,,,,,,,,,,,,,,,,,,,,,30-Sep-2013,J. CHEN {+#} AND F.G. KONDEV,2025-10-17
85,124,At,19,,1427.67,0.16,,21/2-,1,25.3,,7,ns,0.0000000253,0.0000000007,,,,,,,,,,,10,0.2,-0.78,0.06,30-Sep-2013,J. CHEN {+#} AND F.G. KONDEV,2025-10-17
85,124,At,20,,1516.9,0.14,,,,,,,,,,,,,,,,,,,,,,,,30-Sep-2013,J. CHEN {+#} AND F.G. KONDEV,2025-10-17
85,124,At,21,,1659.97,0.22,,,,,,,,,,,,,,,,,,,,,,,,30-Sep-2013,J. CHEN {+#} AND F.G. KONDEV,2025-10-17
85,124,At,22,,1772.56,0.13,,(15/2-),1,,,,,,,,,,,,,,,,,,,,,30-Sep-2013,J. CHEN {+#} AND F.G. KONDEV,2025-10-17
85,124,At,23,,1851.72,0.19,,23/2-,1,,,,,,,,,,,,,,,,,,,,,30-Sep-2013,J. CHEN {+#} AND F.G. KONDEV,2025-10-17
85,124,At,24,,1907.27,0.16,,(19/2)-,1,,,,,,,,,,,,,,,,,,,,,30-Sep-2013,J. CHEN {+#} AND F.G. KONDEV,2025-10-17
85,124,At,25,,1953.52,0.06,,7/2+,1,,,,,,,,,,,,,,,,,,,,,30-Sep-2013,J. CHEN {+#} AND F.G. KONDEV,2025-10-17
85,124,At,26,,2075.87,0.24,,(19/2-),1,,,,,,,,,,,,,,,,,,,,,30-Sep-2013,J. CHEN {+#} AND F.G. KONDEV,2025-10-17
85,124,At,27,,2086.36,0.24,,,,,,,,,,,,,,,,,,,,,,,,30-Sep-2013,J. CHEN {+#} AND F.G. KONDEV,2025-10-17
85,124,At,28,,2135.81,0.06,,(5/2 7/2)+,1,,,,,,,,,,,,,,,,,,,,,30-Sep-2013,J. CHEN {+#} AND F.G. KONDEV,2025-10-17
85,124,At,29,,2183.2,0.6,,(23/2-),1,,,,,,,,,,,,,,,,,,,,,30-Sep-2013,J. CHEN {+#} AND F.G. KONDEV,2025-10-17
85,124,At,30,,2238.3,0.3,,25/2-,1,,,,,,,,,,,,,,,,,,,,,30-Sep-2013,J. CHEN {+#} AND F.G. KONDEV,2025-10-17
85,124,At,31,,2402.8,0.6,,(21/2-),1,,,,,,,,,,,,,,,,,,,,,30-Sep-2013,J. CHEN {+#} AND F.G. KONDEV,2025-10-17
85,124,At,32,,2415.01,0.09,,5/2+ 7/2+,1,,,,,,,,,,,,,,,,,,,,,30-Sep-2013,J. CHEN {+#} AND F.G. KONDEV,2025-10-17
85,124,At,33,,2429.32,0.22,,29/2+,1,0.916,,10,us,0.000000916,0.00000001,,,,,,,,,,,15.38,0.14,-1.49,0.09,30-Sep-2013,J. CHEN {+#} AND F.G. KONDEV,2025-10-17
