z,n,symbol,idx,energy_shift,energy,unc_e,ripl_shift,jp,jp_order,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hl,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_mn,electric_quadrupole,unc_eq,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
86,129,Rn,0,,0,,,9/2+,1,2.30,,10,us,0.0000023,0.0000001,A,100,,,,,,,,,,,,,23-SEP-2013,S.K. Basu and  G. Mukherjee and  B. Singh and  S. Bhattacharya and  A. De and  D. Mondal,2025-10-17
86,129,Rn,1,,213.97,0.18,,(7/2 9/2)+,1,,,,,,,,,,,,,,,,,,,,,23-SEP-2013,S.K. Basu and  G. Mukherjee and  B. Singh and  S. Bhattacharya and  A. De and  D. Mondal,2025-10-17
86,129,Rn,2,,290.8,0.3,,(7/2 9/2 11/2)-,1,,,,,,,,,,,,,,,,,,,,,23-SEP-2013,S.K. Basu and  G. Mukherjee and  B. Singh and  S. Bhattacharya and  A. De and  D. Mondal,2025-10-17
86,129,Rn,3,,315.82,0.04,,(11/2)+,1,,,,,,,,,,,,,,,,,,,,,23-SEP-2013,S.K. Basu and  G. Mukherjee and  B. Singh and  S. Bhattacharya and  A. De and  D. Mondal,2025-10-17
86,129,Rn,4,,570.14,0.17,,(13/2+),1,,,,,,,,,,,,,,,,,,,,,23-SEP-2013,S.K. Basu and  G. Mukherjee and  B. Singh and  S. Bhattacharya and  A. De and  D. Mondal,2025-10-17
86,129,Rn,5,,805.7,0.3,,(7/2)+,1,,,,,,,,,,,,,,,,,,,,,23-SEP-2013,S.K. Basu and  G. Mukherjee and  B. Singh and  S. Bhattacharya and  A. De and  D. Mondal,2025-10-17
86,129,Rn,6,,946.33,0.19,,(15/2+),1,,,,,,,,,,,,,,,,,,,,,23-SEP-2013,S.K. Basu and  G. Mukherjee and  B. Singh and  S. Bhattacharya and  A. De and  D. Mondal,2025-10-17
86,129,Rn,7,,1016.49,0.23,,(17/2+),1,,,,,,,,,,,,,,,,,,,,,23-SEP-2013,S.K. Basu and  G. Mukherjee and  B. Singh and  S. Bhattacharya and  A. De and  D. Mondal,2025-10-17
86,129,Rn,8,,1334.28,0.23,,(19/2+),1,,,,,,,,,,,,,,,,,,,,,23-SEP-2013,S.K. Basu and  G. Mukherjee and  B. Singh and  S. Bhattacharya and  A. De and  D. Mondal,2025-10-17
86,129,Rn,9,,1403.8,0.3,,(21/2+),1,,,,,,,,,,,,,,,,,,,,,23-SEP-2013,S.K. Basu and  G. Mukherjee and  B. Singh and  S. Bhattacharya and  A. De and  D. Mondal,2025-10-17
86,129,Rn,10,,1607.8,0.3,,(23/2+),1,,,,,,,,,,,,,,,,,,,,,23-SEP-2013,S.K. Basu and  G. Mukherjee and  B. Singh and  S. Bhattacharya and  A. De and  D. Mondal,2025-10-17
86,129,Rn,11,,1731.1,0.3,,(25/2+),1,,,,,,,,,,,,,,,,,,,,,23-SEP-2013,S.K. Basu and  G. Mukherjee and  B. Singh and  S. Bhattacharya and  A. De and  D. Mondal,2025-10-17
86,129,Rn,12,,1804.8,0.3,,(27/2+),1,,,,,,,,,,,,,,,,,,,,,23-SEP-2013,S.K. Basu and  G. Mukherjee and  B. Singh and  S. Bhattacharya and  A. De and  D. Mondal,2025-10-17
86,129,Rn,13,X,1804.8,,,,,57,,+21-12,ns,0.000000057,0.0000000165,IT,100,,,,,,,,,,,,,23-SEP-2013,S.K. Basu and  G. Mukherjee and  B. Singh and  S. Bhattacharya and  A. De and  D. Mondal,2025-10-17
86,129,Rn,14,,2287.1,0.4,,(29/2+),1,,,,,,,,,,,,,,,,,,,,,23-SEP-2013,S.K. Basu and  G. Mukherjee and  B. Singh and  S. Bhattacharya and  A. De and  D. Mondal,2025-10-17
86,129,Rn,15,Y,,,,,,,,,,,,,,,,,,,,,,,,,,23-SEP-2013,S.K. Basu and  G. Mukherjee and  B. Singh and  S. Bhattacharya and  A. De and  D. Mondal,2025-10-17
86,129,Rn,16,Y,383.5,2,,,,,,,,,,,,,,,,,,,,,,,,23-SEP-2013,S.K. Basu and  G. Mukherjee and  B. Singh and  S. Bhattacharya and  A. De and  D. Mondal,2025-10-17
86,129,Rn,17,Y,542.2,0.3,,,,,,,,,,,,,,,,,,,,,,,,23-SEP-2013,S.K. Basu and  G. Mukherjee and  B. Singh and  S. Bhattacharya and  A. De and  D. Mondal,2025-10-17

