z,n,symbol,idx,energy_shift,energy,unc_e,ripl_shift,jp,jp_order,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hl,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_mn,electric_quadrupole,unc_eq,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
90,129,Th,0,,0,,,(9/2+),1,1.025,,30,us,0.000001025,0.00000003,A,100,,,,,,,,,,,,,19-May-2021,Balraj Singh et al. and ,2025-10-17
90,129,Th,1,,244,23,,(7/2+),1,,,,,,,,,,,,,,,,,,,,,19-May-2021,Balraj Singh et al. and ,2025-10-17
90,129,Th,2,,362.53,0.25,,(11/2+),1,,,,,,,,,,,,,,,,,,,,,19-May-2021,Balraj Singh et al. and ,2025-10-17
90,129,Th,3,,536.67,0.25,,(13/2+),1,,,,,,,,,,,,,,,,,,,,,19-May-2021,Balraj Singh et al. and ,2025-10-17
90,129,Th,4,,609.9,0.4,,(13/2-),1,,,,,,,,,,,,,,,,,,,,,19-May-2021,Balraj Singh et al. and ,2025-10-17
90,129,Th,5,,966.9,0.4,,(15/2+),1,,,,,,,,,,,,,,,,,,,,,19-May-2021,Balraj Singh et al. and ,2025-10-17
90,129,Th,6,,968.1,0.4,,(15/2-),1,,,,,,,,,,,,,,,,,,,,,19-May-2021,Balraj Singh et al. and ,2025-10-17
90,129,Th,7,,1049.3,0.4,,(17/2+),1,,,,,,,,,,,,,,,,,,,,,19-May-2021,Balraj Singh et al. and ,2025-10-17
90,129,Th,8,,1174.3,0.4,,(17/2-),1,,,,,,,,,,,,,,,,,,,,,19-May-2021,Balraj Singh et al. and ,2025-10-17
90,129,Th,9,,1375.6,0.4,,(19/2+),1,,,,,,,,,,,,,,,,,,,,,19-May-2021,Balraj Singh et al. and ,2025-10-17
90,129,Th,10,,1436.5,0.4,,(19/2-),1,,,,,,,,,,,,,,,,,,,,,19-May-2021,Balraj Singh et al. and ,2025-10-17
90,129,Th,11,,1519.5,0.5,,(21/2+),1,,,,,,,,,,,,,,,,,,,,,19-May-2021,Balraj Singh et al. and ,2025-10-17
90,129,Th,12,,1725.9,0.5,,(21/2-),1,,,,,,,,,,,,,,,,,,,,,19-May-2021,Balraj Singh et al. and ,2025-10-17
90,129,Th,13,,1752.3,0.5,,(23/2+),1,,,,,,,,,,,,,,,,,,,,,19-May-2021,Balraj Singh et al. and ,2025-10-17
90,129,Th,14,,1968.6,0.6,,(27/2+),1,,,,,,,,,,,,,,,,,,,,,19-May-2021,Balraj Singh et al. and ,2025-10-17
90,129,Th,15,,1974.4,0.6,,(25/2+),1,,,,,,,,,,,,,,,,,,,,,19-May-2021,Balraj Singh et al. and ,2025-10-17
90,129,Th,16,,2322,0.7,,(29/2+),1,,,,,,,,,,,,,,,,,,,,,19-May-2021,Balraj Singh et al. and ,2025-10-17

