z,n,symbol,idx,energy_shift,energy,unc_e,ripl_shift,jp,jp_order,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hl,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_mn,electric_quadrupole,unc_eq,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
11,10,Na,0,,0,,,3/2+,1,22.49,,4,s,22.49,0.04,EC+B+,100,,,,,,,,,2.3861,0.00004,0.138,0.011,15-Jan-2015,R.B. FIRESTONE,2025-10-16
11,10,Na,1,,331.9,0.1,,5/2+,1,7.08,,8,ps,0.00000000000708,0.00000000000008,,,,,,,,,,,3.6,0.3,,,15-Jan-2015,R.B. FIRESTONE,2025-10-16
11,10,Na,2,,1716.1,0.3,,7/2+,1,37,,8,fs,0.000000000000037,0.000000000000008,,,,,,,,,,,,,,,15-Jan-2015,R.B. FIRESTONE,2025-10-16
11,10,Na,3,,2423.8,0.4,,1/2+,1,1.7,,4,fs,0.0000000000000017,4e-16,,,,,,,,,,,,,,,15-Jan-2015,R.B. FIRESTONE,2025-10-16
11,10,Na,4,,2797.9,0.5,,1/2-,1,13,,4,fs,0.000000000000013,0.000000000000004,,,,,,,,,,,,,,,15-Jan-2015,R.B. FIRESTONE,2025-10-16
11,10,Na,5,,2829.1,0.7,,9/2+,1,,,,,,,,,,,,,,,,,,,,,15-Jan-2015,R.B. FIRESTONE,2025-10-16
11,10,Na,6,,3544.3,0.4,,5/2+,2,15.5,,14,eV,2.943469129492811e-17,2.658617278251571e-18,,,,,,,,,,,,,,,15-Jan-2015,R.B. FIRESTONE,2025-10-16
11,10,Na,7,,3678.9,0.4,,3/2-,1,193,,13,eV,2.3639259848258328e-18,1.5922817514370894e-19,,,,,,,,,,,,,,,15-Jan-2015,R.B. FIRESTONE,2025-10-16
11,10,Na,8,,3862.2,0.5,,5/2-,1,2.6,,3,eV,1.7547604425822526e-16,2.0247235875949067e-17,,,,,,,,,,,,,,,15-Jan-2015,R.B. FIRESTONE,2025-10-16
11,10,Na,9,,4169.6,0.7,,3/2-,2,180,,15,keV,2.5346539726188097e-21,2.112211643849008e-22,,,,,,,,,,,,,,,15-Jan-2015,R.B. FIRESTONE,2025-10-16
11,10,Na,10,,4294.3,0.6,,5/2+,3,3.93,,10,keV,1.1609102164666303e-19,2.95397001645453e-21,,,,,,,,,,,,,,,15-Jan-2015,R.B. FIRESTONE,2025-10-16
11,10,Na,11,,4419,2,,(11/2+),1,,,,,,,,,,,,,,,,,,,,,15-Jan-2015,R.B. FIRESTONE,2025-10-16
11,10,Na,12,,4467.9,0.7,,3/2+,2,21,,3,keV,2.1725605479589797e-20,3.1036579256556853e-21,,,,,,,,,,,,,,,15-Jan-2015,R.B. FIRESTONE,2025-10-16
11,10,Na,13,,4984,8,,1/2-,2,200,,,keV,2.2811885753569288e-21,0,,,,,,,,,,,,,,,15-Jan-2015,R.B. FIRESTONE,2025-10-16
11,10,Na,14,,5020,9,,(3/2 5/2 7/2)+,1,,,,,,,,,,,,,,,,,,,,,15-Jan-2015,R.B. FIRESTONE,2025-10-16
11,10,Na,15,,5380,9,,(3/2 5/2 7/2)+,2,,,,,,,,,,,,,,,,,,,,,15-Jan-2015,R.B. FIRESTONE,2025-10-16
11,10,Na,16,,5457,1,,1/2+,2,110,,,keV,4.147615591558052e-21,0,,,,,,,,,,,,,,,15-Jan-2015,R.B. FIRESTONE,2025-10-16
11,10,Na,17,,5770,20,,(3/2 5/2 7/2)+,3,20,AP,,keV,2.2811885753569288e-20,0,,,,,,,,,,,,,,,15-Jan-2015,R.B. FIRESTONE,2025-10-16
11,10,Na,18,,5815,1,,7/2-,1,0.4,AP,,keV,1.1405942876784644e-18,0,,,,,,,,,,,,,,,15-Jan-2015,R.B. FIRESTONE,2025-10-16
11,10,Na,19,,5828,1,,3/2-,3,25,,,keV,1.824950860285543e-20,0,,,,,,,,,,,,,,,15-Jan-2015,R.B. FIRESTONE,2025-10-16
11,10,Na,20,,5884,20,,(3/2 5/2 7/2)+,4,,,,,,,,,,,,,,,,,,,,,15-Jan-2015,R.B. FIRESTONE,2025-10-16
11,10,Na,21,,5979,15,,(3/2 5/2 7/2)+,5,,,,,,,,,,,,,,,,,,,,,15-Jan-2015,R.B. FIRESTONE,2025-10-16
11,10,Na,22,,6070,20,,(5/2 7/2)-,1,5,,,keV,9.124754301427715e-20,0,,,,,,,,,,,,,,,15-Jan-2015,R.B. FIRESTONE,2025-10-16
11,10,Na,23,,6165,30,,(3/2 5/2 7/2)+,6,,,,,,,,,,,,,,,,,,,,,15-Jan-2015,R.B. FIRESTONE,2025-10-16
11,10,Na,24,,6341,20,,(3/2 5/2 7/2)+,7,,,,,,,,,,,,,,,,,,,,,15-Jan-2015,R.B. FIRESTONE,2025-10-16
11,10,Na,25,,6468,20,,3/2+,3,145,,15,keV,3.1464670004923155e-21,3.2549658625782573e-22,,,,,,,,,,,,,,,15-Jan-2015,R.B. FIRESTONE,2025-10-16
11,10,Na,26,,6879,15,,3/2-,4,22,,7,keV,2.0738077957790263e-20,6.598479350205992e-21,,,,,,,,,,,,,,,15-Jan-2015,R.B. FIRESTONE,2025-10-16
11,10,Na,27,,6992,15,,7/2-,2,35,,9,keV,1.3035363287753879e-20,3.35195055970814e-21,,,,,,,,,,,,,,,15-Jan-2015,R.B. FIRESTONE,2025-10-16
11,10,Na,28,,7253,15,,1/2+,3,220,,20,keV,2.073807795779026e-21,1.8852798143445692e-22,,,,,,,,,,,,,,,15-Jan-2015,R.B. FIRESTONE,2025-10-16
11,10,Na,29,,7571,15,,3/2-,5,116,,12,keV,3.933083750615395e-21,4.068707328222822e-22,,,,,,,,,,,,,,,15-Jan-2015,R.B. FIRESTONE,2025-10-16
11,10,Na,30,,7575,15,,1/2-,3,128,,20,keV,3.564357148995201e-21,5.569308045305002e-22,,,,,,,,,,,,,,,15-Jan-2015,R.B. FIRESTONE,2025-10-16
11,10,Na,31,,7609,15,,3/2+,4,112,,20,keV,4.073551027423087e-21,7.274198263255513e-22,,,,,,,,,,,,,,,15-Jan-2015,R.B. FIRESTONE,2025-10-16
11,10,Na,32,,7930,15,,5/2-,2,28,,11,keV,1.629420410969235e-20,6.401294471664851e-21,,,,,,,,,,,,,,,15-Jan-2015,R.B. FIRESTONE,2025-10-16
11,10,Na,33,,7946,15,,7/2-,3,25,,9,keV,1.824950860285543e-20,6.5698230970279546e-21,,,,,,,,,,,,,,,15-Jan-2015,R.B. FIRESTONE,2025-10-16
11,10,Na,34,,7960,15,,1/2-,4,58,,7,keV,7.86616750123079e-21,9.493650432519918e-22,,,,,,,,,,,,,,,15-Jan-2015,R.B. FIRESTONE,2025-10-16
11,10,Na,35,,8097,15,,3/2-,6,25,,9,keV,1.824950860285543e-20,6.5698230970279546e-21,,,,,,,,,,,,,,,15-Jan-2015,R.B. FIRESTONE,2025-10-16
11,10,Na,36,,8135,15,,5/2+,4,32,,9,keV,1.4257428595980805e-20,4.009901792619601e-21,,,,,,,,,,,,,,,15-Jan-2015,R.B. FIRESTONE,2025-10-16
11,10,Na,37,,8303,13,,(3/2 5/2 7/2)+,8,,,,,,,,,,,,,,,,,,,,,15-Jan-2015,R.B. FIRESTONE,2025-10-16
11,10,Na,38,,8388,15,,1/2+,4,21,,8,keV,2.1725605479589797e-20,8.276421135081827e-21,,,,,,,,,,,,,,,15-Jan-2015,R.B. FIRESTONE,2025-10-16
11,10,Na,39,,8397,15,,3/2+,5,30,,13,keV,1.5207923835712858e-20,6.590100328808905e-21,,,,,,,,,,,,,,,15-Jan-2015,R.B. FIRESTONE,2025-10-16
11,10,Na,40,,8464,15,,3/2+,6,25,,9,keV,1.824950860285543e-20,6.5698230970279546e-21,,,,,,,,,,,,,,,15-Jan-2015,R.B. FIRESTONE,2025-10-16
11,10,Na,41,,8554,15,,1/2+,5,100,,8,keV,4.5623771507138576e-21,3.649901720571086e-22,,,,,,,,,,,,,,,15-Jan-2015,R.B. FIRESTONE,2025-10-16
11,10,Na,42,,8562,15,,3/2+,7,20,LT,,keV,2.2811885753569288e-20,0,,,,,,,,,,,,,,,15-Jan-2015,R.B. FIRESTONE,2025-10-16
11,10,Na,43,,8595,15,,5/2+,5,138,,15,keV,3.3060703990680127e-21,3.593554781595666e-22,,,,,,,,,,,,,,,15-Jan-2015,R.B. FIRESTONE,2025-10-16
11,10,Na,44,,8624,15,,1/2-,5,92,,10,keV,4.959105598602019e-21,5.390332172393498e-22,,,,,,,,,,,,,,,15-Jan-2015,R.B. FIRESTONE,2025-10-16
11,10,Na,45,,8715,15,,3/2+,8,360,,25,keV,1.2673269863094049e-21,8.800881849370868e-23,,,,,,,,,,,,,,,15-Jan-2015,R.B. FIRESTONE,2025-10-16
11,10,Na,46,,8738,15,,3/2-,7,110,,18,keV,4.147615591558052e-21,6.787007331640449e-22,,,,,,,,,,,,,,,15-Jan-2015,R.B. FIRESTONE,2025-10-16
11,10,Na,47,,8742,15,,1/2+,6,98,,25,keV,4.655486888483528e-21,1.1876242062457979e-21,,,,,,,,,,,,,,,15-Jan-2015,R.B. FIRESTONE,2025-10-16
