z,n,symbol,idx,energy_shift,energy,unc_e,ripl_shift,jp,jp_order,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hl,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_mn,electric_quadrupole,unc_eq,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
89,138,Ac,0,,0,,,3/2-,1,21.772,,3,Y,687057392.318817,94670.777923776,B-,98.62,0.0036,A,1.38,0.0036,,,,,1.22,0.04,1.74,0.1,15-Jan-2016,ICTP-2014 Workshop Group,2025-10-17
89,138,Ac,1,,27.369,0.011,,3/2+,1,38.3,,3,ns,0.0000000383,0.0000000003,,,,,,,,,,,,,,,15-Jan-2016,ICTP-2014 Workshop Group,2025-10-17
89,138,Ac,2,,29.978,0.011,,5/2-,1,,,,,,,,,,,,,,,,,,,,,15-Jan-2016,ICTP-2014 Workshop Group,2025-10-17
89,138,Ac,3,,46.354,0.013,,5/2+,1,,,,,,,,,,,,,,,,,,,,,15-Jan-2016,ICTP-2014 Workshop Group,2025-10-17
89,138,Ac,4,,74.149,0.017,,7/2-,1,,,,,,,,,,,,,,,,,,,,,15-Jan-2016,ICTP-2014 Workshop Group,2025-10-17
89,138,Ac,5,,84.544,0.014,,7/2+,1,,,,,,,,,,,,,,,,,,,,,15-Jan-2016,ICTP-2014 Workshop Group,2025-10-17
89,138,Ac,6,,109.992,0.021,,9/2+,1,,,,,,,,,,,,,,,,,,,,,15-Jan-2016,ICTP-2014 Workshop Group,2025-10-17
89,138,Ac,7,,126.848,0.022,,9/2-,1,,,,,,,,,,,,,,,,,,,,,15-Jan-2016,ICTP-2014 Workshop Group,2025-10-17
89,138,Ac,8,,148,5,,,,,,,,,,,,,,,,,,,,,,,,15-Jan-2016,ICTP-2014 Workshop Group,2025-10-17
89,138,Ac,9,,160,2,,,,,,,,,,,,,,,,,,,,,,,,15-Jan-2016,ICTP-2014 Workshop Group,2025-10-17
89,138,Ac,10,,187.34,0.03,,11/2+,1,,,,,,,,,,,,,,,,,,,,,15-Jan-2016,ICTP-2014 Workshop Group,2025-10-17
