z,n,symbol,idx,energy_shift,energy,unc_e,ripl_shift,jp,jp_order,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hl,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_mn,electric_quadrupole,unc_eq,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
93,142,Np,0,,0,,,5/2+,1,396.1,,12,d,34223040,103680,EC,99.9974,0.00013,A,0.0026,0.00013,,,,,,,,,1-Feb-2014,E. BROWNE and  J. K. TULI,2025-10-17
93,142,Np,1,,34.23,0.1,,(7/2)+,1,,,,,,,,,,,,,,,,,,,,,1-Feb-2014,E. BROWNE and  J. K. TULI,2025-10-17
93,142,Np,2,,49.1,0.1,,(5/2)-,1,6.9,,3,ns,0.0000000069,0.0000000003,,,,,,,,,,,,,,,1-Feb-2014,E. BROWNE and  J. K. TULI,2025-10-17
93,142,Np,3,,79.1,0.4,,(9/2+),1,,,,,,,,,,,,,,,,,,,,,1-Feb-2014,E. BROWNE and  J. K. TULI,2025-10-17
93,142,Np,4,,91.6,0.3,,(7/2)-,1,,,,,,,,,,,,,,,,,,,,,1-Feb-2014,E. BROWNE and  J. K. TULI,2025-10-17
93,142,Np,5,,133,2,,(11/2)+,1,,,,,,,,,,,,,,,,,,,,,1-Feb-2014,E. BROWNE and  J. K. TULI,2025-10-17
93,142,Np,6,,146.8,0.7,,(9/2)-,1,,,,,,,,,,,,,,,,,,,,,1-Feb-2014,E. BROWNE and  J. K. TULI,2025-10-17
93,142,Np,7,,206.2,1,,(13/2)+,1,,,,,,,,,,,,,,,,,,,,,1-Feb-2014,E. BROWNE and  J. K. TULI,2025-10-17
93,142,Np,8,,276.4,1,,(15/2+),1,,,,,,,,,,,,,,,,,,,,,1-Feb-2014,E. BROWNE and  J. K. TULI,2025-10-17
93,142,Np,9,,352,2,,(3/2-),1,,,,,,,,,,,,,,,,,,,,,1-Feb-2014,E. BROWNE and  J. K. TULI,2025-10-17
93,142,Np,10,,359.9,1.5,,(17/2+),1,,,,,,,,,,,,,,,,,,,,,1-Feb-2014,E. BROWNE and  J. K. TULI,2025-10-17
