z,n,symbol,idx,energy_shift,energy,unc_e,ripl_shift,jp,jp_order,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hl,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_mn,electric_quadrupole,unc_eq,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
94,141,Pu,0,,0,,,(5/2+),1,25.3,,5,m,1518,30,EC+B+,99.9972,0.0007,A,0.0028,0.0007,,,,,,,,,1-Feb-2014,E. BROWNE and  J. K. TULI,2025-10-17
94,141,Pu,1,,41.9,0.19,,(7/2+),1,,,,,,,,,,,,,,,,,,,,,1-Feb-2014,E. BROWNE and  J. K. TULI,2025-10-17
94,141,Pu,2,,183.7,0.17,,(3/2+),1,,,,,,,,,,,,,,,,,,,,,1-Feb-2014,E. BROWNE and  J. K. TULI,2025-10-17
94,141,Pu,3,,265.37,0.16,,(5/2+),2,,,,,,,,,,,,,,,,,,,,,1-Feb-2014,E. BROWNE and  J. K. TULI,2025-10-17
94,141,Pu,4,,290.53,0.16,,(5/2-),1,,,,,,,,,,,,,,,,,,,,,1-Feb-2014,E. BROWNE and  J. K. TULI,2025-10-17
94,141,Pu,5,,535.1,0.17,,(5/2+),3,,,,,,,,,,,,,,,,,,,,,1-Feb-2014,E. BROWNE and  J. K. TULI,2025-10-17
94,141,Pu,6,,639.1,0.3,,,,,,,,,,,,,,,,,,,,,,,,1-Feb-2014,E. BROWNE and  J. K. TULI,2025-10-17
94,141,Pu,7,,825.9,0.3,,,,,,,,,,,,,,,,,,,,,,,,1-Feb-2014,E. BROWNE and  J. K. TULI,2025-10-17
94,141,Pu,8,,1029.5,0.3,,,,,,,,,,,,,,,,,,,,,,,,1-Feb-2014,E. BROWNE and  J. K. TULI,2025-10-17
94,141,Pu,9,,1118.8,0.3,,,,,,,,,,,,,,,,,,,,,,,,1-Feb-2014,E. BROWNE and  J. K. TULI,2025-10-17
94,141,Pu,10,,3000,200,,,,25,,5,ns,0.000000025,0.000000005,SF,100,,,,,,,,,,,,,1-Feb-2014,E. BROWNE and  J. K. TULI,2025-10-17

