z,n,symbol,idx,energy_shift,energy,unc_e,ripl_shift,jp,jp_order,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hl,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_mn,electric_quadrupole,unc_eq,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
91,146,Pa,0,,0,,,(1/2+),1,8.7,,2,m,522,12,B-,100,,,,,,,,,,,,,15-Mar-2006,M. S. Basunia,2025-10-17
91,146,Pa,1,,35,2,,(3/2+),1,,,,,,,,,,,,,,,,,,,,,15-Mar-2006,M. S. Basunia,2025-10-17
91,146,Pa,2,,90,3,,(3/2-),1,,,,,,,,,,,,,,,,,,,,,15-Mar-2006,M. S. Basunia,2025-10-17
91,146,Pa,3,,105,5,,(9/2+),1,,,,,,,,,,,,,,,,,,,,,15-Mar-2006,M. S. Basunia,2025-10-17
91,146,Pa,4,,147,6,,(7/2-),1,,,,,,,,,,,,,,,,,,,,,15-Mar-2006,M. S. Basunia,2025-10-17
91,146,Pa,5,,158,6,,(13/2+),1,,,,,,,,,,,,,,,,,,,,,15-Mar-2006,M. S. Basunia,2025-10-17
91,146,Pa,6,,202,6,,,,,,,,,,,,,,,,,,,,,,,,15-Mar-2006,M. S. Basunia,2025-10-17
91,146,Pa,7,,258,4,,,,,,,,,,,,,,,,,,,,,,,,15-Mar-2006,M. S. Basunia,2025-10-17
91,146,Pa,8,,319,4,,,,,,,,,,,,,,,,,,,,,,,,15-Mar-2006,M. S. Basunia,2025-10-17
91,146,Pa,9,,364,4,,(3/2+),2,,,,,,,,,,,,,,,,,,,,,15-Mar-2006,M. S. Basunia,2025-10-17
91,146,Pa,10,,393,6,,(5/2+),1,,,,,,,,,,,,,,,,,,,,,15-Mar-2006,M. S. Basunia,2025-10-17
91,146,Pa,11,,491,4,,,,,,,,,,,,,,,,,,,,,,,,15-Mar-2006,M. S. Basunia,2025-10-17
91,146,Pa,12,,554,8,,,,,,,,,,,,,,,,,,,,,,,,15-Mar-2006,M. S. Basunia,2025-10-17
91,146,Pa,13,,577,8,,,,,,,,,,,,,,,,,,,,,,,,15-Mar-2006,M. S. Basunia,2025-10-17
91,146,Pa,14,,624,4,,,,,,,,,,,,,,,,,,,,,,,,15-Mar-2006,M. S. Basunia,2025-10-17
91,146,Pa,15,,686,8,,,,,,,,,,,,,,,,,,,,,,,,15-Mar-2006,M. S. Basunia,2025-10-17
91,146,Pa,16,,714,8,,,,,,,,,,,,,,,,,,,,,,,,15-Mar-2006,M. S. Basunia,2025-10-17
91,146,Pa,17,,741,8,,,,,,,,,,,,,,,,,,,,,,,,15-Mar-2006,M. S. Basunia,2025-10-17
91,146,Pa,18,,972,8,,,,,,,,,,,,,,,,,,,,,,,,15-Mar-2006,M. S. Basunia,2025-10-17
91,146,Pa,19,,1025,6,,,,,,,,,,,,,,,,,,,,,,,,15-Mar-2006,M. S. Basunia,2025-10-17
91,146,Pa,20,,1112,4,,,,,,,,,,,,,,,,,,,,,,,,15-Mar-2006,M. S. Basunia,2025-10-17

