z,n,symbol,idx,energy_shift,energy,unc_e,ripl_shift,jp,jp_order,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hl,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_mn,electric_quadrupole,unc_eq,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
96,152,Cm,0,,0,,,0+,1,3.48E+5,,6,Y,10981810239158.016,189341555847.552,A,91.61,0.16,SF,8.39,0.16,,,,,,,,,1-Sep-2014,M. J. MARTIN,2025-10-17
96,152,Cm,1,,43.4,0.03,,2+,1,122.5,,25,ps,0.0000000001225,0.0000000000025,,,,,,,,,,,,,,,1-Sep-2014,M. J. MARTIN,2025-10-17
96,152,Cm,2,,143.8,0.21,,4+,1,80,,+14-19,ps,0.00000000008,0.0000000000165,,,,,,,,,,,,,,,1-Sep-2014,M. J. MARTIN,2025-10-17
96,152,Cm,3,,298.9,0.3,,6+,1,34,,+11-3,ps,0.000000000034,0.000000000007,,,,,,,,,,,,,,,1-Sep-2014,M. J. MARTIN,2025-10-17
96,152,Cm,4,,506.4,0.4,,8+,1,16.0,,+31-23,ps,0.000000000016,0.0000000000027,,,,,,,,,,,,,,,1-Sep-2014,M. J. MARTIN,2025-10-17
96,152,Cm,5,,762.8,0.4,,10+,1,7.5,,+7-6,ps,0.0000000000075,0.00000000000065,,,,,,,,,,,,,,,1-Sep-2014,M. J. MARTIN,2025-10-17
96,152,Cm,6,,1050,2,,(2+),1,1.23,,+18-16,ps,0.00000000000123,0.00000000000017,,,,,,,,,,,,,,,1-Sep-2014,M. J. MARTIN,2025-10-17
96,152,Cm,7,,1050,2,,1-,1,,,,,,,,,,,,,,,,,,,,,1-Sep-2014,M. J. MARTIN,2025-10-17
96,152,Cm,8,,1064.1,0.4,,12+,1,3.71,,+22-18,ps,0.00000000000371,0.0000000000002,,,,,,,,,,,,,,,1-Sep-2014,M. J. MARTIN,2025-10-17
96,152,Cm,9,,1084,,,0+,2,,,,,,,,,,,,,,,,,,,,,1-Sep-2014,M. J. MARTIN,2025-10-17
96,152,Cm,10,,1095,2,,3-,1,,,,,,,,,,,,,,,,,,,,,1-Sep-2014,M. J. MARTIN,2025-10-17
96,152,Cm,11,,1131,3,,2+,2,,,,,,,,,,,,,,,,,,,,,1-Sep-2014,M. J. MARTIN,2025-10-17
96,152,Cm,12,,1144,2,,4+,2,,,,,,,,,,,,,,,,,,,,,1-Sep-2014,M. J. MARTIN,2025-10-17
