z,n,symbol,idx,energy_shift,energy,unc_e,ripl_shift,jp,jp_order,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hl,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_mn,electric_quadrupole,unc_eq,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
10,14,Ne,0,,0,,,0+,1,3.38,,2,m,202.8,1.2,B-,100,,,,,,,,2,,,,,31-Mar-2022,M. Shamsuzzoha Basunia and  Anagha Chakraborty,2025-10-16
10,14,Ne,1,,1981.5,0.4,,2+,1,0.65,,20,ps,0.00000000000065,0.0000000000002,,,,,,,,,,2,,,,,31-Mar-2022,M. Shamsuzzoha Basunia and  Anagha Chakraborty,2025-10-16
10,14,Ne,2,,3871.2,0.8,,2+,2,0.07,LT,,ps,0.00000000000007,,,,,,,,,,,2,,,,,31-Mar-2022,M. Shamsuzzoha Basunia and  Anagha Chakraborty,2025-10-16
10,14,Ne,3,,3963.1,,,4(+),1,21,LT,,ns,0.000000021,,,,,,,,,,,2,,,,,31-Mar-2022,M. Shamsuzzoha Basunia and  Anagha Chakraborty,2025-10-16
10,14,Ne,4,,4766.6,1.1,,0+,2,1.8,,6,ps,0.0000000000018,0.0000000000006,,,,,,,,,,2,,,,,31-Mar-2022,M. Shamsuzzoha Basunia and  Anagha Chakraborty,2025-10-16
10,14,Ne,5,,4886.6,,,,,0.7,LT,,ps,0.0000000000007,,,,,,,,,,,2,,,,,31-Mar-2022,M. Shamsuzzoha Basunia and  Anagha Chakraborty,2025-10-16
10,14,Ne,6,,5576.8,,,2(+),1,21,LT,,ns,0.000000021,,,,,,,,,,,2,,,,,31-Mar-2022,M. Shamsuzzoha Basunia and  Anagha Chakraborty,2025-10-16
10,14,Ne,7,,5632.4,,,,,0.7,LT,,ps,0.0000000000007,,,,,,,,,,,,,,,,31-Mar-2022,M. Shamsuzzoha Basunia and  Anagha Chakraborty,2025-10-16
10,14,Ne,8,,5653.8,,,,,0.7,LT,,ps,0.0000000000007,,,,,,,,,,,,,,,,31-Mar-2022,M. Shamsuzzoha Basunia and  Anagha Chakraborty,2025-10-16
10,14,Ne,9,,6026.9,,,,,0.7,LT,,ps,0.0000000000007,,,,,,,,,,,,,,,,31-Mar-2022,M. Shamsuzzoha Basunia and  Anagha Chakraborty,2025-10-16
10,14,Ne,10,,6362,,,,,0.7,LT,,ps,0.0000000000007,,,,,,,,,,,,,,,,31-Mar-2022,M. Shamsuzzoha Basunia and  Anagha Chakraborty,2025-10-16
10,14,Ne,11,,6746.6,,,,,0.7,LT,,ps,0.0000000000007,,,,,,,,,,,,,,,,31-Mar-2022,M. Shamsuzzoha Basunia and  Anagha Chakraborty,2025-10-16
10,14,Ne,12,,6859.1,,,,,0.7,LT,,ps,0.0000000000007,,,,,,,,,,,,,,,,31-Mar-2022,M. Shamsuzzoha Basunia and  Anagha Chakraborty,2025-10-16
10,14,Ne,13,,6983.1,,,,,0.7,LT,,ps,0.0000000000007,,,,,,,,,,,,,,,,31-Mar-2022,M. Shamsuzzoha Basunia and  Anagha Chakraborty,2025-10-16
10,14,Ne,14,,7249,,,,,0.7,LT,,ps,0.0000000000007,,,,,,,,,,,,,,,,31-Mar-2022,M. Shamsuzzoha Basunia and  Anagha Chakraborty,2025-10-16
10,14,Ne,15,,7296.2,,,,,0.7,LT,,ps,0.0000000000007,,,,,,,,,,,,,,,,31-Mar-2022,M. Shamsuzzoha Basunia and  Anagha Chakraborty,2025-10-16
10,14,Ne,16,,7389.2,,,,,0.7,LT,,ps,0.0000000000007,,,,,,,,,,,,,,,,31-Mar-2022,M. Shamsuzzoha Basunia and  Anagha Chakraborty,2025-10-16
10,14,Ne,17,,7550,60,,,,,,,,,,,,,,,,,,,,,,,,31-Mar-2022,M. Shamsuzzoha Basunia and  Anagha Chakraborty,2025-10-16
10,14,Ne,18,,7640.4,,,,,0.7,LT,,ps,0.0000000000007,,,,,,,,,,,,,,,,31-Mar-2022,M. Shamsuzzoha Basunia and  Anagha Chakraborty,2025-10-16
10,14,Ne,19,,7740.4,,,,,0.7,LT,,ps,0.0000000000007,,,,,,,,,,,,,,,,31-Mar-2022,M. Shamsuzzoha Basunia and  Anagha Chakraborty,2025-10-16
10,14,Ne,20,,7924.6,,,,,0.7,LT,,ps,0.0000000000007,,,,,,,,,,,,,,,,31-Mar-2022,M. Shamsuzzoha Basunia and  Anagha Chakraborty,2025-10-16
10,14,Ne,21,,8040.4,,,,,0.7,LT,,ps,0.0000000000007,,,,,,,,,,,,,,,,31-Mar-2022,M. Shamsuzzoha Basunia and  Anagha Chakraborty,2025-10-16
10,14,Ne,22,,8150,60,,,,,,,,,,,,,,,,,,,,,,,,31-Mar-2022,M. Shamsuzzoha Basunia and  Anagha Chakraborty,2025-10-16
10,14,Ne,23,,8394.5,1.1,,,,0.7,LT,,ps,0.0000000000007,,,,,,,,,,,,,,,,31-Mar-2022,M. Shamsuzzoha Basunia and  Anagha Chakraborty,2025-10-16
10,14,Ne,24,,8530,60,,,,,,,,,,,,,,,,,,,,,,,,31-Mar-2022,M. Shamsuzzoha Basunia and  Anagha Chakraborty,2025-10-16
10,14,Ne,25,,8860,60,,,,,,,,,,,,,,,,,,,,,,,,31-Mar-2022,M. Shamsuzzoha Basunia and  Anagha Chakraborty,2025-10-16
10,14,Ne,26,,9040,60,,,,,,,,,,,,,,,,,,,,,,,,31-Mar-2022,M. Shamsuzzoha Basunia and  Anagha Chakraborty,2025-10-16
10,14,Ne,27,,9180,60,,,,,,,,,,,,,,,,,,,,,,,,31-Mar-2022,M. Shamsuzzoha Basunia and  Anagha Chakraborty,2025-10-16
10,14,Ne,28,,9380,60,,,,,,,,,,,,,,,,,,,,,,,,31-Mar-2022,M. Shamsuzzoha Basunia and  Anagha Chakraborty,2025-10-16
10,14,Ne,29,,9630,60,,,,,,,,,,,,,,,,,,,,,,,,31-Mar-2022,M. Shamsuzzoha Basunia and  Anagha Chakraborty,2025-10-16
10,14,Ne,30,,9780,60,,,,,,,,,,,,,,,,,,,,,,,,31-Mar-2022,M. Shamsuzzoha Basunia and  Anagha Chakraborty,2025-10-16
10,14,Ne,31,,9960,60,,,,,,,,,,,,,,,,,,,,,,,,31-Mar-2022,M. Shamsuzzoha Basunia and  Anagha Chakraborty,2025-10-16
10,14,Ne,32,,10200,60,,,,,,,,,,,,,,,,,,,,,,,,31-Mar-2022,M. Shamsuzzoha Basunia and  Anagha Chakraborty,2025-10-16
10,14,Ne,33,,10630,60,,,,,,,,,,,,,,,,,,,,,,,,31-Mar-2022,M. Shamsuzzoha Basunia and  Anagha Chakraborty,2025-10-16
10,14,Ne,34,,11080,60,,,,,,,,,,,,,,,,,,,,,,,,31-Mar-2022,M. Shamsuzzoha Basunia and  Anagha Chakraborty,2025-10-16
10,14,Ne,35,,11180,60,,,,,,,,,,,,,,,,,,,,,,,,31-Mar-2022,M. Shamsuzzoha Basunia and  Anagha Chakraborty,2025-10-16
10,14,Ne,36,,11350,150,,,,,,,,,,,,,,,,,,,,,,,,31-Mar-2022,M. Shamsuzzoha Basunia and  Anagha Chakraborty,2025-10-16
10,14,Ne,37,,11470,60,,,,,,,,,,,,,,,,,,,,,,,,31-Mar-2022,M. Shamsuzzoha Basunia and  Anagha Chakraborty,2025-10-16

