z,n,symbol,idx,energy_shift,energy,unc_e,ripl_shift,jp,jp_order,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hl,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_mn,electric_quadrupole,unc_eq,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
98,152,Cf,0,,0,,,0+,1,13.08,,9,Y,412764591.7476634,2840123.33771328,A,99.923,0.003,SF,0.077,0.003,,,,,,,,,1-Aug-2001,Y. Akovali,2025-10-17
98,152,Cf,1,,42.721,0.005,,2+,1,96,,10,ps,0.000000000096,0.00000000001,,,,,,,,,,,,,,,1-Aug-2001,Y. Akovali,2025-10-17
98,152,Cf,2,,141.875,0.01,,4+,1,,,,,,,,,,,,,,,,,,,,,1-Aug-2001,Y. Akovali,2025-10-17
98,152,Cf,3,,296.22,0.06,,6+,1,,,,,,,,,,,,,,,,,,,,,1-Aug-2001,Y. Akovali,2025-10-17
98,152,Cf,4,,500,,,8+,1,,,,,,,,,,,,,,,,,,,,,1-Aug-2001,Y. Akovali,2025-10-17
98,152,Cf,5,,871.57,0.03,,2-,1,,,,,,,,,,,,,,,,,,,,,1-Aug-2001,Y. Akovali,2025-10-17
98,152,Cf,6,,905.89,0.02,,3-,1,,,,,,,,,,,,,,,,,,,,,1-Aug-2001,Y. Akovali,2025-10-17
98,152,Cf,7,,951.98,0.02,,4-,1,,,,,,,,,,,,,,,,,,,,,1-Aug-2001,Y. Akovali,2025-10-17
98,152,Cf,8,,1008.51,0.02,,5-,1,,,,,,,,,,,,,,,,,,,,,1-Aug-2001,Y. Akovali,2025-10-17
98,152,Cf,9,,1031.852,0.021,,2+,2,0.94,,10,ps,0.00000000000094,0.0000000000001,,,,,,,,,,,,,,,1-Aug-2001,Y. Akovali,2025-10-17
98,152,Cf,10,,1070,,,(6-),1,,,,,,,,,,,,,,,,,,,,,1-Aug-2001,Y. Akovali,2025-10-17
98,152,Cf,11,,1071.37,0.02,,3+,1,,,,,,,,,,,,,,,,,,,,,1-Aug-2001,Y. Akovali,2025-10-17
98,152,Cf,12,,1123,1,,(4+),1,,,,,,,,,,,,,,,,,,,,,1-Aug-2001,Y. Akovali,2025-10-17
98,152,Cf,13,,1154.24,0.1,,0+,2,,,,,,,,,,,,,,,,,,,,,1-Aug-2001,Y. Akovali,2025-10-17
98,152,Cf,14,,1175.52,0.03,,1-,1,,,,,,,,,,,,,,,,,,,,,1-Aug-2001,Y. Akovali,2025-10-17
98,152,Cf,15,,1189.39,0.03,,2+,3,,,,,,,,,,,,,,,,,,,,,1-Aug-2001,Y. Akovali,2025-10-17
98,152,Cf,16,,1209.97,0.04,,(2)-,1,,,,,,,,,,,,,,,,,,,,,1-Aug-2001,Y. Akovali,2025-10-17
