z,n,symbol,idx,energy_shift,energy,unc_e,ripl_shift,jp,jp_order,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hl,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_mn,electric_quadrupole,unc_eq,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
97,154,Bk,0,,0,,,(3/2-),1,56,,1,m,3360,60,B-,100,,,,,,,,,,,,,23-Sep-2022,C. Morse,2025-10-17
97,154,Bk,1,,32.5,0.6,,(5/2-),1,,,,,,,,,,,,,,,,,,,,,23-Sep-2022,C. Morse,2025-10-17
97,154,Bk,2,,35.5,1.4,,(7/2+),1,40,,3,us,0.00004,0.000003,,,,,,,,,,,,,,,23-Sep-2022,C. Morse,2025-10-17
97,154,Bk,3,,72,,,(9/2+),1,,,,,,,,,,,,,,,,,,,,,23-Sep-2022,C. Morse,2025-10-17
97,154,Bk,4,,123,,,(11/2+),1,,,,,,,,,,,,,,,,,,,,,23-Sep-2022,C. Morse,2025-10-17
97,154,Bk,5,,269.1,1,,(5/2+),1,,,,,,,,,,,,,,,,,,,,,23-Sep-2022,C. Morse,2025-10-17
97,154,Bk,6,,311.7,1,,(1/2+),1,,,,,,,,,,,,,,,,,,,,,23-Sep-2022,C. Morse,2025-10-17
97,154,Bk,7,,422.3,0.8,,(3/2-),2,,,,,,,,,,,,,,,,,,,,,23-Sep-2022,C. Morse,2025-10-17
97,154,Bk,8,,438.2,1,,(1/2-),1,,,,,,,,,,,,,,,,,,,,,23-Sep-2022,C. Morse,2025-10-17
97,154,Bk,9,,542.6,0.8,,(1/2-),2,,,,,,,,,,,,,,,,,,,,,23-Sep-2022,C. Morse,2025-10-17
97,154,Bk,10,,562.5,0.7,,(3/2-),3,,,,,,,,,,,,,,,,,,,,,23-Sep-2022,C. Morse,2025-10-17
97,154,Bk,11,,978.4,0.6,,(1/2- 3/2-),1,,,,,,,,,,,,,,,,,,,,,23-Sep-2022,C. Morse,2025-10-17

