z,n,symbol,idx,energy_shift,energy,unc_e,ripl_shift,jp,jp_order,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hl,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_mn,electric_quadrupole,unc_eq,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
101,150,Md,0,,0,,,7/2-,1,4.27,,11,m,256.2,6.6,EC+B+,90,1,A,10,1,,,,,,,,,23-Sep-2022,C. Morse,2025-10-17
101,150,Md,1,,54,10,,1/2-,1,,,,,,,,,,,,,,,,,,,,,23-Sep-2022,C. Morse,2025-10-17
101,150,Md,2,,61,1,,9/2-,1,,,,,,,,,,,,,,,,,,,,,23-Sep-2022,C. Morse,2025-10-17
101,150,Md,3,,94,10,,5/2-,1,,,,,,,,,,,,,,,,,,,,,23-Sep-2022,C. Morse,2025-10-17
101,150,Md,4,,133,1,,11/2-,1,,,,,,,,,,,,,,,,,,,,,23-Sep-2022,C. Morse,2025-10-17
101,150,Md,5,,181,10,,9/2-,2,,,,,,,,,,,,,,,,,,,,,23-Sep-2022,C. Morse,2025-10-17
101,150,Md,6,,222.8,1,,13/2-,1,,,,,,,,,,,,,,,,,,,,,23-Sep-2022,C. Morse,2025-10-17
101,150,Md,7,,322,1.2,,15/2-,1,,,,,,,,,,,,,,,,,,,,,23-Sep-2022,C. Morse,2025-10-17
101,150,Md,8,,325,10,,13/2-,2,,,,,,,,,,,,,,,,,,,,,23-Sep-2022,C. Morse,2025-10-17
101,150,Md,9,,437.6,1.2,,17/2-,1,,,,,,,,,,,,,,,,,,,,,23-Sep-2022,C. Morse,2025-10-17
101,150,Md,10,,520,10,,17/2-,2,,,,,,,,,,,,,,,,,,,,,23-Sep-2022,C. Morse,2025-10-17
101,150,Md,11,,560.8,1.3,,19/2-,1,,,,,,,,,,,,,,,,,,,,,23-Sep-2022,C. Morse,2025-10-17
101,150,Md,12,,701.4,1.2,,21/2-,1,,,,,,,,,,,,,,,,,,,,,23-Sep-2022,C. Morse,2025-10-17
101,150,Md,13,,765,10,,21/2-,2,,,,,,,,,,,,,,,,,,,,,23-Sep-2022,C. Morse,2025-10-17
101,150,Md,14,,844,,,(23/2+),1,1.4,,3,s,1.4,0.3,IT,100,,,,,,,,,,,,,23-Sep-2022,C. Morse,2025-10-17
101,150,Md,15,,849.8,1.6,,23/2-,1,,,,,,,,,,,,,,,,,,,,,23-Sep-2022,C. Morse,2025-10-17
101,150,Md,16,,1012.6,1.3,,25/2-,1,,,,,,,,,,,,,,,,,,,,,23-Sep-2022,C. Morse,2025-10-17
101,150,Md,17,,1057,10,,25/2-,2,,,,,,,,,,,,,,,,,,,,,23-Sep-2022,C. Morse,2025-10-17
101,150,Md,18,,1183.8,1.9,,27/2-,1,,,,,,,,,,,,,,,,,,,,,23-Sep-2022,C. Morse,2025-10-17
101,150,Md,19,,1370.6,1.7,,29/2-,1,,,,,,,,,,,,,,,,,,,,,23-Sep-2022,C. Morse,2025-10-17
101,150,Md,20,,1393,10,,29/2-,2,,,,,,,,,,,,,,,,,,,,,23-Sep-2022,C. Morse,2025-10-17
101,150,Md,21,,1559.8,2.2,,31/2-,1,,,,,,,,,,,,,,,,,,,,,23-Sep-2022,C. Morse,2025-10-17
101,150,Md,22,,1770,10,,33/2-,1,,,,,,,,,,,,,,,,,,,,,23-Sep-2022,C. Morse,2025-10-17
101,150,Md,23,,2185,10,,37/2-,1,,,,,,,,,,,,,,,,,,,,,23-Sep-2022,C. Morse,2025-10-17
101,150,Md,24,,2634,11,,41/2-,1,,,,,,,,,,,,,,,,,,,,,23-Sep-2022,C. Morse,2025-10-17
101,150,Md,25,,3117,11,,45/2-,1,,,,,,,,,,,,,,,,,,,,,23-Sep-2022,C. Morse,2025-10-17
101,150,Md,26,,3630,11,,49/2-,1,,,,,,,,,,,,,,,,,,,,,23-Sep-2022,C. Morse,2025-10-17

