z,n,symbol,idx,energy_shift,energy,unc_e,ripl_shift,jp,jp_order,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hl,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_mn,electric_quadrupole,unc_eq,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
100,153,Fm,0,,0,,,1/2+,1,3.00,,12,d,259200,10368,EC,88,1,A,12,1,,,,,,,,,1-Mar-2012,E. BROWNE and  J. K. TULI,2025-10-17
100,153,Fm,1,,22.3,0.1,,(3/2+),1,,,,,,,,,,,,,,,,,,,,,1-Mar-2012,E. BROWNE and  J. K. TULI,2025-10-17
100,153,Fm,2,,47.1,0.2,,(5/2+),1,,,,,,,,,,,,,,,,,,,,,1-Mar-2012,E. BROWNE and  J. K. TULI,2025-10-17
100,153,Fm,3,,124.1,0.1,,3/2+,1,,,,,,,,,,,,,,,,,,,,,1-Mar-2012,E. BROWNE and  J. K. TULI,2025-10-17
100,153,Fm,4,X,,,140,7/2+,1,,,,,,,,,,,,,,,,,,,,,1-Mar-2012,E. BROWNE and  J. K. TULI,2025-10-17
100,153,Fm,5,,158.7,0.2,,(5/2+),2,,,,,,,,,,,,,,,,,,,,,1-Mar-2012,E. BROWNE and  J. K. TULI,2025-10-17
100,153,Fm,6,X,60,,140,9/2+,1,,,,,,,,,,,,,,,,,,,,,1-Mar-2012,E. BROWNE and  J. K. TULI,2025-10-17
100,153,Fm,7,X,135,,140,11/2+,1,,,,,,,,,,,,,,,,,,,,,1-Mar-2012,E. BROWNE and  J. K. TULI,2025-10-17
100,153,Fm,8,X,211,,140,11/2-,1,0.56,,6,us,0.00000056,0.00000006,,,,,,,,,,,,,,,1-Mar-2012,E. BROWNE and  J. K. TULI,2025-10-17
100,153,Fm,9,X,398,,140,9/2+,2,,,,,,,,,,,,,,,,,,,,,1-Mar-2012,E. BROWNE and  J. K. TULI,2025-10-17

