z,n,symbol,idx,energy_shift,energy,unc_e,ripl_shift,jp,jp_order,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hl,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_mn,electric_quadrupole,unc_eq,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
102,152,No,0,,0,,,0+,1,51.2,,4,s,51.2,0.4,A,90,1,EC,10,1,SF,0.17,0.02,,,,,,31-Jan-2019,BALRAJ SINGH,2025-10-17
102,152,No,1,,44.2,0.4,,2+,1,,,,,,,,,,,,,,,,,,,,,31-Jan-2019,BALRAJ SINGH,2025-10-17
102,152,No,2,,145.2,0.7,,4+,1,,,,,,,,,,,,,,,,,,,,,31-Jan-2019,BALRAJ SINGH,2025-10-17
102,152,No,3,,304.6,0.7,,6+,1,,,,,,,,,,,,,,,,,,,,,31-Jan-2019,BALRAJ SINGH,2025-10-17
102,152,No,4,,518.7,0.7,,8+,1,,,,,,,,,,,,,,,,,,,,,31-Jan-2019,BALRAJ SINGH,2025-10-17
102,152,No,5,,786,0.8,,10+,1,,,,,,,,,,,,,,,,,,,,,31-Jan-2019,BALRAJ SINGH,2025-10-17
102,152,No,6,,987.5,0.8,,(3+),1,,,,,,,,,,,,,,,,,,,,,31-Jan-2019,BALRAJ SINGH,2025-10-17
102,152,No,7,,1033.2,1.1,,(4+),1,,,,,,,,,,,,,,,,,,,,,31-Jan-2019,BALRAJ SINGH,2025-10-17
102,152,No,8,,1091.1,0.9,,(5+),1,,,,,,,,,,,,,,,,,,,,,31-Jan-2019,BALRAJ SINGH,2025-10-17
102,152,No,9,,1104.1,0.8,,12+,1,,,,,,,,,,,,,,,,,,,,,31-Jan-2019,BALRAJ SINGH,2025-10-17
102,152,No,10,,1160.3,0.9,,(6+),1,,,,,,,,,,,,,,,,,,,,,31-Jan-2019,BALRAJ SINGH,2025-10-17
102,152,No,11,,1243.1,0.9,,(7+),1,,,,,,,,,,,,,,,,,,,,,31-Jan-2019,BALRAJ SINGH,2025-10-17
102,152,No,12,,1296.4,1.1,,(8-),1,265,,2,ms,0.265,0.002,IT,100,,SF,0.02,0.012,A,0.01,,,,,,,31-Jan-2019,BALRAJ SINGH,2025-10-17
102,152,No,13,,1407.8,1.1,,(9-),1,,,,,,,,,,,,,,,,,,,,,31-Jan-2019,BALRAJ SINGH,2025-10-17
102,152,No,14,,1470.7,0.8,,14+,1,,,,,,,,,,,,,,,,,,,,,31-Jan-2019,BALRAJ SINGH,2025-10-17
102,152,No,15,,1530.8,1.5,,(10-),1,,,,,,,,,,,,,,,,,,,,,31-Jan-2019,BALRAJ SINGH,2025-10-17
102,152,No,16,X,1530.8,,,J1,1,,,,,,,,,,,,,,,,,,,,,31-Jan-2019,BALRAJ SINGH,2025-10-17
102,152,No,17,X,1664.4,0.1,,J1+1,1,,,,,,,,,,,,,,,,,,,,,31-Jan-2019,BALRAJ SINGH,2025-10-17
102,152,No,18,X,1809.1,0.8,,J1+2,1,,,,,,,,,,,,,,,,,,,,,31-Jan-2019,BALRAJ SINGH,2025-10-17
102,152,No,19,,1883.4,0.8,,16+,1,,,,,,,,,,,,,,,,,,,,,31-Jan-2019,BALRAJ SINGH,2025-10-17
102,152,No,20,X,1966.1,0.8,,J1+3,1,,,,,,,,,,,,,,,,,,,,,31-Jan-2019,BALRAJ SINGH,2025-10-17
102,152,No,21,X,2134.4,0.8,,J1+4,1,,,,,,,,,,,,,,,,,,,,,31-Jan-2019,BALRAJ SINGH,2025-10-17
102,152,No,22,X,2314.8,0.8,,J1+5,1,,,,,,,,,,,,,,,,,,,,,31-Jan-2019,BALRAJ SINGH,2025-10-17
102,152,No,23,Y,2314.8,,905.2,(16),1,184,,3,us,0.000184,0.000003,IT,100,,SF,0.012,,,,,,,,,,31-Jan-2019,BALRAJ SINGH,2025-10-17
102,152,No,24,,2339.4,0.9,,18+,1,,,,,,,,,,,,,,,,,,,,,31-Jan-2019,BALRAJ SINGH,2025-10-17
102,152,No,25,,2837.4,1.4,,(20+),1,,,,,,,,,,,,,,,,,,,,,31-Jan-2019,BALRAJ SINGH,2025-10-17
102,152,No,26,,3373.4,1.7,,(22+),1,,,,,,,,,,,,,,,,,,,,,31-Jan-2019,BALRAJ SINGH,2025-10-17
102,152,No,27,,3943.4,2,,(24+),1,,,,,,,,,,,,,,,,,,,,,31-Jan-2019,BALRAJ SINGH,2025-10-17

