z,n,symbol,idx,energy_shift,energy,unc_e,ripl_shift,jp,jp_order,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hl,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_mn,electric_quadrupole,unc_eq,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
103,152,Lr,0,,0,,,[1/2-],1,31.1,,11,s,31.1,1.1,A,99.7,0.1,EC,0.3,0.1,SF,0.1,,,,,,,1-Nov-2011,E. BROWNE and  J. K. TULI,2025-10-17
103,152,Lr,1,,38,10,,[7/2-],1,2.54,,5,s,2.54,0.05,IT,60,,A,40,,,,,,,,,,1-Nov-2011,E. BROWNE and  J. K. TULI,2025-10-17
103,152,Lr,2,X,38,,,(9/2-),1,,,,,,,,,,,,,,,,,,,,,1-Nov-2011,E. BROWNE and  J. K. TULI,2025-10-17
103,152,Lr,3,Y,,,54,(9/2+),1,,,,,,,,,,,,,,,,,,,,,1-Nov-2011,E. BROWNE and  J. K. TULI,2025-10-17
103,152,Lr,4,Y,69.5,0.4,54,(11/2+),1,,,,,,,,,,,,,,,,,,,,,1-Nov-2011,E. BROWNE and  J. K. TULI,2025-10-17
103,152,Lr,5,Y,151.8,0.5,54,(13/2+),1,,,,,,,,,,,,,,,,,,,,,1-Nov-2011,E. BROWNE and  J. K. TULI,2025-10-17
103,152,Lr,6,,196.6,0.5,,5/2-,1,,,,,,,,,,,,,,,,,,,,,1-Nov-2011,E. BROWNE and  J. K. TULI,2025-10-17
103,152,Lr,7,X,227,1,,(11/2-),1,,,,,,,,,,,,,,,,,,,,,1-Nov-2011,E. BROWNE and  J. K. TULI,2025-10-17
103,152,Lr,8,X,253,1,,(13/2-),1,,,,,,,,,,,,,,,,,,,,,1-Nov-2011,E. BROWNE and  J. K. TULI,2025-10-17
103,152,Lr,9,Y,246.5,0.5,54,(15/2+),1,,,,,,,,,,,,,,,,,,,,,1-Nov-2011,E. BROWNE and  J. K. TULI,2025-10-17
103,152,Lr,10,Y,353.4,0.6,54,(17/2+),1,,,,,,,,,,,,,,,,,,,,,1-Nov-2011,E. BROWNE and  J. K. TULI,2025-10-17
103,152,Lr,11,,443.8,0.7,,9/2-,1,,,,,,,,,,,,,,,,,,,,,1-Nov-2011,E. BROWNE and  J. K. TULI,2025-10-17
103,152,Lr,12,,466,1.5,,(15/2-),1,,,,,,,,,,,,,,,,,,,,,1-Nov-2011,E. BROWNE and  J. K. TULI,2025-10-17
103,152,Lr,13,X,517.6,1.2,,(17/2-),1,,,,,,,,,,,,,,,,,,,,,1-Nov-2011,E. BROWNE and  J. K. TULI,2025-10-17
103,152,Lr,14,,740,0.9,,(13/2-),2,,,,,,,,,,,,,,,,,,,,,1-Nov-2011,E. BROWNE and  J. K. TULI,2025-10-17
103,152,Lr,15,X,754.4,1.5,,(19/2-),1,,,,,,,,,,,,,,,,,,,,,1-Nov-2011,E. BROWNE and  J. K. TULI,2025-10-17
103,152,Lr,16,Y,740,0.5,54,(15/2+),2,1,LT,,us,0.000001,,,,,,,,,,,,,,,,1-Nov-2011,E. BROWNE and  J. K. TULI,2025-10-17
103,152,Lr,17,X,831.6,,,(21/2-),1,,,,,,,,,,,,,,,,,,,,,1-Nov-2011,E. BROWNE and  J. K. TULI,2025-10-17
103,152,Lr,18,Y,850.4,0.6,54,(17/2+),2,,,,,,,,,,,,,,,,,,,,,1-Nov-2011,E. BROWNE and  J. K. TULI,2025-10-17
103,152,Lr,19,Y,878.8,1,54,(19/2-),2,10,GE,,ns,0.00000001,,,,,,,,,,,,,,,,1-Nov-2011,E. BROWNE and  J. K. TULI,2025-10-17
103,152,Lr,20,Y,972.9,,54,(19/2+),1,,,,,,,,,,,,,,,,,,,,,1-Nov-2011,E. BROWNE and  J. K. TULI,2025-10-17
103,152,Lr,21,Y,1016.3,1,54,(21/2-),2,,,,,,,,,,,,,,,,,,,,,1-Nov-2011,E. BROWNE and  J. K. TULI,2025-10-17
103,152,Lr,22,,1082.9,1,,(17/2-),2,,,,,,,,,,,,,,,,,,,,,1-Nov-2011,E. BROWNE and  J. K. TULI,2025-10-17
103,152,Lr,23,X,1092.4,1.8,,(23/2-),1,,,,,,,,,,,,,,,,,,,,,1-Nov-2011,E. BROWNE and  J. K. TULI,2025-10-17
103,152,Lr,24,Y,1108,1,54,(21/2+),1,,,,,,,,,,,,,,,,,,,,,1-Nov-2011,E. BROWNE and  J. K. TULI,2025-10-17
103,152,Lr,25,X,1191.6,1.6,,(25/2-),1,,,,,,,,,,,,,,,,,,,,,1-Nov-2011,E. BROWNE and  J. K. TULI,2025-10-17
103,152,Lr,26,Y,1164.7,1,54,(23/2-),2,,,,,,,,,,,,,,,,,,,,,1-Nov-2011,E. BROWNE and  J. K. TULI,2025-10-17
103,152,Lr,27,Y,1408.6,1,54,(25/2+),1,1.70,,3,ms,0.0017,0.00003,IT,99.85,,A,0.15,,,,,,,,,,1-Nov-2011,E. BROWNE and  J. K. TULI,2025-10-17
103,152,Lr,28,,1469.9,1.5,,(21/2-),3,,,,,,,,,,,,,,,,,,,,,1-Nov-2011,E. BROWNE and  J. K. TULI,2025-10-17
103,152,Lr,29,,1476.4,2.1,,(27/2-),1,,,,,,,,,,,,,,,,,,,,,1-Nov-2011,E. BROWNE and  J. K. TULI,2025-10-17
103,152,Lr,30,,1899.9,1.8,,(25/2-),2,,,,,,,,,,,,,,,,,,,,,1-Nov-2011,E. BROWNE and  J. K. TULI,2025-10-17

