z,n,symbol,idx,energy_shift,energy,unc_e,ripl_shift,jp,jp_order,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hl,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_mn,electric_quadrupole,unc_eq,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
105,153,Db,0,,0,,,(5+ 6+),1,4.3,,5,s,4.3,0.5,A,77,8,EC+B+,23,8,,,,,,,,,25-Aug-2017,BALRAJ SINGH,2025-10-17
105,153,Db,1,X,0,,60,(1-),1,1.9,,5,s,1.9,0.5,A,64,10,EC+B+,36,10,,,,,,,,,25-Aug-2017,BALRAJ SINGH,2025-10-17
105,153,Db,2,Y,0,,,,,20,,10,s,20,10,EC,100,,,,,,,,,,,,,25-Aug-2017,BALRAJ SINGH,2025-10-17
105,153,Db,3,Z,0,,,,,,,,,,,,,,,,,,,,,,,,,25-Aug-2017,BALRAJ SINGH,2025-10-17
105,153,Db,4,,156.5,0.7,,(4:7)(-),1,,,,,,,,,,,,,,,,,,,,,25-Aug-2017,BALRAJ SINGH,2025-10-17
105,153,Db,5,Z,184,50,,,,,,,,,,,,,,,,,,,,,,,,25-Aug-2017,BALRAJ SINGH,2025-10-17
105,153,Db,6,,222,20,,,,,,,,,,,,,,,,,,,,,,,,25-Aug-2017,BALRAJ SINGH,2025-10-17
105,153,Db,7,,358,30,,,,,,,,,,,,,,,,,,,,,,,,25-Aug-2017,BALRAJ SINGH,2025-10-17
105,153,Db,8,,480,20,,,,,,,,,,,,,,,,,,,,,,,,25-Aug-2017,BALRAJ SINGH,2025-10-17
105,153,Db,9,Z,561,50,,,,,,,,,,,,,,,,,,,,,,,,25-Aug-2017,BALRAJ SINGH,2025-10-17

