z,n,symbol,idx,energy_shift,energy,unc_e,ripl_shift,jp,jp_order,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hl,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_mn,electric_quadrupole,unc_eq,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
13,14,Al,0,,0,,,5/2+,1,STABLE,,,,,,,,,,,,,,,,3.6407,0.00002,0.1466,0.001,30-Nov-2010,M. Shamsuzzoha Basunia,2025-10-16
13,14,Al,1,,843.76,0.09,,1/2+,1,35,,1,ps,0.000000000035,0.000000000001,,,,,,,,,,,,,,,30-Nov-2010,M. Shamsuzzoha Basunia,2025-10-16
13,14,Al,2,,1014.56,0.09,,3/2+,1,1.49,,7,ps,0.00000000000149,0.00000000000007,,,,,,,,,,,,,,,30-Nov-2010,M. Shamsuzzoha Basunia,2025-10-16
13,14,Al,3,,2212.01,0.1,,(7/2+),1,26.6,,6,fs,0.0000000000000266,6e-16,,,,,,,,,,,,,,,30-Nov-2010,M. Shamsuzzoha Basunia,2025-10-16
13,14,Al,4,,2734.9,0.7,,5/2+,2,8.9,,12,fs,0.0000000000000089,0.0000000000000012,,,,,,,,,,,,,,,30-Nov-2010,M. Shamsuzzoha Basunia,2025-10-16
13,14,Al,5,,2982,0.05,,3/2+,2,3.90,,9,fs,0.0000000000000039,9e-17,,,,,,,,,,,,,,,30-Nov-2010,M. Shamsuzzoha Basunia,2025-10-16
13,14,Al,6,,3004.2,0.8,,(9/2+),1,59,,3,fs,0.000000000000059,0.000000000000003,,,,,,,,,,,,,,,30-Nov-2010,M. Shamsuzzoha Basunia,2025-10-16
13,14,Al,7,,3680.4,0.9,,1/2+,2,5.4,,12,fs,0.0000000000000054,0.0000000000000012,,,,,,,,,,,,,,,30-Nov-2010,M. Shamsuzzoha Basunia,2025-10-16
13,14,Al,8,,3956.8,0.4,,3/2+,3,2.5,,2,fs,0.0000000000000025,2e-16,,,,,,,,,,,,,,,30-Nov-2010,M. Shamsuzzoha Basunia,2025-10-16
13,14,Al,9,,4054.6,0.5,,1/2-,1,7.3,,12,fs,0.0000000000000073,0.0000000000000012,,,,,,,,,,,,,,,30-Nov-2010,M. Shamsuzzoha Basunia,2025-10-16
13,14,Al,10,,4410.2,0.4,,5/2+,3,1.2,,1,fs,0.0000000000000012,1e-16,,,,,,,,,,,,,,,30-Nov-2010,M. Shamsuzzoha Basunia,2025-10-16
13,14,Al,11,,4510.3,0.5,,(11/2+),1,222,,14,fs,0.000000000000222,0.000000000000014,,,,,,,,,,,,,,,30-Nov-2010,M. Shamsuzzoha Basunia,2025-10-16
13,14,Al,12,,4580,0.8,,(7/2+),2,5.3,,6,fs,0.0000000000000053,6e-16,,,,,,,,,,,,,,,30-Nov-2010,M. Shamsuzzoha Basunia,2025-10-16
13,14,Al,13,,4811.6,0.5,,5/2+,4,1.5,,2,fs,0.0000000000000015,2e-16,,,,,,,,,,,,,,,30-Nov-2010,M. Shamsuzzoha Basunia,2025-10-16
13,14,Al,14,,5155.6,0.8,,3/2-,1,2.4,,3,fs,0.0000000000000024,3e-16,,,,,,,,,,,,,,,30-Nov-2010,M. Shamsuzzoha Basunia,2025-10-16
13,14,Al,15,,5248,0.6,,5/2+,5,4,LT,,fs,0.000000000000004,,,,,,,,,,,,,,,,30-Nov-2010,M. Shamsuzzoha Basunia,2025-10-16
13,14,Al,16,,5419.9,0.9,,(9/2+),2,14,LT,,fs,0.000000000000014,,,,,,,,,,,,,,,,30-Nov-2010,M. Shamsuzzoha Basunia,2025-10-16
13,14,Al,17,,5432.8,1,,7/2,1,7,,2,fs,0.000000000000007,0.000000000000002,,,,,,,,,,,,,,,30-Nov-2010,M. Shamsuzzoha Basunia,2025-10-16
13,14,Al,18,,5438.4,0.8,,5/2-,1,6,,4,fs,0.000000000000006,0.000000000000004,,,,,,,,,,,,,,,30-Nov-2010,M. Shamsuzzoha Basunia,2025-10-16
13,14,Al,19,,5499.8,0.8,,11/2+,1,7,LT,,fs,0.000000000000007,,,,,,,,,,,,,,,,30-Nov-2010,M. Shamsuzzoha Basunia,2025-10-16
13,14,Al,20,,5550.9,0.5,,5/2,1,2.6,,5,fs,0.0000000000000026,5e-16,,,,,,,,,,,,,,,30-Nov-2010,M. Shamsuzzoha Basunia,2025-10-16
13,14,Al,21,,5667.3,1.2,,9/2+,1,11,,3,fs,0.000000000000011,0.000000000000003,,,,,,,,,,,,,,,30-Nov-2010,M. Shamsuzzoha Basunia,2025-10-16
13,14,Al,22,,5751.6,1,,1/2+,3,10,LT,,fs,0.00000000000001,,,,,,,,,,,,,,,,30-Nov-2010,M. Shamsuzzoha Basunia,2025-10-16
13,14,Al,23,,5827,0.8,,3/2-,2,21,LT,,fs,0.000000000000021,,,,,,,,,,,,,,,,30-Nov-2010,M. Shamsuzzoha Basunia,2025-10-16
