z,n,symbol,idx,energy_shift,energy,unc_e,ripl_shift,jp,jp_order,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hl,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_mn,electric_quadrupole,unc_eq,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
15,18,P,0,,0,,,1/2+,1,25.38,,6,d,2192832,5184,B-,100,,,,,,,,,,,,,30-Sep-2024,Jun Chen and Balraj Singh,2025-10-16
15,18,P,1,,1431.72,0.15,,3/2+,1,0.43,,7,ps,0.00000000000043,0.00000000000007,,,,,,,,,,,,,,,30-Sep-2024,Jun Chen and Balraj Singh,2025-10-16
15,18,P,2,,1847.72,0.13,,5/2+,1,0.78,,11,ps,0.00000000000078,0.00000000000011,,,,,,,,,,,,,,,30-Sep-2024,Jun Chen and Balraj Singh,2025-10-16
15,18,P,3,,2538.6,0.25,,3/2+,2,35,,14,fs,0.000000000000035,0.000000000000014,,,,,,,,,,,,,,,30-Sep-2024,Jun Chen and Balraj Singh,2025-10-16
15,18,P,4,,3276.2,0.4,,3/2+,3,0.14,,3,ps,0.00000000000014,0.00000000000003,,,,,,,,,,,,,,,30-Sep-2024,Jun Chen and Balraj Singh,2025-10-16
15,18,P,5,,3490.58,0.24,,5/2+,2,63,,14,fs,0.000000000000063,0.000000000000014,,,,,,,,,,,,,,,30-Sep-2024,Jun Chen and Balraj Singh,2025-10-16
15,18,P,6,,3627.9,0.4,,7/2+,1,151,,28,fs,0.000000000000151,0.000000000000028,,,,,,,,,,,,,,,30-Sep-2024,Jun Chen and Balraj Singh,2025-10-16
15,18,P,7,,4048.3,0.5,,5/2+,3,59,,21,fs,0.000000000000059,0.000000000000021,,,,,,,,,,,,,,,30-Sep-2024,Jun Chen and Balraj Singh,2025-10-16
15,18,P,8,,4192.3,2,,5/2+,4,104,,35,fs,0.000000000000104,0.000000000000035,,,,,,,,,,,,,,,30-Sep-2024,Jun Chen and Balraj Singh,2025-10-16
15,18,P,9,,4226.19,0.21,,7/2-,1,0.32,,7,ps,0.00000000000032,0.00000000000007,,,,,,,,,,,,,,,30-Sep-2024,Jun Chen and Balraj Singh,2025-10-16
15,18,P,10,,4856,1.1,,3/2 5/2(+),1,76,LT,,fs,0.000000000000076,,,,,,,,,,,,,,,,30-Sep-2024,Jun Chen and Balraj Singh,2025-10-16
15,18,P,11,,5050,4,,5/2+,5,,,,,,,,,,,,,,,,,,,,,30-Sep-2024,Jun Chen and Balraj Singh,2025-10-16
15,18,P,12,,5053.4,1.1,,3/2+,4,62,LT,,fs,0.000000000000062,,,,,,,,,,,,,,,,30-Sep-2024,Jun Chen and Balraj Singh,2025-10-16
15,18,P,13,,5190.5,1.4,,(5/2+),1,0.13,LT,,ps,0.00000000000013,,,,,,,,,,,,,,,,30-Sep-2024,Jun Chen and Balraj Singh,2025-10-16
15,18,P,14,,5406,2.5,,(7/2+),1,76,LT,,fs,0.000000000000076,,,,,,,,,,,,,,,,30-Sep-2024,Jun Chen and Balraj Singh,2025-10-16
15,18,P,15,,5415.7,2.6,,,,,,,,,,,,,,,,,,,,,,,,30-Sep-2024,Jun Chen and Balraj Singh,2025-10-16
