z,n,symbol,idx,energy_shift,energy,unc_e,ripl_shift,jp,jp_order,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hl,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_mn,electric_quadrupole,unc_eq,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
16,17,S,0,,0,,,3/2+,1,STABLE,,,,,,,,,,,,,,,1/2,0.64325,0.00002,-0.694,0.004,30-Sep-2024,Jun Chen and Balraj Singh,2025-10-16
16,17,S,1,,840.983,0.015,,1/2+,1,1.17,,7,ps,0.00000000000117,0.00000000000007,,,,,,,,,,1/2,,,,,30-Sep-2024,Jun Chen and Balraj Singh,2025-10-16
16,17,S,2,,1967.097,0.032,,5/2+,1,94,,14,fs,0.000000000000094,0.000000000000014,,,,,,,,,,1/2,,,,,30-Sep-2024,Jun Chen and Balraj Singh,2025-10-16
16,17,S,3,,2313.313,0.024,,3/2+,2,117,,17,fs,0.000000000000117,0.000000000000017,,,,,,,,,,1/2,,,,,30-Sep-2024,Jun Chen and Balraj Singh,2025-10-16
16,17,S,4,,2867.615,0.027,,5/2+,2,12,,4,fs,0.000000000000012,0.000000000000004,,,,,,,,,,1/2,,,,,30-Sep-2024,Jun Chen and Balraj Singh,2025-10-16
16,17,S,5,,2934.45,0.08,,7/2-,1,28.3,,14,ps,0.0000000000283,0.0000000000014,,,,,,,,,,,,,,,30-Sep-2024,Jun Chen and Balraj Singh,2025-10-16
16,17,S,6,,2969.09,0.07,,7/2+,1,59,,8,fs,0.000000000000059,0.000000000000008,,,,,,,,,,,,,,,30-Sep-2024,Jun Chen and Balraj Singh,2025-10-16
16,17,S,7,,3220.647,0.022,,3/2-,1,26,,5,fs,0.000000000000026,0.000000000000005,,,,,,,,,,,,,,,30-Sep-2024,Jun Chen and Balraj Singh,2025-10-16
16,17,S,8,,3365,8,,,,,,,,,,,,,,,,,,,,,,,,30-Sep-2024,Jun Chen and Balraj Singh,2025-10-16
16,17,S,9,,3537,1,,,,,,,,,,,,,,,,,,,,,,,,30-Sep-2024,Jun Chen and Balraj Singh,2025-10-16
16,17,S,10,,3779.6,1,,(5/2+),1,,,,,,,,,,,,,,,,,,,,,30-Sep-2024,Jun Chen and Balraj Singh,2025-10-16
16,17,S,11,,3831.84,0.2,,5/2+,3,30,,8,fs,0.00000000000003,0.000000000000008,,,,,,,,,,1/2,,,,,30-Sep-2024,Jun Chen and Balraj Singh,2025-10-16
16,17,S,12,,3934.74,0.06,,3/2+,3,24,,7,fs,0.000000000000024,0.000000000000007,,,,,,,,,,,,,,,30-Sep-2024,Jun Chen and Balraj Singh,2025-10-16
16,17,S,13,,4048.49,0.08,,9/2+,1,211,,53,fs,0.000000000000211,0.000000000000053,,,,,,,,,,,,,,,30-Sep-2024,Jun Chen and Balraj Singh,2025-10-16
16,17,S,14,,4055.44,0.11,,1/2+,2,12,,8,fs,0.000000000000012,0.000000000000008,,,,,,,,,,,,,,,30-Sep-2024,Jun Chen and Balraj Singh,2025-10-16
16,17,S,15,,4094.98,0.17,,7/2+,2,31,,8,fs,0.000000000000031,0.000000000000008,,,,,,,,,,,,,,,30-Sep-2024,Jun Chen and Balraj Singh,2025-10-16
16,17,S,16,,4144.21,0.06,,5/2+,4,24,,7,fs,0.000000000000024,0.000000000000007,,,,,,,,,,,,,,,30-Sep-2024,Jun Chen and Balraj Singh,2025-10-16
16,17,S,17,,4210.819,0.029,,3/2-,2,24,,8,fs,0.000000000000024,0.000000000000008,,,,,,,,,,,,,,,30-Sep-2024,Jun Chen and Balraj Singh,2025-10-16
16,17,S,18,,4375.21,0.3,,1/2+,3,24,,10,fs,0.000000000000024,0.00000000000001,,,,,,,,,,,,,,,30-Sep-2024,Jun Chen and Balraj Singh,2025-10-16
16,17,S,19,,4423.71,0.05,,1/2+ 3/2,1,19,,10,fs,0.000000000000019,0.00000000000001,,,,,,,,,,,,,,,30-Sep-2024,Jun Chen and Balraj Singh,2025-10-16
16,17,S,20,,4473.63,0.29,,,,,,,,,,,,,,,,,,,,,,,,30-Sep-2024,Jun Chen and Balraj Singh,2025-10-16
16,17,S,21,,4730.02,0.09,,9/2-,1,76,,20,fs,0.000000000000076,0.00000000000002,,,,,,,,,,,,,,,30-Sep-2024,Jun Chen and Balraj Singh,2025-10-16
16,17,S,22,,4748,1,,1/2+ 3/2+ 5/2+,1,7,LT,,fs,0.000000000000007,,,,,,,,,,,,,,,,30-Sep-2024,Jun Chen and Balraj Singh,2025-10-16
16,17,S,23,,4794.9,1.4,,(7/2+),1,,,,,,,,,,,,,,,,,,,,,30-Sep-2024,Jun Chen and Balraj Singh,2025-10-16
16,17,S,24,,4866.5,0.19,,11/2-,1,227,,35,fs,0.000000000000227,0.000000000000035,,,,,,,,,,,,,,,30-Sep-2024,Jun Chen and Balraj Singh,2025-10-16
16,17,S,25,,4917.87,0.04,,1/2-,1,90,,30,fs,0.00000000000009,0.00000000000003,,,,,,,,,,,,,,,30-Sep-2024,Jun Chen and Balraj Singh,2025-10-16
16,17,S,26,,4941,2,,5/2- 7/2-,1,27,,11,fs,0.000000000000027,0.000000000000011,,,,,,,,,,,,,,,30-Sep-2024,Jun Chen and Balraj Singh,2025-10-16
16,17,S,27,,4943.62,0.23,,(1/2 3/2 5/2),1,,,,,,,,,,,,,,,,,,,,,30-Sep-2024,Jun Chen and Balraj Singh,2025-10-16
16,17,S,28,,5178,4,,(5/2- 7/2-),1,,,,,,,,,,,,,,,,,,,,,30-Sep-2024,Jun Chen and Balraj Singh,2025-10-16
16,17,S,29,,5208.97,0.23,,(1/2:7/2+),1,14,LT,,fs,0.000000000000014,,,,,,,,,,,,,,,,30-Sep-2024,Jun Chen and Balraj Singh,2025-10-16
16,17,S,30,,5273,4,,(1/2:7/2),1,,,,,,,,,,,,,,,,,,,,,30-Sep-2024,Jun Chen and Balraj Singh,2025-10-16
16,17,S,31,,5282,2,,(1/2:7/2+),2,21,,8,fs,0.000000000000021,0.000000000000008,,,,,,,,,,,,,,,30-Sep-2024,Jun Chen and Balraj Singh,2025-10-16
16,17,S,32,,5286.24,0.05,,(1/2 3/2 5/2+),1,,,,,,,,,,,,,,,,,,,,,30-Sep-2024,Jun Chen and Balraj Singh,2025-10-16
16,17,S,33,,5342,4,,3/2+ 5/2+,1,,,,,,,,,,,,,,,,,,,,,30-Sep-2024,Jun Chen and Balraj Singh,2025-10-16
16,17,S,34,,5348.53,0.25,,(1/2 3/2 5/2-),1,,,,,,,,,,,,,,,,,,,,,30-Sep-2024,Jun Chen and Balraj Singh,2025-10-16
16,17,S,35,,5391.9,1.7,,,,,,,,,,,,,,,,,,,,,,,,30-Sep-2024,Jun Chen and Balraj Singh,2025-10-16
16,17,S,36,,5401,4,,,,,,,,,,,,,,,,,,,,,,,,30-Sep-2024,Jun Chen and Balraj Singh,2025-10-16
16,17,S,37,,5478.41,0.24,,9/2-,2,28,LE,,fs,0.000000000000028,,,,,,,,,,,,,,,,30-Sep-2024,Jun Chen and Balraj Singh,2025-10-16
16,17,S,38,,5479.72,0.13,,1/2+,4,,,,,,,,,,,,,,,,3/2,,,,,30-Sep-2024,Jun Chen and Balraj Singh,2025-10-16
16,17,S,39,,5597,6,,(1/2+),1,,,,,,,,,,,,,,,,,,,,,30-Sep-2024,Jun Chen and Balraj Singh,2025-10-16
16,17,S,40,,5612.9,0.04,,(1/2+),2,,,,,,,,,,,,,,,,,,,,,30-Sep-2024,Jun Chen and Balraj Singh,2025-10-16
16,17,S,41,,5622,6,,(1/2+),3,,,,,,,,,,,,,,,,,,,,,30-Sep-2024,Jun Chen and Balraj Singh,2025-10-16
16,17,S,42,,5710.871,0.025,,1/2-,2,,,,,,,,,,,,,,,,,,,,,30-Sep-2024,Jun Chen and Balraj Singh,2025-10-16
16,17,S,43,,5721.7,0.7,,9/2(+),1,,,,,,,,,,,,,,,,,,,,,30-Sep-2024,Jun Chen and Balraj Singh,2025-10-16
16,17,S,44,,5793.4,0.8,,,,,,,,,,,,,,,,,,,,,,,,30-Sep-2024,Jun Chen and Balraj Singh,2025-10-16
16,17,S,45,,5804,24,,(5/2+),2,,,,,,,,,,,,,,,,1/2,,,,,30-Sep-2024,Jun Chen and Balraj Singh,2025-10-16
16,17,S,46,,5864,6,,,,,,,,,,,,,,,,,,,,,,,,30-Sep-2024,Jun Chen and Balraj Singh,2025-10-16
16,17,S,47,,5888.319,0.031,,3/2-,3,,,,,,,,,,,,,,,,,,,,,30-Sep-2024,Jun Chen and Balraj Singh,2025-10-16
16,17,S,48,,5915,4,,1/2+,5,,,,,,,,,,,,,,,,,,,,,30-Sep-2024,Jun Chen and Balraj Singh,2025-10-16
16,17,S,49,,5982,6,,(1/2- 3/2-),1,,,,,,,,,,,,,,,,,,,,,30-Sep-2024,Jun Chen and Balraj Singh,2025-10-16
16,17,S,50,,5988.9,2,,,,,,,,,,,,,,,,,,,,,,,,30-Sep-2024,Jun Chen and Balraj Singh,2025-10-16
16,17,S,51,,6067,6,,,,,,,,,,,,,,,,,,,,,,,,30-Sep-2024,Jun Chen and Balraj Singh,2025-10-16
16,17,S,52,,6091,,,,,,,,,,,,,,,,,,,,,,,,,30-Sep-2024,Jun Chen and Balraj Singh,2025-10-16
16,17,S,53,,6101,6,,,,,,,,,,,,,,,,,,,,,,,,30-Sep-2024,Jun Chen and Balraj Singh,2025-10-16
16,17,S,54,,6131,6,,,,,,,,,,,,,,,,,,,,,,,,30-Sep-2024,Jun Chen and Balraj Singh,2025-10-16
16,17,S,55,,6234,6,,,,,,,,,,,,,,,,,,,,,,,,30-Sep-2024,Jun Chen and Balraj Singh,2025-10-16
16,17,S,56,,6261,6,,,,,,,,,,,,,,,,,,,,,,,,30-Sep-2024,Jun Chen and Balraj Singh,2025-10-16
16,17,S,57,,6310,6,,,,,,,,,,,,,,,,,,,,,,,,30-Sep-2024,Jun Chen and Balraj Singh,2025-10-16
16,17,S,58,,6327,6,,5/2+,5,,,,,,,,,,,,,,,,1/2,,,,,30-Sep-2024,Jun Chen and Balraj Singh,2025-10-16
