z,n,symbol,idx,energy_shift,energy,unc_e,ripl_shift,jp,jp_order,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hl,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_mn,electric_quadrupole,unc_eq,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
19,20,K,0,,0,,,3/2+,1,STABLE,,,,,,,,,,,,,,,,0.39147,0.000008,0.603,0.006,1-Jan-2018,JUN CHEN,2025-10-16
19,20,K,1,,2522.75,0.25,,1/2+,1,63,,6,fs,0.000000000000063,0.000000000000006,,,,,,,,,,,,,,,1-Jan-2018,JUN CHEN,2025-10-16
19,20,K,2,,2814.17,0.16,,7/2-,1,47,,4,ps,0.000000000047,0.000000000004,,,,,,,,,,,4,0.4,,,1-Jan-2018,JUN CHEN,2025-10-16
19,20,K,3,,3018.7,0.3,,3/2-,1,15,,3,fs,0.000000000000015,0.000000000000003,,,,,,,,,,,,,,,1-Jan-2018,JUN CHEN,2025-10-16
19,20,K,4,,3597.41,0.17,,9/2-,1,38,,3,ps,0.000000000038,0.000000000003,,,,,,,,,,,2.4,0.2,,,1-Jan-2018,JUN CHEN,2025-10-16
19,20,K,5,,3883.2,0.9,,5/2-,1,7.4,,15,fs,0.0000000000000074,0.0000000000000015,,,,,,,,,,,,,,,1-Jan-2018,JUN CHEN,2025-10-16
19,20,K,6,,3938.9,0.5,,3/2+,2,73,,14,fs,0.000000000000073,0.000000000000014,,,,,,,,,,,,,,,1-Jan-2018,JUN CHEN,2025-10-16
19,20,K,7,,3944.13,0.17,,11/2-,1,8.5,,10,ps,0.0000000000085,0.000000000001,,,,,,,,,,,,,,,1-Jan-2018,JUN CHEN,2025-10-16
19,20,K,8,,4081.9,0.4,,3/2-,2,21,,7,fs,0.000000000000021,0.000000000000007,,,,,,,,,,,,,,,1-Jan-2018,JUN CHEN,2025-10-16
19,20,K,9,,4095.6,0.4,,1/2+,2,60,,10,fs,0.00000000000006,0.00000000000001,,,,,,,,,,,,,,,1-Jan-2018,JUN CHEN,2025-10-16
19,20,K,10,,4126.5,0.2,,7/2-,2,45,,10,fs,0.000000000000045,0.00000000000001,,,,,,,,,,,,,,,1-Jan-2018,JUN CHEN,2025-10-16
19,20,K,11,,4474.3,1.3,,1/2- 3/2-,1,0.23,,3,ps,0.00000000000023,0.00000000000003,,,,,,,,,,,,,,,1-Jan-2018,JUN CHEN,2025-10-16
19,20,K,12,,4514.3,1.3,,5/2+,1,19,,7,fs,0.000000000000019,0.000000000000007,,,,,,,,,,,,,,,1-Jan-2018,JUN CHEN,2025-10-16
19,20,K,13,,4520.41,0.19,,9/2-,2,96,,25,fs,0.000000000000096,0.000000000000025,,,,,,,,,,,,,,,1-Jan-2018,JUN CHEN,2025-10-16
19,20,K,14,,4678.99,0.22,,7/2-,3,89,,21,fs,0.000000000000089,0.000000000000021,,,,,,,,,,,,,,,1-Jan-2018,JUN CHEN,2025-10-16
19,20,K,15,,4737.7,0.4,,5/2- 7/2- 9/2-,1,0.08,,4,ps,0.00000000000008,0.00000000000004,,,,,,,,,,,,,,,1-Jan-2018,JUN CHEN,2025-10-16
19,20,K,16,,4738.2,1.7,,5/2+,2,22,,6,fs,0.000000000000022,0.000000000000006,,,,,,,,,,,,,,,1-Jan-2018,JUN CHEN,2025-10-16
19,20,K,17,,4930.3,0.4,,3/2+,3,21,,9,fs,0.000000000000021,0.000000000000009,,,,,,,,,,,,,,,1-Jan-2018,JUN CHEN,2025-10-16
19,20,K,18,,4977,15,,5/2- 7/2-,1,,,,,,,,,,,,,,,,,,,,,1-Jan-2018,JUN CHEN,2025-10-16
19,20,K,19,,5009.59,0.25,,7/2-,4,0.24,,6,ps,0.00000000000024,0.00000000000006,,,,,,,,,,,,,,,1-Jan-2018,JUN CHEN,2025-10-16
19,20,K,20,,5010.9,0.5,,(3/2 5/2- 7/2-),1,35,,10,fs,0.000000000000035,0.00000000000001,,,,,,,,,,,,,,,1-Jan-2018,JUN CHEN,2025-10-16
19,20,K,21,,5157,2,,,,,,,,,,,,,,,,,,,,,,,,1-Jan-2018,JUN CHEN,2025-10-16
19,20,K,22,,5164.22,0.2,,9/2-,3,55,,14,fs,0.000000000000055,0.000000000000014,,,,,,,,,,,,,,,1-Jan-2018,JUN CHEN,2025-10-16
