z,n,symbol,idx,energy_shift,energy,unc_e,ripl_shift,jp,jp_order,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hl,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_mn,electric_quadrupole,unc_eq,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
20,24,Ca,0,,0,,,0+,1,STABLE,,,,,,,,,,,,,,,,,,,,20-Jun-2023,Jun Chen and Balraj Singh,2025-10-16
20,24,Ca,1,,1157.0208,0.003,,2+,1,2.94,,12,ps,0.00000000000294,0.00000000000012,,,,,,,,,,,0.34,0.06,-0.14,0.07,20-Jun-2023,Jun Chen and Balraj Singh,2025-10-16
20,24,Ca,2,,1570,,,2+,2,,,,,,,,,,,,,,,,,,,,,20-Jun-2023,Jun Chen and Balraj Singh,2025-10-16
20,24,Ca,3,,1883.516,0.013,,0+,2,13.9,,42,ps,0.0000000000139,0.0000000000042,,,,,,,,,,,,,,,20-Jun-2023,Jun Chen and Balraj Singh,2025-10-16
20,24,Ca,4,,2030,,,2+,3,,,,,,,,,,,,,,,,,,,,,20-Jun-2023,Jun Chen and Balraj Singh,2025-10-16
20,24,Ca,5,,2283.119,0.01,,4+,1,1.9,,7,ps,0.0000000000019,0.0000000000007,,,,,,,,,,,,,,,20-Jun-2023,Jun Chen and Balraj Singh,2025-10-16
20,24,Ca,6,,2656.509,0.011,,2+,4,30,,3,fs,0.00000000000003,0.000000000000003,,,,,,,,,,,,,,,20-Jun-2023,Jun Chen and Balraj Singh,2025-10-16
20,24,Ca,7,,3044.292,0.033,,4+,2,4.6,,+13-10,ps,0.0000000000046,0.00000000000115,,,,,,,,,,,,,,,20-Jun-2023,Jun Chen and Balraj Singh,2025-10-16
20,24,Ca,8,,3285.004,0.022,,6+,1,13.3,,12,ps,0.0000000000133,0.0000000000012,,,,,,,,,,,,,,,20-Jun-2023,Jun Chen and Balraj Singh,2025-10-16
20,24,Ca,9,,3301.36,0.04,,2+,5,35,,18,fs,0.000000000000035,0.000000000000018,,,,,,,,,,,,,,,20-Jun-2023,Jun Chen and Balraj Singh,2025-10-16
