z,n,symbol,idx,energy_shift,energy,unc_e,ripl_shift,jp,jp_order,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hl,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_mn,electric_quadrupole,unc_eq,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
2,2,He,0,,0,,,0+,1,STABLE,,,,,,,,,,,,,,,0,,,,,8-OCT-1991,J. H. KELLEY and  D. R. TILLEY and  H.R. WELLER AND G.M. HALE,2025-10-16
2,2,He,1,,20210,,,0+,2,0.50,,,MeV,9.124754301427714e-22,0,P,100,,,,,,,,0,,,,,8-OCT-1991,J. H. KELLEY and  D. R. TILLEY and  H.R. WELLER AND G.M. HALE,2025-10-16
2,2,He,2,,21010,,,0-,1,0.84,,,MeV,5.431401369897449e-22,0,P,76,,N,24,,,,,0,,,,,8-OCT-1991,J. H. KELLEY and  D. R. TILLEY and  H.R. WELLER AND G.M. HALE,2025-10-16
2,2,He,3,,21840,,,2-,1,2.01,,,MeV,2.2698393784646056e-22,0,P,63,,N,37,,,,,0,,,,,8-OCT-1991,J. H. KELLEY and  D. R. TILLEY and  H.R. WELLER AND G.M. HALE,2025-10-16
2,2,He,4,,23330,,,2-,2,5.01,,,MeV,9.106541218989735e-23,0,P,53,,N,47,,,,,1,,,,,8-OCT-1991,J. H. KELLEY and  D. R. TILLEY and  H.R. WELLER AND G.M. HALE,2025-10-16
2,2,He,5,,23640,,,1-,1,6.20,,,MeV,7.358672823732027e-23,0,P,55,,N,45,,IT,,,1,,,,,8-OCT-1991,J. H. KELLEY and  D. R. TILLEY and  H.R. WELLER AND G.M. HALE,2025-10-16
2,2,He,6,,24250,,,1-,2,6.10,,,MeV,7.479306804448946e-23,0,P,50,,N,47,,D,3,,0,,,,,8-OCT-1991,J. H. KELLEY and  D. R. TILLEY and  H.R. WELLER AND G.M. HALE,2025-10-16
2,2,He,7,,25280,,,0-,2,7.97,,,MeV,5.724438081196809e-23,0,P,52,,N,48,,,,,1,,,,,8-OCT-1991,J. H. KELLEY and  D. R. TILLEY and  H.R. WELLER AND G.M. HALE,2025-10-16
2,2,He,8,,25950,,,1-,3,12.66,,,MeV,3.603773420785037e-23,0,P,52,,N,48,,IT,,,1,,,,,8-OCT-1991,J. H. KELLEY and  D. R. TILLEY and  H.R. WELLER AND G.M. HALE,2025-10-16
2,2,He,9,,27420,,,2+,1,8.69,,,MeV,5.250146318427914e-23,0,D,94,,N,3,,P,3,,0,,,,,8-OCT-1991,J. H. KELLEY and  D. R. TILLEY and  H.R. WELLER AND G.M. HALE,2025-10-16
2,2,He,10,,28310,,,1+,1,9.89,,,MeV,4.6131214870716445e-23,0,P,48,,N,47,,D,5,,0,,,,,8-OCT-1991,J. H. KELLEY and  D. R. TILLEY and  H.R. WELLER AND G.M. HALE,2025-10-16
2,2,He,11,,28370,,,1-,4,3.92,,,MeV,1.163871722120882e-22,0,D,96,,P,2,,N,2,,0,,,,,8-OCT-1991,J. H. KELLEY and  D. R. TILLEY and  H.R. WELLER AND G.M. HALE,2025-10-16
2,2,He,12,,28390,,,2-,3,8.75,,,MeV,5.214145315101551e-23,0,D,99.6,,P,0.2,,N,0.2,,0,,,,,8-OCT-1991,J. H. KELLEY and  D. R. TILLEY and  H.R. WELLER AND G.M. HALE,2025-10-16
2,2,He,13,,28640,,,0-,3,4.89,,,MeV,9.330014623136722e-23,0,D,100,,,,,,,,0,,,,,8-OCT-1991,J. H. KELLEY and  D. R. TILLEY and  H.R. WELLER AND G.M. HALE,2025-10-16
2,2,He,14,,28670,,,2+,2,3.78,,,MeV,1.206978082199433e-22,0,D,100,,IT,,,,,,0,,,,,8-OCT-1991,J. H. KELLEY and  D. R. TILLEY and  H.R. WELLER AND G.M. HALE,2025-10-16
2,2,He,15,,29890,,,2+,3,9.72,,,MeV,4.693803652997795e-23,0,D,99.2,,N,0.4,,P,0.4,,0,,,,,8-OCT-1991,J. H. KELLEY and  D. R. TILLEY and  H.R. WELLER AND G.M. HALE,2025-10-16

