z,n,symbol,idx,energy_shift,energy,unc_e,ripl_shift,jp,jp_order,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hl,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_mn,electric_quadrupole,unc_eq,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
21,29,Sc,0,,0,,,5+,1,102.5,,5,s,102.5,0.5,B-,100,,,,,,,,,,,,,15-Apr-2019,Jun Chen and Balraj Singh,2025-10-16
21,29,Sc,1,,256.895,0.01,,2+,1,0.35,,4,s,0.35,0.04,IT,99.5,0.5,B-,1,,,,,,,,,,15-Apr-2019,Jun Chen and Balraj Singh,2025-10-16
21,29,Sc,2,,328.447,0.012,,3+,1,600,LT,,ps,0.0000000006,,,,,,,,,,,,,,,,15-Apr-2019,Jun Chen and Balraj Singh,2025-10-16
21,29,Sc,3,,757,6,,(4)+,1,,,,,,,,,,,,,,,,,,,,,15-Apr-2019,Jun Chen and Balraj Singh,2025-10-16
21,29,Sc,4,,1847.772,0.02,,1+,1,2,LT,,ns,0.000000002,,,,,,,,,,,,,,,,15-Apr-2019,Jun Chen and Balraj Singh,2025-10-16
21,29,Sc,5,,2225,5,,2+ 3+,1,,,,,,,,,,,,,,,,,,,,,15-Apr-2019,Jun Chen and Balraj Singh,2025-10-16
21,29,Sc,6,,2326,6,,(3)+,1,,,,,,,,,,,,,,,,,,,,,15-Apr-2019,Jun Chen and Balraj Singh,2025-10-16
21,29,Sc,7,,2527,10,,(1),1,,,,,,,,,,,,,,,,,,,,,15-Apr-2019,Jun Chen and Balraj Singh,2025-10-16
21,29,Sc,8,,2614,10,,(1+),1,,,,,,,,,,,,,,,,,,,,,15-Apr-2019,Jun Chen and Balraj Singh,2025-10-16
21,29,Sc,9,,3028,15,,,,,,,,,,,,,,,,,,,,,,,,15-Apr-2019,Jun Chen and Balraj Singh,2025-10-16
21,29,Sc,10,,3089,5,,(0)+,1,,,,,,,,,,,,,,,,,,,,,15-Apr-2019,Jun Chen and Balraj Singh,2025-10-16
21,29,Sc,11,,3259,6,,1+ 2+ 3+,1,,,,,,,,,,,,,,,,,,,,,15-Apr-2019,Jun Chen and Balraj Singh,2025-10-16
21,29,Sc,12,,3287,5,,1+ 2+ 3+,2,,,,,,,,,,,,,,,,,,,,,15-Apr-2019,Jun Chen and Balraj Singh,2025-10-16
21,29,Sc,13,,3355,15,,,,,,,,,,,,,,,,,,,,,,,,15-Apr-2019,Jun Chen and Balraj Singh,2025-10-16
21,29,Sc,14,,3385,15,,,,,,,,,,,,,,,,,,,,,,,,15-Apr-2019,Jun Chen and Balraj Singh,2025-10-16
21,29,Sc,15,,3500,20,,,,,,,,,,,,,,,,,,,,,,,,15-Apr-2019,Jun Chen and Balraj Singh,2025-10-16
21,29,Sc,16,,3556,15,,,,,,,,,,,,,,,,,,,,,,,,15-Apr-2019,Jun Chen and Balraj Singh,2025-10-16
21,29,Sc,17,,3611,15,,,,,,,,,,,,,,,,,,,,,,,,15-Apr-2019,Jun Chen and Balraj Singh,2025-10-16
21,29,Sc,18,,3681,5,,1+,2,,,,,,,,,,,,,,,,,,,,,15-Apr-2019,Jun Chen and Balraj Singh,2025-10-16
21,29,Sc,19,,3731,10,,,,,,,,,,,,,,,,,,,,,,,,15-Apr-2019,Jun Chen and Balraj Singh,2025-10-16
