z,n,symbol,idx,energy_shift,energy,unc_e,ripl_shift,jp,jp_order,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hl,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_mn,electric_quadrupole,unc_eq,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
23,27,V,0,,0,,,6+,1,2.65E+17,,+16-18,Y,8.36258538326688e24,5.36467741568064e23,EC+B+,99.3,0.7,B-,0.7,0.7,,,,,3.3345,0.0015,0.21,0.04,15-Apr-2019,Jun Chen and Balraj Singh,2025-10-16
23,27,V,1,,226.21,0.24,,5+,1,3.7,LT,,ps,0.0000000000037,,,,,,,,,,,,,,,,15-Apr-2019,Jun Chen and Balraj Singh,2025-10-16
23,27,V,2,,320.3,0.24,,4+,1,54,,+19-14,ps,0.000000000054,0.0000000000165,,,,,,,,,,,,,,,15-Apr-2019,Jun Chen and Balraj Singh,2025-10-16
23,27,V,3,,355.8,0.4,,3+,1,3,LT,,ns,0.000000003,,,,,,,,,,,,,,,,15-Apr-2019,Jun Chen and Balraj Singh,2025-10-16
23,27,V,4,,388.8,0.4,,2+,1,,,,,,,,,,,,,,,,,,,,,15-Apr-2019,Jun Chen and Balraj Singh,2025-10-16
23,27,V,5,,836.4,0.5,,5+,2,38,,14,fs,0.000000000000038,0.000000000000014,,,,,,,,,,,,,,,15-Apr-2019,Jun Chen and Balraj Singh,2025-10-16
23,27,V,6,,909.8,0.4,,(7)+,1,43,,8,fs,0.000000000000043,0.000000000000008,,,,,,,,,,,,,,,15-Apr-2019,Jun Chen and Balraj Singh,2025-10-16
23,27,V,7,,910.1,0.4,,4+,2,70,,9,fs,0.00000000000007,0.000000000000009,,,,,,,,,,,,,,,15-Apr-2019,Jun Chen and Balraj Singh,2025-10-16
23,27,V,8,,1301.7,0.5,,2+,2,46,,8,fs,0.000000000000046,0.000000000000008,,,,,,,,,,,,,,,15-Apr-2019,Jun Chen and Balraj Singh,2025-10-16
23,27,V,9,,1332.2,0.6,,1+,1,17,,6,fs,0.000000000000017,0.000000000000006,,,,,,,,,,,,,,,15-Apr-2019,Jun Chen and Balraj Singh,2025-10-16
23,27,V,10,,1402,0.4,,3+,2,0.8,GT,,ps,0.0000000000008,,,,,,,,,,,,,,,,15-Apr-2019,Jun Chen and Balraj Singh,2025-10-16
23,27,V,11,,1495.5,0.5,,1+,2,45,,7,fs,0.000000000000045,0.000000000000007,,,,,,,,,,,,,,,15-Apr-2019,Jun Chen and Balraj Singh,2025-10-16
23,27,V,12,,1518.5,0.5,,2+,3,148,,22,fs,0.000000000000148,0.000000000000022,,,,,,,,,,,,,,,15-Apr-2019,Jun Chen and Balraj Singh,2025-10-16
23,27,V,13,,1562.1,0.4,,2+,4,0.7,,+4-2,ps,0.0000000000007,0.0000000000003,,,,,,,,,,,,,,,15-Apr-2019,Jun Chen and Balraj Singh,2025-10-16
23,27,V,14,,1677.4,0.4,,3+,3,0.32,GT,,ps,0.00000000000032,,,,,,,,,,,,,,,,15-Apr-2019,Jun Chen and Balraj Singh,2025-10-16
23,27,V,15,,1700.3,1.1,,(3+ 4+ 5+),1,0.35,,10,ps,0.00000000000035,0.0000000000001,,,,,,,,,,,,,,,15-Apr-2019,Jun Chen and Balraj Singh,2025-10-16
23,27,V,16,,1703.1,2.1,,(3+ 4+ 5+),2,,,,,,,,,,,,,,,,,,,,,15-Apr-2019,Jun Chen and Balraj Singh,2025-10-16
23,27,V,17,,1719.3,1.5,,(1+ 2 3 4+),1,,,,,,,,,,,,,,,,,,,,,15-Apr-2019,Jun Chen and Balraj Singh,2025-10-16
23,27,V,18,,1724.5,0.4,,(8)+,1,0.14,,6,ps,0.00000000000014,0.00000000000006,,,,,,,,,,,,,,,15-Apr-2019,Jun Chen and Balraj Singh,2025-10-16
23,27,V,19,,1725.3,2.1,,(3+ 4 5 6+),1,,,,,,,,,,,,,,,,,,,,,15-Apr-2019,Jun Chen and Balraj Singh,2025-10-16
23,27,V,20,,1752.5,0.7,,3+ 4+ 5+,1,1.3,GT,,ps,0.0000000000013,,,,,,,,,,,,,,,,15-Apr-2019,Jun Chen and Balraj Singh,2025-10-16
23,27,V,21,,1761.6,0.8,,(4+ 5+),1,5,LT,,fs,0.000000000000005,,,,,,,,,,,,,,,,15-Apr-2019,Jun Chen and Balraj Singh,2025-10-16
23,27,V,22,,1762.4,1.1,,(3+ 4+ 5+),3,,,,,,,,,,,,,,,,,,,,,15-Apr-2019,Jun Chen and Balraj Singh,2025-10-16
23,27,V,23,,1812.8,1.5,,(2 3)+,1,2.9,GT,,ps,0.0000000000029,,,,,,,,,,,,,,,,15-Apr-2019,Jun Chen and Balraj Singh,2025-10-16
23,27,V,24,,1881.4,1.1,,(4+ 5+ 6+),1,15,,8,fs,0.000000000000015,0.000000000000008,,,,,,,,,,,,,,,15-Apr-2019,Jun Chen and Balraj Singh,2025-10-16
23,27,V,25,,1936,5,,(0:5)+,1,,,,,,,,,,,,,,,,,,,,,15-Apr-2019,Jun Chen and Balraj Singh,2025-10-16
23,27,V,26,,1955,4,,1+,3,,,,,,,,,,,,,,,,,,,,,15-Apr-2019,Jun Chen and Balraj Singh,2025-10-16
23,27,V,27,,1984,,,(0:7)+,1,,,,,,,,,,,,,,,,,,,,,15-Apr-2019,Jun Chen and Balraj Singh,2025-10-16
23,27,V,28,,2038,4,,3+ 4+ 5+,2,,,,,,,,,,,,,,,,,,,,,15-Apr-2019,Jun Chen and Balraj Singh,2025-10-16
23,27,V,29,,2111,4,,3+ 4+ 5+,3,,,,,,,,,,,,,,,,,,,,,15-Apr-2019,Jun Chen and Balraj Singh,2025-10-16
23,27,V,30,,2132,7,,3+ 4+ 5+,4,,,,,,,,,,,,,,,,,,,,,15-Apr-2019,Jun Chen and Balraj Singh,2025-10-16
23,27,V,31,,2162,5,,3- 4-,1,,,,,,,,,,,,,,,,,,,,,15-Apr-2019,Jun Chen and Balraj Singh,2025-10-16
23,27,V,32,,2313.3,2.3,,2+ 3+ 4+ 5+,1,,,,,,,,,,,,,,,,,,,,,15-Apr-2019,Jun Chen and Balraj Singh,2025-10-16
23,27,V,33,,2344,5,,3+ 4+ 5+,5,,,,,,,,,,,,,,,,,,,,,15-Apr-2019,Jun Chen and Balraj Singh,2025-10-16
23,27,V,34,,2398,8,,(2:5)+,1,,,,,,,,,,,,,,,,,,,,,15-Apr-2019,Jun Chen and Balraj Singh,2025-10-16
23,27,V,35,,2424,4,,3- 4-,2,,,,,,,,,,,,,,,,,,,,,15-Apr-2019,Jun Chen and Balraj Singh,2025-10-16
23,27,V,36,,2425,8,,1+,4,,,,,,,,,,,,,,,,,,,,,15-Apr-2019,Jun Chen and Balraj Singh,2025-10-16
23,27,V,37,,2455,5,,3+ 4+ 5+,6,,,,,,,,,,,,,,,,,,,,,15-Apr-2019,Jun Chen and Balraj Singh,2025-10-16
23,27,V,38,,2478.2,0.7,,(9)+,1,0.24,,+28-14,ps,0.00000000000024,0.00000000000021,,,,,,,,,,,,,,,15-Apr-2019,Jun Chen and Balraj Singh,2025-10-16
23,27,V,39,,2482,6,,(0:7)+,2,,,,,,,,,,,,,,,,,,,,,15-Apr-2019,Jun Chen and Balraj Singh,2025-10-16
23,27,V,40,,2495,7,,(0:7)+,3,,,,,,,,,,,,,,,,,,,,,15-Apr-2019,Jun Chen and Balraj Singh,2025-10-16
23,27,V,41,,2511,5,,3- 4-,3,,,,,,,,,,,,,,,,,,,,,15-Apr-2019,Jun Chen and Balraj Singh,2025-10-16
23,27,V,42,,2532,10,,1+,5,,,,,,,,,,,,,,,,,,,,,15-Apr-2019,Jun Chen and Balraj Singh,2025-10-16
23,27,V,43,,2533,5,,3- 4-,4,,,,,,,,,,,,,,,,,,,,,15-Apr-2019,Jun Chen and Balraj Singh,2025-10-16
23,27,V,44,,2597,5,,3- 4-,5,,,,,,,,,,,,,,,,,,,,,15-Apr-2019,Jun Chen and Balraj Singh,2025-10-16
23,27,V,45,,2652,8,,(2:5)+,2,,,,,,,,,,,,,,,,,,,,,15-Apr-2019,Jun Chen and Balraj Singh,2025-10-16
23,27,V,46,,2736,5,,(3 4 5)+,1,,,,,,,,,,,,,,,,,,,,,15-Apr-2019,Jun Chen and Balraj Singh,2025-10-16
23,27,V,47,,2762,6,,(5 6 7)+,1,,,,,,,,,,,,,,,,,,,,,15-Apr-2019,Jun Chen and Balraj Singh,2025-10-16
23,27,V,48,,2791,5,,1+ 2+ 3+,1,,,,,,,,,,,,,,,,,,,,,15-Apr-2019,Jun Chen and Balraj Singh,2025-10-16
23,27,V,49,,2816,8,,1+,6,,,,,,,,,,,,,,,,,,,,,15-Apr-2019,Jun Chen and Balraj Singh,2025-10-16
23,27,V,50,,2828,6,,,,,,,,,,,,,,,,,,,,,,,,15-Apr-2019,Jun Chen and Balraj Singh,2025-10-16
23,27,V,51,,2842,,,(5+ 6+ 7+),1,,,,,,,,,,,,,,,,,,,,,15-Apr-2019,Jun Chen and Balraj Singh,2025-10-16
23,27,V,52,,2877,8,,3- 4-,6,,,,,,,,,,,,,,,,,,,,,15-Apr-2019,Jun Chen and Balraj Singh,2025-10-16
23,27,V,53,,2893,,,(1:6)-,1,,,,,,,,,,,,,,,,,,,,,15-Apr-2019,Jun Chen and Balraj Singh,2025-10-16
23,27,V,54,,2928,5,,(0:7)+,4,,,,,,,,,,,,,,,,,,,,,15-Apr-2019,Jun Chen and Balraj Singh,2025-10-16
23,27,V,55,,2957,9,,(1:6)-,2,,,,,,,,,,,,,,,,,,,,,15-Apr-2019,Jun Chen and Balraj Singh,2025-10-16
23,27,V,56,,2966,9,,(3:5)+,1,,,,,,,,,,,,,,,,,,,,,15-Apr-2019,Jun Chen and Balraj Singh,2025-10-16
23,27,V,57,,2991,6,,1+,7,,,,,,,,,,,,,,,,,,,,,15-Apr-2019,Jun Chen and Balraj Singh,2025-10-16
23,27,V,58,,3014,8,,(3:7)+,1,,,,,,,,,,,,,,,,,,,,,15-Apr-2019,Jun Chen and Balraj Singh,2025-10-16
23,27,V,59,,3096,8,,(2:5)+,3,,,,,,,,,,,,,,,,,,,,,15-Apr-2019,Jun Chen and Balraj Singh,2025-10-16
23,27,V,60,,3111,8,,(1:6)-,3,,,,,,,,,,,,,,,,,,,,,15-Apr-2019,Jun Chen and Balraj Singh,2025-10-16
23,27,V,61,,3139,8,,3+,4,,,,,,,,,,,,,,,,,,,,,15-Apr-2019,Jun Chen and Balraj Singh,2025-10-16
23,27,V,62,,3169,8,,1+ 2+ 3+,2,,,,,,,,,,,,,,,,,,,,,15-Apr-2019,Jun Chen and Balraj Singh,2025-10-16
23,27,V,63,,3202,8,,3- 4-,7,,,,,,,,,,,,,,,,,,,,,15-Apr-2019,Jun Chen and Balraj Singh,2025-10-16
23,27,V,64,,3219,6,,1+,8,,,,,,,,,,,,,,,,,,,,,15-Apr-2019,Jun Chen and Balraj Singh,2025-10-16
23,27,V,65,,3269,8,,3+ 4+ 5+,7,,,,,,,,,,,,,,,,,,,,,15-Apr-2019,Jun Chen and Balraj Singh,2025-10-16
23,27,V,66,,3293,7,,3+ 4+ 5+,8,,,,,,,,,,,,,,,,,,,,,15-Apr-2019,Jun Chen and Balraj Singh,2025-10-16
23,27,V,67,,3311,7,,,,,,,,,,,,,,,,,,,,,,,,15-Apr-2019,Jun Chen and Balraj Singh,2025-10-16
23,27,V,68,,3402,15,,(0:7)+,5,,,,,,,,,,,,,,,,,,,,,15-Apr-2019,Jun Chen and Balraj Singh,2025-10-16
