z,n,symbol,idx,energy_shift,energy,unc_e,ripl_shift,jp,jp_order,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hl,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_mn,electric_quadrupole,unc_eq,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
24,27,Cr,0,,0,,,7/2-,1,27.704,,4,d,2393625.6,345.6,EC,100,,,,,,,,,-0.93,0.005,,,1-Mar-2016,Wang Jimin and Huang Xiaolong,2025-10-16
24,27,Cr,1,,749.1,0.08,,3/2-,1,7.35,,3,ns,0.00000000735,0.00000000003,,,,,,,,,,,-0.86,0.12,,,1-Mar-2016,Wang Jimin and Huang Xiaolong,2025-10-16
24,27,Cr,2,,776.95,0.17,,1/2-,1,5.53,,7,ns,0.00000000553,0.00000000007,,,,,,,,,,,,,,,1-Mar-2016,Wang Jimin and Huang Xiaolong,2025-10-16
24,27,Cr,3,,1164.59,0.14,,9/2-,1,73,,7,fs,0.000000000000073,0.000000000000007,,,,,,,,,,,,,,,1-Mar-2016,Wang Jimin and Huang Xiaolong,2025-10-16
24,27,Cr,4,,1352.65,0.17,,5/2-,1,3.8,,+24-14,ps,0.0000000000038,0.0000000000019,,,,,,,,,,,,,,,1-Mar-2016,Wang Jimin and Huang Xiaolong,2025-10-16
24,27,Cr,5,,1480.07,0.16,,11/2-,1,0.55,,+24-4,ps,0.00000000000055,0.00000000000014,,,,,,,,,,,,,,,1-Mar-2016,Wang Jimin and Huang Xiaolong,2025-10-16
24,27,Cr,6,,1557.26,0.13,,7/2-,2,4.2,,+17-10,ps,0.0000000000042,0.00000000000135,,,,,,,,,,,,,,,1-Mar-2016,Wang Jimin and Huang Xiaolong,2025-10-16
24,27,Cr,7,,1899.2,0.3,,3/2-,2,0.29,,+3-2,ps,0.00000000000029,0.000000000000025,,,,,,,,,,,,,,,1-Mar-2016,Wang Jimin and Huang Xiaolong,2025-10-16
24,27,Cr,8,,2001.91,0.21,,5/2-,2,17,,2,fs,0.000000000000017,0.000000000000002,,,,,,,,,,,,,,,1-Mar-2016,Wang Jimin and Huang Xiaolong,2025-10-16
24,27,Cr,9,,2255.5,0.3,,15/2-,1,45.8,,14,ps,0.0000000000458,0.0000000000014,,,,,,,,,,,,,,,1-Mar-2016,Wang Jimin and Huang Xiaolong,2025-10-16
24,27,Cr,10,,2312.58,0.17,,7/2-,3,15,,4,fs,0.000000000000015,0.000000000000004,,,,,,,,,,,,,,,1-Mar-2016,Wang Jimin and Huang Xiaolong,2025-10-16
24,27,Cr,11,,2379.46,0.14,,9/2-,2,0.31,,8,ps,0.00000000000031,0.00000000000008,,,,,,,,,,,,,,,1-Mar-2016,Wang Jimin and Huang Xiaolong,2025-10-16
24,27,Cr,12,,2385.4,0.4,,13/2-,1,58,,12,fs,0.000000000000058,0.000000000000012,,,,,,,,,,,,,,,1-Mar-2016,Wang Jimin and Huang Xiaolong,2025-10-16
24,27,Cr,13,,2500,,,,,,,,,,,,,,,,,,,,,,,,,1-Mar-2016,Wang Jimin and Huang Xiaolong,2025-10-16
24,27,Cr,14,,2699,10,,5/2- 7/2-,1,,,,,,,,,,,,,,,,,,,,,1-Mar-2016,Wang Jimin and Huang Xiaolong,2025-10-16
24,27,Cr,15,,2704.39,0.19,,11/2-,2,85,,3,fs,0.000000000000085,0.000000000000003,,,,,,,,,,,,,,,1-Mar-2016,Wang Jimin and Huang Xiaolong,2025-10-16
