z,n,symbol,idx,energy_shift,energy,unc_e,ripl_shift,jp,jp_order,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hl,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_mn,electric_quadrupole,unc_eq,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
28,27,Ni,0,,0,,,7/2-,1,203.7,,20,ms,0.2037,0.002,EC+B+,100,,,,,,,,,-0.98,0.03,,,30-Apr-2022,Balraj Singh,2025-10-16
28,27,Ni,1,,2085.4,0.4,,3/2-,1,,,,,,,,,,,,,,,,,,,,,30-Apr-2022,Balraj Singh,2025-10-16
28,27,Ni,2,,2465.5,0.4,,(3/2-),1,,,,,,,,,,,,,,,,,,,,,30-Apr-2022,Balraj Singh,2025-10-16
28,27,Ni,3,,2587,1,,(5/2-),1,,,,,,,,,,,,,,,,,,,,,30-Apr-2022,Balraj Singh,2025-10-16
28,27,Ni,4,,2802,0.4,,(1/2-),1,,,,,,,,,,,,,,,,,,,,,30-Apr-2022,Balraj Singh,2025-10-16
28,27,Ni,5,,2842,8,,,,,,,,,,,,,,,,,,,,,,,,30-Apr-2022,Balraj Singh,2025-10-16
28,27,Ni,6,,2882.1,2,,(11/2)-,1,,,,,,,,,,,,,,,,,,,,,30-Apr-2022,Balraj Singh,2025-10-16
28,27,Ni,7,,3182.7,0.4,,(5/2-),2,,,,,,,,,,,,,,,,,,,,,30-Apr-2022,Balraj Singh,2025-10-16
28,27,Ni,8,,3186,4,,1/2+,1,,,,,,,,,,,,,,,,,,,,,30-Apr-2022,Balraj Singh,2025-10-16
28,27,Ni,9,,3214.1,0.7,,(1/2-),2,,,,,,,,,,,,,,,,,,,,,30-Apr-2022,Balraj Singh,2025-10-16
28,27,Ni,10,,3502,15,,,,,,,,,,,,,,,,,,,,,,,,30-Apr-2022,Balraj Singh,2025-10-16
28,27,Ni,11,,3583.1,2.3,,(13/2-),1,,,,,,,,,,,,,,,,,,,,,30-Apr-2022,Balraj Singh,2025-10-16
28,27,Ni,12,,3593.7,0.6,,(5/2-),3,,,,,,,,,,,,,,,,,,,,,30-Apr-2022,Balraj Singh,2025-10-16
28,27,Ni,13,,3617.1,2.3,,(15/2-),1,,,,,,,,,,,,,,,,,,,,,30-Apr-2022,Balraj Singh,2025-10-16
28,27,Ni,14,,3759,4,,(3/2)+,1,,,,,,,,,,,,,,,,,,,,,30-Apr-2022,Balraj Singh,2025-10-16
28,27,Ni,15,,3784,15,,,,,,,,,,,,,,,,,,,,,,,,30-Apr-2022,Balraj Singh,2025-10-16
28,27,Ni,16,,3808.3,0.8,,(1/2- 3/2-),1,,,,,,,,,,,,,,,,,,,,,30-Apr-2022,Balraj Singh,2025-10-16
28,27,Ni,17,,4026.8,0.6,,(1/2 3/2-),1,,,,,,,,,,,,,,,,,,,,,30-Apr-2022,Balraj Singh,2025-10-16
28,27,Ni,18,,4046,9,,,,,,,,,,,,,,,,,,,,,,,,30-Apr-2022,Balraj Singh,2025-10-16
28,27,Ni,19,,4444,10,,,,,,,,,,,,,,,,,,,,,,,,30-Apr-2022,Balraj Singh,2025-10-16
28,27,Ni,20,,4483.1,2.5,,(17/2-),1,,,,,,,,,,,,,,,,,,,,,30-Apr-2022,Balraj Singh,2025-10-16
28,27,Ni,21,,4579.4,0.5,,(3/2-),2,,,,,,,,,,,,,,,,,,,,,30-Apr-2022,Balraj Singh,2025-10-16
28,27,Ni,22,,4599.3,0.4,,(3/2-),3,,,,,,,,,,,,,,,,,,,,,30-Apr-2022,Balraj Singh,2025-10-16
28,27,Ni,23,,4616,11,,,,,,,,,,,,,,,,,,,,,,,,30-Apr-2022,Balraj Singh,2025-10-16
28,27,Ni,24,,4743,12,,,,,,,,,,,,,,,,,,,,,,,,30-Apr-2022,Balraj Singh,2025-10-16
28,27,Ni,25,,4983,11,,,,,,,,,,,,,,,,,,,,,,,,30-Apr-2022,Balraj Singh,2025-10-16
28,27,Ni,26,,5075.5,0.9,,(1/2 3/2 5/2),1,,,,,,,,,,,,,,,,,,,,,30-Apr-2022,Balraj Singh,2025-10-16
28,27,Ni,27,,5178,11,,,,,,,,,,,,,,,,,,,,,,,,30-Apr-2022,Balraj Singh,2025-10-16
28,27,Ni,28,,5389,12,,,,,,,,,,,,,,,,,,,,,,,,30-Apr-2022,Balraj Singh,2025-10-16
28,27,Ni,29,,5876,13,,,,,,,,,,,,,,,,,,,,,,,,30-Apr-2022,Balraj Singh,2025-10-16
28,27,Ni,30,,5937,13,,,,,,,,,,,,,,,,,,,,,,,,30-Apr-2022,Balraj Singh,2025-10-16
28,27,Ni,31,,6600,50,,,,,,,,,,,,,,,,,,,,,,,,30-Apr-2022,Balraj Singh,2025-10-16
28,27,Ni,32,,6870,50,,,,,,,,,,,,,,,,,,,,,,,,30-Apr-2022,Balraj Singh,2025-10-16

