z,n,symbol,idx,energy_shift,energy,unc_e,ripl_shift,jp,jp_order,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hl,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_mn,electric_quadrupole,unc_eq,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
26,33,Fe,0,,0,,,3/2-,1,44.490,,9,d,3843936,777.6,B-,100,,,,,,,,,-0.3358,0.0004,,,1-Apr-2018,M. Shamsuzzoha Basunia,2025-10-16
26,33,Fe,1,,287.023,0.019,,1/2-,1,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,M. Shamsuzzoha Basunia,2025-10-16
26,33,Fe,2,,472.87,0.09,,5/2-,1,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,M. Shamsuzzoha Basunia,2025-10-16
26,33,Fe,3,,568.81,0.2,,(3/2-),1,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,M. Shamsuzzoha Basunia,2025-10-16
26,33,Fe,4,,570.87,0.04,,(5/2)-,1,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,M. Shamsuzzoha Basunia,2025-10-16
26,33,Fe,5,,613.05,0.16,,,,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,M. Shamsuzzoha Basunia,2025-10-16
26,33,Fe,6,,642.8,0.3,,,,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,M. Shamsuzzoha Basunia,2025-10-16
26,33,Fe,7,,726.43,0.04,,3/2-,2,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,M. Shamsuzzoha Basunia,2025-10-16
26,33,Fe,8,,1023.14,0.07,,7/2-,1,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,M. Shamsuzzoha Basunia,2025-10-16
26,33,Fe,9,,1077.8,0.12,,1/2- 3/2-,1,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,M. Shamsuzzoha Basunia,2025-10-16
26,33,Fe,10,,1162.09,0.04,,3/2-,3,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,M. Shamsuzzoha Basunia,2025-10-16
26,33,Fe,11,,1211.32,0.11,,1/2-,2,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,M. Shamsuzzoha Basunia,2025-10-16
26,33,Fe,12,,1517.23,0.15,,9/2+,1,145,,25,ps,0.000000000145,0.000000000025,,,,,,,,,,,,,,,1-Apr-2018,M. Shamsuzzoha Basunia,2025-10-16
26,33,Fe,13,,1569.9,0.08,,5/2-,2,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,M. Shamsuzzoha Basunia,2025-10-16
26,33,Fe,14,,1599.09,0.13,,(9/2-),1,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,M. Shamsuzzoha Basunia,2025-10-16
26,33,Fe,15,,1648,10,,5/2+,1,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,M. Shamsuzzoha Basunia,2025-10-16
26,33,Fe,16,,1749.88,0.15,,3/2- 5/2-,1,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,M. Shamsuzzoha Basunia,2025-10-16
26,33,Fe,17,,1918.91,0.05,,3/2 5/2+,1,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,M. Shamsuzzoha Basunia,2025-10-16
26,33,Fe,18,,1937.1,1.3,,,,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,M. Shamsuzzoha Basunia,2025-10-16
26,33,Fe,19,,1961.97,0.06,,1/2-,3,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,M. Shamsuzzoha Basunia,2025-10-16
26,33,Fe,20,,2161.9,0.9,,1/2 3/2 5/2+,1,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,M. Shamsuzzoha Basunia,2025-10-16
26,33,Fe,21,,2277.9,0.4,,,,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,M. Shamsuzzoha Basunia,2025-10-16
26,33,Fe,22,,2312.19,0.21,,(13/2+),1,4.7,,6,ps,0.0000000000047,0.0000000000006,,,,,,,,,,,,,,,1-Apr-2018,M. Shamsuzzoha Basunia,2025-10-16
26,33,Fe,23,,2322.4,0.6,,1/2 3/2 5/2+,2,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,M. Shamsuzzoha Basunia,2025-10-16
26,33,Fe,24,,2348.2,0.4,,(1/2 3/2 5/2-),1,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,M. Shamsuzzoha Basunia,2025-10-16
26,33,Fe,25,,2349,0.9,,(7/2)-,1,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,M. Shamsuzzoha Basunia,2025-10-16
26,33,Fe,26,,2390,10,,,,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,M. Shamsuzzoha Basunia,2025-10-16
26,33,Fe,27,,2415.04,0.17,,(11/2-),1,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,M. Shamsuzzoha Basunia,2025-10-16
26,33,Fe,28,,2447.28,0.06,,(3/2),1,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,M. Shamsuzzoha Basunia,2025-10-16
26,33,Fe,29,,2484.03,0.24,,(13/2+),2,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,M. Shamsuzzoha Basunia,2025-10-16
