z,n,symbol,idx,energy_shift,energy,unc_e,ripl_shift,jp,jp_order,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hl,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_mn,electric_quadrupole,unc_eq,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
27,38,Co,0,,0,,,(7/2)-,1,1.16,,3,s,1.16,0.03,B-,100,,,,,,,,,,,,,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-16
27,38,Co,1,,882.54,0.09,,(3/2-),1,,,,,,,,,,,,,,,,,,,,,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-16
27,38,Co,2,,1094.99,0.16,,(1/2-),1,,,,,,,,,,,,,,,,,,,,,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-16
27,38,Co,3,,1222.62,0.1,,(3/2-),2,,,,,,,,,,,,,,,,,,,,,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-16
27,38,Co,4,,1441.1,0.4,,(5/2- 7/2-),1,,,,,,,,,,,,,,,,,,,,,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-16
27,38,Co,5,,1479.41,0.19,,(9/2-),1,,,,,,,,,,,,,,,,,,,,,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-16
27,38,Co,6,,1625.5,0.4,,(5/2- 7/2-),2,,,,,,,,,,,,,,,,,,,,,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-16
27,38,Co,7,,1642.17,0.24,,(11/2-),1,,,,,,,,,,,,,,,,,,,,,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-16
27,38,Co,8,,1958.8,0.3,,(1/2- 3/2-),1,,,,,,,,,,,,,,,,,,,,,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-16
27,38,Co,9,,1996.28,0.24,,(3/2-),3,,,,,,,,,,,,,,,,,,,,,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-16
27,38,Co,10,,2183.19,0.22,,(1/2- 3/2-),2,,,,,,,,,,,,,,,,,,,,,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-16
27,38,Co,11,,2443.3,0.4,,,,,,,,,,,,,,,,,,,,,,,,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-16
27,38,Co,12,,2478.9,0.3,,(11/2-),2,,,,,,,,,,,,,,,,,,,,,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-16
27,38,Co,13,,2557.6,0.3,,,,,,,,,,,,,,,,,,,,,,,,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-16
27,38,Co,14,,2669.23,0.22,,(13/2-),1,,,,,,,,,,,,,,,,,,,,,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-16
27,38,Co,15,,2891.9,0.3,,,,,,,,,,,,,,,,,,,,,,,,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-16
27,38,Co,16,,2896.1,0.4,,,,,,,,,,,,,,,,,,,,,,,,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-16
27,38,Co,17,,2926.2,0.3,,,,,,,,,,,,,,,,,,,,,,,,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-16
27,38,Co,18,,3028.4,0.3,,(15/2-),1,,,,,,,,,,,,,,,,,,,,,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-16
27,38,Co,19,,3271.2,0.4,,(15/2- 17/2+),1,,,,,,,,,,,,,,,,,,,,,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-16

