z,n,symbol,idx,energy_shift,energy,unc_e,ripl_shift,jp,jp_order,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hl,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_mn,electric_quadrupole,unc_eq,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
29,37,Cu,0,,0,,,1+,1,5.120,,14,m,307.2,0.84,B-,100,,,,,,,,,-0.2823,0.0008,0.059,0.014,3-Mar-2009,E. BROWNE and  J. K. TULI,2025-10-16
29,37,Cu,1,,185.953,0.015,,2+,1,,,,,,,,,,,,,,,,,,,,,3-Mar-2009,E. BROWNE and  J. K. TULI,2025-10-16
29,37,Cu,2,,237.822,0.011,,,,,,,,,,,,,,,,,,,,,,,,3-Mar-2009,E. BROWNE and  J. K. TULI,2025-10-16
29,37,Cu,3,,275.03,0.017,,3+,1,,,,,,,,,,,,,,,,,,,,,3-Mar-2009,E. BROWNE and  J. K. TULI,2025-10-16
29,37,Cu,4,,385.782,0.01,,(1+),1,,,,,,,,,,,,,,,,,,,,,3-Mar-2009,E. BROWNE and  J. K. TULI,2025-10-16
29,37,Cu,5,,465.165,0.01,,2+,2,,,,,,,,,,,,,,,,,,,,,3-Mar-2009,E. BROWNE and  J. K. TULI,2025-10-16
29,37,Cu,6,,590.75,0.02,,4+,1,,,,,,,,,,,,,,,,,,,,,3-Mar-2009,E. BROWNE and  J. K. TULI,2025-10-16
29,37,Cu,7,,679,,,,,,,,,,,,,,,,,,,,,,,,,3-Mar-2009,E. BROWNE and  J. K. TULI,2025-10-16
29,37,Cu,8,,729.824,0.018,,3+,2,,,,,,,,,,,,,,,,,,,,,3-Mar-2009,E. BROWNE and  J. K. TULI,2025-10-16
29,37,Cu,9,,822.691,0.01,,2+,3,,,,,,,,,,,,,,,,,,,,,3-Mar-2009,E. BROWNE and  J. K. TULI,2025-10-16
29,37,Cu,10,,884,7,,,,,,,,,,,,,,,,,,,,,,,,3-Mar-2009,E. BROWNE and  J. K. TULI,2025-10-16
29,37,Cu,11,,916,,,,,,,,,,,,,,,,,,,,,,,,,3-Mar-2009,E. BROWNE and  J. K. TULI,2025-10-16
29,37,Cu,12,,1008.49,0.1,,,,,,,,,,,,,,,,,,,,,,,,3-Mar-2009,E. BROWNE and  J. K. TULI,2025-10-16
29,37,Cu,13,,1017.138,0.015,,3+,3,,,,,,,,,,,,,,,,,,,,,3-Mar-2009,E. BROWNE and  J. K. TULI,2025-10-16
29,37,Cu,14,,1052.082,0.017,,1+,2,,,,,,,,,,,,,,,,,,,,,3-Mar-2009,E. BROWNE and  J. K. TULI,2025-10-16
29,37,Cu,15,,1154.2,1.4,,(6)-,1,600,,20,ns,0.0000006,0.00000002,,,,,,,,,,,1.038,0.003,0.195,0.013,3-Mar-2009,E. BROWNE and  J. K. TULI,2025-10-16
29,37,Cu,16,,1158.09,0.04,,(2+ 3),1,,,,,,,,,,,,,,,,,,,,,3-Mar-2009,E. BROWNE and  J. K. TULI,2025-10-16
29,37,Cu,17,,1212.515,0.02,,1+ 2+,1,,,,,,,,,,,,,,,,,,,,,3-Mar-2009,E. BROWNE and  J. K. TULI,2025-10-16
29,37,Cu,18,,1247.152,0.024,,4-,1,,,,,,,,,,,,,,,,,,,,,3-Mar-2009,E. BROWNE and  J. K. TULI,2025-10-16
29,37,Cu,19,,1344.012,0.022,,1+,3,,,,,,,,,,,,,,,,,,,,,3-Mar-2009,E. BROWNE and  J. K. TULI,2025-10-16
29,37,Cu,20,,1432.2,0.9,,1+,4,,,,,,,,,,,,,,,,,,,,,3-Mar-2009,E. BROWNE and  J. K. TULI,2025-10-16
29,37,Cu,21,,1439.408,0.025,,(1+ 2 3+),1,,,,,,,,,,,,,,,,,,,,,3-Mar-2009,E. BROWNE and  J. K. TULI,2025-10-16
29,37,Cu,22,,1498,,,,,,,,,,,,,,,,,,,,,,,,,3-Mar-2009,E. BROWNE and  J. K. TULI,2025-10-16
29,37,Cu,23,,1547.39,0.04,,1+ 2+ 3+,1,,,,,,,,,,,,,,,,,,,,,3-Mar-2009,E. BROWNE and  J. K. TULI,2025-10-16
