z,n,symbol,idx,energy_shift,energy,unc_e,ripl_shift,jp,jp_order,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hl,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_mn,electric_quadrupole,unc_eq,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
30,36,Zn,0,,0,,,0+,1,STABLE,,,,,,,,,,,,,,,,,,,,3-Mar-2009,E. BROWNE and  J. K. TULI,2025-10-16
30,36,Zn,1,,1039.2279,0.0021,,2+,1,1.68,,3,ps,0.00000000000168,0.00000000000003,,,,,,,,,,,1.06,0.16,0.24,0.08,3-Mar-2009,E. BROWNE and  J. K. TULI,2025-10-16
30,36,Zn,2,,1872.7653,0.0024,,2+,2,0.19,,7,ps,0.00000000000019,0.00000000000007,,,,,,,,,,,,,,,3-Mar-2009,E. BROWNE and  J. K. TULI,2025-10-16
30,36,Zn,3,,2372.353,0.004,,0+,2,0.21,GT,,ps,0.00000000000021,,,,,,,,,,,,,,,,3-Mar-2009,E. BROWNE and  J. K. TULI,2025-10-16
30,36,Zn,4,,2451.01,0.05,,4+,1,0.34,,5,ps,0.00000000000034,0.00000000000005,,,,,,,,,,,2.2,0.8,,,3-Mar-2009,E. BROWNE and  J. K. TULI,2025-10-16
30,36,Zn,5,,2703.6,0.4,,(3),1,,,,,,,,,,,,,,,,,,,,,3-Mar-2009,E. BROWNE and  J. K. TULI,2025-10-16
30,36,Zn,6,,2762.8,0.6,,(2),1,,,,,,,,,,,,,,,,,,,,,3-Mar-2009,E. BROWNE and  J. K. TULI,2025-10-16
30,36,Zn,7,,2765.56,0.07,,4+,2,7,GT,,ps,0.000000000007,,,,,,,,,,,,,,,,3-Mar-2009,E. BROWNE and  J. K. TULI,2025-10-16
30,36,Zn,8,,2780.157,0.007,,2+,3,0.26,,7,ps,0.00000000000026,0.00000000000007,,,,,,,,,,,,,,,3-Mar-2009,E. BROWNE and  J. K. TULI,2025-10-16
30,36,Zn,9,,2826.69,0.05,,3-,1,0.180,,7,ps,0.00000000000018,0.000000000000007,,,,,,,,,,,2.1,0.9,,,3-Mar-2009,E. BROWNE and  J. K. TULI,2025-10-16
30,36,Zn,10,,2938.074,0.003,,2+,4,0.044,,16,ps,0.000000000000044,0.000000000000016,,,,,,,,,,,,,,,3-Mar-2009,E. BROWNE and  J. K. TULI,2025-10-16
30,36,Zn,11,,3030,,,(0+),1,,,,,,,,,,,,,,,,,,,,,3-Mar-2009,E. BROWNE and  J. K. TULI,2025-10-16
30,36,Zn,12,,3077.73,0.23,,4+,3,1.04,,7,ps,0.00000000000104,0.00000000000007,,,,,,,,,,,,,,,3-Mar-2009,E. BROWNE and  J. K. TULI,2025-10-16
30,36,Zn,13,,3105.04,0.004,,0+,3,,,,,,,,,,,,,,,,,,,,,3-Mar-2009,E. BROWNE and  J. K. TULI,2025-10-16
30,36,Zn,14,,3212.582,0.008,,2+,5,0.083,,+21-14,ps,0.000000000000083,0.0000000000000175,,,,,,,,,,,,,,,3-Mar-2009,E. BROWNE and  J. K. TULI,2025-10-16
30,36,Zn,15,,3226.2,1.1,,,,,,,,,,,,,,,,,,,,,,,,3-Mar-2009,E. BROWNE and  J. K. TULI,2025-10-16
30,36,Zn,16,,3228.885,0.003,,1+,1,0.12,,3,ps,0.00000000000012,0.00000000000003,,,,,,,,,,,,,,,3-Mar-2009,E. BROWNE and  J. K. TULI,2025-10-16
30,36,Zn,17,,3241.2,1.1,,,,,,,,,,,,,,,,,,,,,,,,3-Mar-2009,E. BROWNE and  J. K. TULI,2025-10-16
30,36,Zn,18,,3331.441,0.006,,2+,6,0.083,,+21-14,ps,0.000000000000083,0.0000000000000175,,,,,,,,,,,,,,,3-Mar-2009,E. BROWNE and  J. K. TULI,2025-10-16
30,36,Zn,19,,3380.944,0.004,,1-,1,20,,5,fs,0.00000000000002,0.000000000000005,,,,,,,,,,,,,,,3-Mar-2009,E. BROWNE and  J. K. TULI,2025-10-16
30,36,Zn,20,,3427.406,0.018,,1 2-,1,,,,,,,,,,,,,,,,,,,,,3-Mar-2009,E. BROWNE and  J. K. TULI,2025-10-16
30,36,Zn,21,,3432.408,0.004,,1-,2,30,,+19-8,fs,0.00000000000003,0.0000000000000135,,,,,,,,,,,,,,,3-Mar-2009,E. BROWNE and  J. K. TULI,2025-10-16
30,36,Zn,22,,3507.249,0.023,,2+,7,,,,,,,,,,,,,,,,,,,,,3-Mar-2009,E. BROWNE and  J. K. TULI,2025-10-16
30,36,Zn,23,,3523.6,0.8,,,,,,,,,,,,,,,,,,,,,,,,3-Mar-2009,E. BROWNE and  J. K. TULI,2025-10-16
30,36,Zn,24,,3531.692,0.014,,0+,4,,,,,,,,,,,,,,,,,,,,,3-Mar-2009,E. BROWNE and  J. K. TULI,2025-10-16
30,36,Zn,25,,3576.37,0.022,,4+,4,,,,,,,,,,,,,,,,,,,,,3-Mar-2009,E. BROWNE and  J. K. TULI,2025-10-16
