z,n,symbol,idx,energy_shift,energy,unc_e,ripl_shift,jp,jp_order,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hl,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_mn,electric_quadrupole,unc_eq,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
32,40,Ge,0,,0,,,0+,1,STABLE,,,,,,,,,,,,,,,,,,,,1-May-2009,D. Abriola(a) and  A.A. Sonzogni,2025-10-16
32,40,Ge,1,,691.43,0.04,,0+,2,444.2,,8,ns,0.0000004442,0.0000000008,,,,,,,,,,,,,,,1-May-2009,D. Abriola(a) and  A.A. Sonzogni,2025-10-16
32,40,Ge,2,,834.011,0.019,,2+,1,3.35,,5,ps,0.00000000000335,0.00000000000005,,,,,,,,,,,0.56,0.08,-0.13,0.06,1-May-2009,D. Abriola(a) and  A.A. Sonzogni,2025-10-16
32,40,Ge,3,,1463.99,0.03,,2+,2,4.5,,+8-6,ps,0.0000000000045,0.0000000000007,,,,,,,,,,,0.5,0.3,,,1-May-2009,D. Abriola(a) and  A.A. Sonzogni,2025-10-16
32,40,Ge,4,,1728.3,0.03,,4+,1,1.55,,16,ps,0.00000000000155,0.00000000000016,,,,,,,,,,,1,0.3,,,1-May-2009,D. Abriola(a) and  A.A. Sonzogni,2025-10-16
32,40,Ge,5,,2029,3,,0+,3,,,,,,,,,,,,,,,,,,,,,1-May-2009,D. Abriola(a) and  A.A. Sonzogni,2025-10-16
32,40,Ge,6,,2049,10,,4+,2,,,,,,,,,,,,,,,,,,,,,1-May-2009,D. Abriola(a) and  A.A. Sonzogni,2025-10-16
32,40,Ge,7,,2064.93,0.03,,3+,1,2,GE,,ps,0.000000000002,,,,,,,,,,,,,,,,1-May-2009,D. Abriola(a) and  A.A. Sonzogni,2025-10-16
32,40,Ge,8,,2116.9,0.4,,1,1,0.41,,8,fs,4.1e-16,8e-17,,,,,,,,,,,,,,,1-May-2009,D. Abriola(a) and  A.A. Sonzogni,2025-10-16
32,40,Ge,9,,2396.1,0.2,,,,,,,,,,,,,,,,,,,,,,,,1-May-2009,D. Abriola(a) and  A.A. Sonzogni,2025-10-16
32,40,Ge,10,,2402.3,0.03,,2+,3,,,,,,,,,,,,,,,,,,,,,1-May-2009,D. Abriola(a) and  A.A. Sonzogni,2025-10-16
32,40,Ge,11,,2463.9,0.03,,4+,3,1.4,,+35-7,ps,0.0000000000014,0.0000000000021,,,,,,,,,,,,,,,1-May-2009,D. Abriola(a) and  A.A. Sonzogni,2025-10-16
32,40,Ge,12,,2505,5,,,,,,,,,,,,,,,,,,,,,,,,1-May-2009,D. Abriola(a) and  A.A. Sonzogni,2025-10-16
