z,n,symbol,idx,energy_shift,energy,unc_e,ripl_shift,jp,jp_order,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hl,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_mn,electric_quadrupole,unc_eq,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
33,40,As,0,,0,,,3/2-,1,80.30,,6,d,6937920,5184,EC,100,,,,,,,,,,,,,16-May-2019,BALRAJ SINGH and JUN CHEN,2025-10-16
33,40,As,1,,67.035,0.009,,5/2-,1,4.95,,7,ns,0.00000000495,0.00000000007,,,,,,,,,,,1.63,0.1,0.353,0.012,16-May-2019,BALRAJ SINGH and JUN CHEN,2025-10-16
33,40,As,2,,84.32,0.03,,(1/2)-,1,,,,,,,,,,,,,,,,,,,,,16-May-2019,BALRAJ SINGH and JUN CHEN,2025-10-16
33,40,As,3,,253.98,0.018,,(1/2)-,2,,,,,,,,,,,,,,,,,,,,,16-May-2019,BALRAJ SINGH and JUN CHEN,2025-10-16
33,40,As,4,,393.422,0.013,,3/2-,2,,,,,,,,,,,,,,,,,,,,,16-May-2019,BALRAJ SINGH and JUN CHEN,2025-10-16
33,40,As,5,,427.902,0.021,,9/2+,1,5.7,,2,us,0.0000057,0.0000002,IT,100,,,,,,,,,5.234,0.014,,,16-May-2019,BALRAJ SINGH and JUN CHEN,2025-10-16
33,40,As,6,,510.054,0.017,,(5/2)+,1,,,,,,,,,,,,,,,,,,,,,16-May-2019,BALRAJ SINGH and JUN CHEN,2025-10-16
33,40,As,7,,574.55,0.03,,(1/2)-,3,,,,,,,,,,,,,,,,,,,,,16-May-2019,BALRAJ SINGH and JUN CHEN,2025-10-16
33,40,As,8,,577.894,0.016,,5/2-,2,,,,,,,,,,,,,,,,,,,,,16-May-2019,BALRAJ SINGH and JUN CHEN,2025-10-16
33,40,As,9,,628,5,,,,,,,,,,,,,,,,,,,,,,,,16-May-2019,BALRAJ SINGH and JUN CHEN,2025-10-16
33,40,As,10,,655.46,0.019,,3/2-,3,,,,,,,,,,,,,,,,,,,,,16-May-2019,BALRAJ SINGH and JUN CHEN,2025-10-16
