z,n,symbol,idx,energy_shift,energy,unc_e,ripl_shift,jp,jp_order,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hl,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_mn,electric_quadrupole,unc_eq,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
35,41,Br,0,,0,,,1-,1,16.14,,20,h,58104,720,EC+B+,100,,,,,,,,,0.5477,0.0001,0.251,0.004,8-Jan-2024,Balraj Singh and  Jun Chen and Ameenah R. Farhan,2025-10-16
35,41,Br,1,,45.475,0.02,,(2)-,1,1.13,,6,ns,0.00000000113,0.00000000006,,,,,,,,,,,,,,,8-Jan-2024,Balraj Singh and  Jun Chen and Ameenah R. Farhan,2025-10-16
35,41,Br,2,,102.578,0.028,,(4)+,1,1.31,,2,s,1.31,0.02,IT,99.7,0.3,EC+B+,0.3,0.3,,,,,,,,,8-Jan-2024,Balraj Singh and  Jun Chen and Ameenah R. Farhan,2025-10-16
35,41,Br,3,,150.53,0.12,,(0 1 2),1,,,,,,,,,,,,,,,,,,,,,8-Jan-2024,Balraj Singh and  Jun Chen and Ameenah R. Farhan,2025-10-16
35,41,Br,4,,212.39,0.21,,(3-),1,111,,28,ps,0.000000000111,0.000000000028,,,,,,,,,,,,,,,8-Jan-2024,Balraj Singh and  Jun Chen and Ameenah R. Farhan,2025-10-16
35,41,Br,5,,244.87,0.17,,(5)+,1,76,,14,ps,0.000000000076,0.000000000014,,,,,,,,,,,,,,,8-Jan-2024,Balraj Singh and  Jun Chen and Ameenah R. Farhan,2025-10-16
35,41,Br,6,,252.25,0.09,,(2)+,1,2.18,,9,ns,0.00000000218,0.00000000009,,,,,,,,,,,,,,,8-Jan-2024,Balraj Singh and  Jun Chen and Ameenah R. Farhan,2025-10-16
35,41,Br,7,,301.8,0.24,,(4-),1,0.52,,7,ns,0.00000000052,0.00000000007,,,,,,,,,,,,,,,8-Jan-2024,Balraj Singh and  Jun Chen and Ameenah R. Farhan,2025-10-16
35,41,Br,8,,315.81,0.09,,1+,1,,,,,,,,,,,,,,,,,,,,,8-Jan-2024,Balraj Singh and  Jun Chen and Ameenah R. Farhan,2025-10-16
35,41,Br,9,,317.13,0.1,,(2+),1,,,,,,,,,,,,,,,,,,,,,8-Jan-2024,Balraj Singh and  Jun Chen and Ameenah R. Farhan,2025-10-16
