z,n,symbol,idx,energy_shift,energy,unc_e,ripl_shift,jp,jp_order,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hl,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_mn,electric_quadrupole,unc_eq,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
4,3,Be,0,,0,,,3/2-,1,53.22,,6,d,4598208,5184,EC,100,,,,,,,,1/2,-1.39928,0.000004,,,23-Aug-2001,HU and  TILLEY and  KELLEY and  GODWIN et al.,2025-10-16
4,3,Be,1,,429.08,0.1,,1/2-,1,133,,17,fs,0.000000000000133,0.000000000000017,,,,,,,,,,1/2,,,,,23-Aug-2001,HU and  TILLEY and  KELLEY and  GODWIN et al.,2025-10-16
4,3,Be,2,,4570,50,,7/2-,1,175,,7,keV,2.6070726575507758e-21,1.0428290630203104e-22,A,,,3HE,,,,,,1/2,,,,,23-Aug-2001,HU and  TILLEY and  KELLEY and  GODWIN et al.,2025-10-16
4,3,Be,3,,6730,100,,5/2-,1,1.2,,,MeV,3.801980958928214e-22,0,A,,,3HE,,,,,,1/2,,,,,23-Aug-2001,HU and  TILLEY and  KELLEY and  GODWIN et al.,2025-10-16
4,3,Be,4,,7210,60,,5/2-,2,0.40,,5,MeV,1.1405942876784642e-21,1.4257428595980803e-22,P,,,3HE,,,A,,,1/2,,,,,23-Aug-2001,HU and  TILLEY and  KELLEY and  GODWIN et al.,2025-10-16
4,3,Be,5,,9270,100,,7/2-,2,,,,,,,P,,,A,,,3HE,,,1/2,,,,,23-Aug-2001,HU and  TILLEY and  KELLEY and  GODWIN et al.,2025-10-16
4,3,Be,6,,9900,,,3/2-,2,1.8,AP,,MeV,2.5346539726188094e-22,0,A,,,3HE,,,P,,,1/2,,,,,23-Aug-2001,HU and  TILLEY and  KELLEY and  GODWIN et al.,2025-10-16
4,3,Be,7,,11010,30,,3/2-,3,320,,30,keV,1.4257428595980805e-21,1.3366339308732005e-22,A,,,3HE,,,P,,,3/2,,,,,23-Aug-2001,HU and  TILLEY and  KELLEY and  GODWIN et al.,2025-10-16
4,3,Be,8,,17000,,,1/2-,2,6.5,AP,,MeV,7.019041770329011e-23,0,3HE,,,,,,,,,1/2,,,,,23-Aug-2001,HU and  TILLEY and  KELLEY and  GODWIN et al.,2025-10-16

