z,n,symbol,idx,energy_shift,energy,unc_e,ripl_shift,jp,jp_order,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hl,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_mn,electric_quadrupole,unc_eq,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
37,44,Rb,0,,0,,,3/2-,1,4.571,,4,h,16455.6,14.4,EC+B+,100,,,,,,,,,2.0591,0.0014,0.48,0.1,1-Sep-2024,M. Shamsuzzoha Basunia,2025-10-16
37,44,Rb,1,,86.31,0.06,,9/2+,1,30.5,,3,m,1830,18,IT,97.9,0.4,EC+B+,2.1,0.4,,,,,5.5969,0.0017,-0.9,0.19,1-Sep-2024,M. Shamsuzzoha Basunia,2025-10-16
37,44,Rb,2,,153.484,0.019,,5/2-,1,0.21,,10,ns,0.00000000021,0.0000000001,,,,,,,,,,,,,,,1-Sep-2024,M. Shamsuzzoha Basunia,2025-10-16
37,44,Rb,3,,188.232,0.017,,1/2- 3/2-,1,,,,,,,,,,,,,,,,,,,,,1-Sep-2024,M. Shamsuzzoha Basunia,2025-10-16
37,44,Rb,4,,245.273,0.025,,5/2+,1,,,,,,,,,,,,,,,,,,,,,1-Sep-2024,M. Shamsuzzoha Basunia,2025-10-16
37,44,Rb,5,,301.242,0.016,,(3/2)-,1,,,,,,,,,,,,,,,,,,,,,1-Sep-2024,M. Shamsuzzoha Basunia,2025-10-16
37,44,Rb,6,,433.7,0.4,,(7/2+),1,,,,,,,,,,,,,,,,,,,,,1-Sep-2024,M. Shamsuzzoha Basunia,2025-10-16
37,44,Rb,7,,443.393,0.019,,1/2(-) 3/2(-),1,,,,,,,,,,,,,,,,,,,,,1-Sep-2024,M. Shamsuzzoha Basunia,2025-10-16
37,44,Rb,8,,457,,,(5/2)-,1,,,,,,,,,,,,,,,,,,,,,1-Sep-2024,M. Shamsuzzoha Basunia,2025-10-16
37,44,Rb,9,,463,0.05,,1/2+ 3/2 5/2 7/2-,1,,,,,,,,,,,,,,,,,,,,,1-Sep-2024,M. Shamsuzzoha Basunia,2025-10-16
37,44,Rb,10,,486.69,0.05,,(5/2-),1,,,,,,,,,,,,,,,,,,,,,1-Sep-2024,M. Shamsuzzoha Basunia,2025-10-16
37,44,Rb,11,,574.737,0.023,,(1/2)-,1,,,,,,,,,,,,,,,,,,,,,1-Sep-2024,M. Shamsuzzoha Basunia,2025-10-16
37,44,Rb,12,,612.27,0.23,,7/2-,1,3.7,,3,ps,0.0000000000037,0.0000000000003,,,,,,,,,,,,,,,1-Sep-2024,M. Shamsuzzoha Basunia,2025-10-16
37,44,Rb,13,,630.59,0.06,,(5/2+),1,,,,,,,,,,,,,,,,,,,,,1-Sep-2024,M. Shamsuzzoha Basunia,2025-10-16
37,44,Rb,14,,702.165,0.035,,(1/2- 3/2),1,,,,,,,,,,,,,,,,,,,,,1-Sep-2024,M. Shamsuzzoha Basunia,2025-10-16
37,44,Rb,15,,709.18,0.27,,(13/2)+,1,6.0,,3,ps,0.000000000006,0.0000000000003,,,,,,,,,,,,,,,1-Sep-2024,M. Shamsuzzoha Basunia,2025-10-16
