z,n,symbol,idx,energy_shift,energy,unc_e,ripl_shift,jp,jp_order,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hl,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_mn,electric_quadrupole,unc_eq,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
34,48,Se,0,,0,,,0+,1,9.6E+19,,10,Y,3.029464893560832e27,3.1556925974592e26,2B-,100,,,,,,,,,,,,,1-Mar-2019,J. K. TULI and  E. BROWNE,2025-10-16
34,48,Se,1,,654.71,0.16,,2+,1,12.8,,7,ps,0.0000000000128,0.0000000000007,,,,,,,,,,,0.86,0.13,-0.22,0.07,1-Mar-2019,J. K. TULI and  E. BROWNE,2025-10-16
34,48,Se,2,,1410.22,0.17,,0+,2,30,,,ps,0.00000000003,,,,,,,,,,,,,,,,1-Mar-2019,J. K. TULI and  E. BROWNE,2025-10-16
34,48,Se,3,,1731.51,0.1,,2+,2,0.94,,11,ps,0.00000000000094,0.00000000000011,,,,,,,,,,,,,,,1-Mar-2019,J. K. TULI and  E. BROWNE,2025-10-16
34,48,Se,4,,1735.1,0.24,,4+,1,0.96,,15,ps,0.00000000000096,0.00000000000015,,,,,,,,,,,2,1.3,,,1-Mar-2019,J. K. TULI and  E. BROWNE,2025-10-16
34,48,Se,5,,2550.28,0.16,,(4+),1,1.7,,3,ps,0.0000000000017,0.0000000000003,,,,,,,,,,,,,,,1-Mar-2019,J. K. TULI and  E. BROWNE,2025-10-16
34,48,Se,6,,2624.1,0.4,,(0+),1,0.04,,1,ps,0.00000000000004,0.00000000000001,,,,,,,,,,,,,,,1-Mar-2019,J. K. TULI and  E. BROWNE,2025-10-16
34,48,Se,7,,2893.66,0.18,,5-,1,131.7,GT,,ps,0.0000000001317,,,,,,,,,,,,,,,,1-Mar-2019,J. K. TULI and  E. BROWNE,2025-10-16
34,48,Se,8,,3009.14,0.19,,3-,1,0.020,,5,ps,0.00000000000002,0.000000000000005,,,,,,,,,,,,,,,1-Mar-2019,J. K. TULI and  E. BROWNE,2025-10-16
34,48,Se,9,,3103.3,0.4,,(4+),2,,,,,,,,,,,,,,,,,,,,,1-Mar-2019,J. K. TULI and  E. BROWNE,2025-10-16
34,48,Se,10,,3144.8,0.5,,6+,1,0.39,,+13-9,ps,0.00000000000039,0.00000000000011,,,,,,,,,,,,,,,1-Mar-2019,J. K. TULI and  E. BROWNE,2025-10-16
34,48,Se,11,,3238.78,0.21,,(4+),3,0.30,,+12-8,ps,0.0000000000003,0.0000000000001,,,,,,,,,,,,,,,1-Mar-2019,J. K. TULI and  E. BROWNE,2025-10-16
34,48,Se,12,,3378.44,0.24,,(3-),1,0.12,,4,ps,0.00000000000012,0.00000000000004,,,,,,,,,,,,,,,1-Mar-2019,J. K. TULI and  E. BROWNE,2025-10-16
34,48,Se,13,,3445.9,0.4,,0+,3,,,,,,,,,,,,,,,,,,,,,1-Mar-2019,J. K. TULI and  E. BROWNE,2025-10-16
34,48,Se,14,,3454.15,0.2,,(5-),1,,,,,,,,,,,,,,,,,,,,,1-Mar-2019,J. K. TULI and  E. BROWNE,2025-10-16
34,48,Se,15,,3517.8,0.5,,8+,1,6.6,,4,ns,0.0000000066,0.0000000004,IT,100,,,,,,,,,,,,,1-Mar-2019,J. K. TULI and  E. BROWNE,2025-10-16
34,48,Se,16,,3591.67,0.2,,2+,3,0.28,,+12-8,ps,0.00000000000028,0.0000000000001,,,,,,,,,,,,,,,1-Mar-2019,J. K. TULI and  E. BROWNE,2025-10-16
34,48,Se,17,,3631.26,0.21,,(0+),2,,,,,,,,,,,,,,,,,,,,,1-Mar-2019,J. K. TULI and  E. BROWNE,2025-10-16
34,48,Se,18,,3664,0.4,,2+,4,,,,,,,,,,,,,,,,,,,,,1-Mar-2019,J. K. TULI and  E. BROWNE,2025-10-16
34,48,Se,19,,3667.5,0.3,,(1 2+),1,,,,,,,,,,,,,,,,,,,,,1-Mar-2019,J. K. TULI and  E. BROWNE,2025-10-16
34,48,Se,20,,3688.9,0.6,,(4+),4,,,,,,,,,,,,,,,,,,,,,1-Mar-2019,J. K. TULI and  E. BROWNE,2025-10-16
34,48,Se,21,,3757,0.5,,2+,5,,,,,,,,,,,,,,,,,,,,,1-Mar-2019,J. K. TULI and  E. BROWNE,2025-10-16
34,48,Se,22,,3794.9,0.5,,(7-),1,,,,,,,,,,,,,,,,,,,,,1-Mar-2019,J. K. TULI and  E. BROWNE,2025-10-16
34,48,Se,23,,3798,4,,(4+),5,,,,,,,,,,,,,,,,,,,,,1-Mar-2019,J. K. TULI and  E. BROWNE,2025-10-16
34,48,Se,24,,3831,0.6,,0+,4,,,,,,,,,,,,,,,,,,,,,1-Mar-2019,J. K. TULI and  E. BROWNE,2025-10-16
34,48,Se,25,,3865.06,0.25,,(3-),2,,,,,,,,,,,,,,,,,,,,,1-Mar-2019,J. K. TULI and  E. BROWNE,2025-10-16
34,48,Se,26,,3917.9,0.6,,2+,6,,,,,,,,,,,,,,,,,,,,,1-Mar-2019,J. K. TULI and  E. BROWNE,2025-10-16
34,48,Se,27,,4034.5,0.4,,2+,7,0.17,,+10-5,ps,0.00000000000017,0.000000000000075,,,,,,,,,,,,,,,1-Mar-2019,J. K. TULI and  E. BROWNE,2025-10-16
34,48,Se,28,,4088,0.4,,(4- 5-),1,,,,,,,,,,,,,,,,,,,,,1-Mar-2019,J. K. TULI and  E. BROWNE,2025-10-16
34,48,Se,29,,4094.3,0.3,,(5-),2,,,,,,,,,,,,,,,,,,,,,1-Mar-2019,J. K. TULI and  E. BROWNE,2025-10-16
