z,n,symbol,idx,energy_shift,energy,unc_e,ripl_shift,jp,jp_order,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hl,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_mn,electric_quadrupole,unc_eq,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
36,48,Kr,0,,0,,,0+,1,STABLE,,,,,,,,,,,,,,,,,,,,30-Sep-2009,J.K. Tuli and  A. Luca and  S. Juutinen and  and B. Singh,2025-10-16
36,48,Kr,1,,881.615,0.003,,2+,1,4.05,,13,ps,0.00000000000405,0.00000000000013,,,,,,,,,,,0.54,0.08,,,30-Sep-2009,J.K. Tuli and  A. Luca and  S. Juutinen and  and B. Singh,2025-10-16
36,48,Kr,2,,1837.3,2,,0+,2,25,,10,ps,0.000000000025,0.00000000001,,,,,,,,,,,,,,,30-Sep-2009,J.K. Tuli and  A. Luca and  S. Juutinen and  and B. Singh,2025-10-16
36,48,Kr,3,,1897.783,0.01,,2+,2,0.24,,5,ps,0.00000000000024,0.00000000000005,,,,,,,,,,,,,,,30-Sep-2009,J.K. Tuli and  A. Luca and  S. Juutinen and  and B. Singh,2025-10-16
36,48,Kr,4,,2095,0.07,,4+,1,0.66,,13,ps,0.00000000000066,0.00000000000013,,,,,,,,,,,,,,,30-Sep-2009,J.K. Tuli and  A. Luca and  S. Juutinen and  and B. Singh,2025-10-16
36,48,Kr,5,,2345.46,0.07,,4+,2,24,,3,ps,0.000000000024,0.000000000003,,,,,,,,,,,,,,,30-Sep-2009,J.K. Tuli and  A. Luca and  S. Juutinen and  and B. Singh,2025-10-16
36,48,Kr,6,,2489.2,0.4,,(2+ 3-),1,,,,,,,,,,,,,,,,,,,,,30-Sep-2009,J.K. Tuli and  A. Luca and  S. Juutinen and  and B. Singh,2025-10-16
36,48,Kr,7,,2622.98,0.17,,2+,3,0.28,,14,ps,0.00000000000028,0.00000000000014,,,,,,,,,,,,,,,30-Sep-2009,J.K. Tuli and  A. Luca and  S. Juutinen and  and B. Singh,2025-10-16
36,48,Kr,8,,2700.28,0.08,,3-,1,1.7,,+14-11,ps,0.0000000000017,0.00000000000125,,,,,,,,,,,,,,,30-Sep-2009,J.K. Tuli and  A. Luca and  S. Juutinen and  and B. Singh,2025-10-16
36,48,Kr,9,,2759.28,0.13,,2+,4,,,,,,,,,,,,,,,,,,,,,30-Sep-2009,J.K. Tuli and  A. Luca and  S. Juutinen and  and B. Singh,2025-10-16
36,48,Kr,10,,2770.94,0.09,,5-,1,7.6,,21,ps,0.0000000000076,0.0000000000021,,,,,,,,,,,,,,,30-Sep-2009,J.K. Tuli and  A. Luca and  S. Juutinen and  and B. Singh,2025-10-16
36,48,Kr,11,,2775,20,,2+,5,,,,,,,,,,,,,,,,,,,,,30-Sep-2009,J.K. Tuli and  A. Luca and  S. Juutinen and  and B. Singh,2025-10-16
36,48,Kr,12,,2861.09,0.08,,(2+ 3 4+),1,,,,,,,,,,,,,,,,,,,,,30-Sep-2009,J.K. Tuli and  A. Luca and  S. Juutinen and  and B. Singh,2025-10-16
36,48,Kr,13,,3042.11,0.07,,(2+ 3 4+),2,,,,,,,,,,,,,,,,,,,,,30-Sep-2009,J.K. Tuli and  A. Luca and  S. Juutinen and  and B. Singh,2025-10-16
36,48,Kr,14,,3082.38,0.08,,3,1,,,,,,,,,,,,,,,,,,,,,30-Sep-2009,J.K. Tuli and  A. Luca and  S. Juutinen and  and B. Singh,2025-10-16
