z,n,symbol,idx,energy_shift,energy,unc_e,ripl_shift,jp,jp_order,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hl,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_mn,electric_quadrupole,unc_eq,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
47,50,Ag,0,,0,,,(9/2+),1,25.5,,3,s,25.5,0.3,EC,100,,,,,,,,,6.13,0.12,,,19-Nov-2009,N. NICA,2025-10-17
47,50,Ag,1,,1289.91,0.2,,(13/2+),1,,,,,,,,,,,,,,,,,,,,,19-Nov-2009,N. NICA,2025-10-17
47,50,Ag,2,,2052.9,0.3,,(17/2+),1,,,,,,,,,,,,,,,,,,,,,19-Nov-2009,N. NICA,2025-10-17
47,50,Ag,3,,2343.3,0.5,,(21/2+),1,1.8,,5,ns,0.0000000018,0.0000000005,,,,,,,,,,,,,,,19-Nov-2009,N. NICA,2025-10-17
47,50,Ag,4,,4356,0.8,,(21/2+),2,,,,,,,,,,,,,,,,,,,,,19-Nov-2009,N. NICA,2025-10-17
47,50,Ag,5,,4915.2,0.7,,(23/2+),1,,,,,,,,,,,,,,,,,,,,,19-Nov-2009,N. NICA,2025-10-17
47,50,Ag,6,,5252.4,1.1,,(23/2+),2,,,,,,,,,,,,,,,,,,,,,19-Nov-2009,N. NICA,2025-10-17
47,50,Ag,7,,5822,0.8,,,,,,,,,,,,,,,,,,,,,,,,19-Nov-2009,N. NICA,2025-10-17
47,50,Ag,8,,6221.2,0.7,,(27/2+),1,,,,,,,,,,,,,,,,,,,,,19-Nov-2009,N. NICA,2025-10-17
47,50,Ag,9,,6232.4,1.2,,(25/2+),1,,,,,,,,,,,,,,,,,,,,,19-Nov-2009,N. NICA,2025-10-17
47,50,Ag,10,,6481.4,0.8,,(31/2+),1,3.7,,1,ns,0.0000000037,0.0000000001,,,,,,,,,,,,,,,19-Nov-2009,N. NICA,2025-10-17
47,50,Ag,11,,6948.5,0.8,,(33/2+),1,,,,,,,,,,,,,,,,,,,,,19-Nov-2009,N. NICA,2025-10-17

