z,n,symbol,idx,energy_shift,energy,unc_e,ripl_shift,jp,jp_order,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hl,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_mn,electric_quadrupole,unc_eq,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
46,51,Pd,0,,0,,,(5/2+),1,3.10,,9,m,186,5.4,EC+B+,100,,,,,,,,,,,,,19-Nov-2009,N. NICA,2025-10-17
46,51,Pd,1,,686.62,0.03,,(7/2+),1,,,,,,,,,,,,,,,,,,,,,19-Nov-2009,N. NICA,2025-10-17
46,51,Pd,2,,774.97,0.07,,(1/2+),1,,,,,,,,,,,,,,,,,,,,,19-Nov-2009,N. NICA,2025-10-17
46,51,Pd,3,,1043.71,0.05,,(7/2+),2,,,,,,,,,,,,,,,,,,,,,19-Nov-2009,N. NICA,2025-10-17
46,51,Pd,4,,1294.61,0.04,,(9/2+),1,,,,,,,,,,,,,,,,,,,,,19-Nov-2009,N. NICA,2025-10-17
46,51,Pd,5,,1469.9,0.5,,,,,,,,,,,,,,,,,,,,,,,,19-Nov-2009,N. NICA,2025-10-17
46,51,Pd,6,,1537.67,0.04,,(7/2+ 9/2+),1,,,,,,,,,,,,,,,,,,,,,19-Nov-2009,N. NICA,2025-10-17
46,51,Pd,7,,1631,0.5,,,,,,,,,,,,,,,,,,,,,,,,19-Nov-2009,N. NICA,2025-10-17
46,51,Pd,8,,1712.01,0.08,,(5/2+),2,,,,,,,,,,,,,,,,,,,,,19-Nov-2009,N. NICA,2025-10-17
46,51,Pd,9,,1782.3,0.06,,(5/2+),3,,,,,,,,,,,,,,,,,,,,,19-Nov-2009,N. NICA,2025-10-17
46,51,Pd,10,,1881.57,0.04,,(13/2+),1,,,,,,,,,,,,,,,,,,,,,19-Nov-2009,N. NICA,2025-10-17
46,51,Pd,11,,1925.2,0.5,,,,,,,,,,,,,,,,,,,,,,,,19-Nov-2009,N. NICA,2025-10-17
46,51,Pd,12,,1936.01,0.11,,,,,,,,,,,,,,,,,,,,,,,,19-Nov-2009,N. NICA,2025-10-17
46,51,Pd,13,,1943.46,0.04,,(11/2+),1,,,,,,,,,,,,,,,,,,,,,19-Nov-2009,N. NICA,2025-10-17
46,51,Pd,14,,1998.67,0.05,,(5/2+ 7/2+ 9/2+),1,,,,,,,,,,,,,,,,,,,,,19-Nov-2009,N. NICA,2025-10-17
46,51,Pd,15,,2116.95,0.04,,(7/2+ 9/2+),2,,,,,,,,,,,,,,,,,,,,,19-Nov-2009,N. NICA,2025-10-17
46,51,Pd,16,,2131.65,0.09,,,,,,,,,,,,,,,,,,,,,,,,19-Nov-2009,N. NICA,2025-10-17
46,51,Pd,17,,2134.63,0.04,,(7/2+ 9/2+),3,,,,,,,,,,,,,,,,,,,,,19-Nov-2009,N. NICA,2025-10-17
46,51,Pd,18,,2137.4,0.3,,,,,,,,,,,,,,,,,,,,,,,,19-Nov-2009,N. NICA,2025-10-17
46,51,Pd,19,,2141.1,0.04,,(13/2+),2,,,,,,,,,,,,,,,,,,,,,19-Nov-2009,N. NICA,2025-10-17
46,51,Pd,20,,2174.76,0.07,,(5/2+ 7/2+ 9/2+),2,,,,,,,,,,,,,,,,,,,,,19-Nov-2009,N. NICA,2025-10-17
46,51,Pd,21,,2176.22,0.04,,(9/2+),2,,,,,,,,,,,,,,,,,,,,,19-Nov-2009,N. NICA,2025-10-17
46,51,Pd,22,,2231.54,0.04,,(11/2+ 13/2+),1,,,,,,,,,,,,,,,,,,,,,19-Nov-2009,N. NICA,2025-10-17
46,51,Pd,23,,2244.21,0.08,,(17/2+),1,2.3,,5,ns,0.0000000023,0.0000000005,,,,,,,,,,,,,,,19-Nov-2009,N. NICA,2025-10-17
46,51,Pd,24,,2283.41,0.06,,(5/2+),4,,,,,,,,,,,,,,,,,,,,,19-Nov-2009,N. NICA,2025-10-17
46,51,Pd,25,,2344.81,0.05,,(7/2+ 9/2+),4,,,,,,,,,,,,,,,,,,,,,19-Nov-2009,N. NICA,2025-10-17
46,51,Pd,26,,2371.64,0.06,,(15/2+),1,,,,,,,,,,,,,,,,,,,,,19-Nov-2009,N. NICA,2025-10-17
46,51,Pd,27,,2375.75,0.05,,(9/2+ 11/2+ 13/2+),1,,,,,,,,,,,,,,,,,,,,,19-Nov-2009,N. NICA,2025-10-17
46,51,Pd,28,,2376.62,0.05,,(5/2+ 7/2+ 9/2+),3,,,,,,,,,,,,,,,,,,,,,19-Nov-2009,N. NICA,2025-10-17
46,51,Pd,29,,2395.68,0.05,,(11/2+),2,,,,,,,,,,,,,,,,,,,,,19-Nov-2009,N. NICA,2025-10-17
46,51,Pd,30,,2417.07,0.11,,,,,,,,,,,,,,,,,,,,,,,,19-Nov-2009,N. NICA,2025-10-17
46,51,Pd,31,,2446.87,0.21,,,,,,,,,,,,,,,,,,,,,,,,19-Nov-2009,N. NICA,2025-10-17
46,51,Pd,32,,2469.05,0.17,,(19/2+),1,,,,,,,,,,,,,,,,,,,,,19-Nov-2009,N. NICA,2025-10-17
