z,n,symbol,idx,energy_shift,energy,unc_e,ripl_shift,jp,jp_order,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hl,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_mn,electric_quadrupole,unc_eq,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
38,60,Sr,0,,0,,,0+,1,0.653,,2,s,0.653,0.002,B-,100,,B-N,0.23,0.03,,,,,,,,,15-Feb-2020,Jun Chen and  Balraj Singh,2025-10-16
38,60,Sr,1,,144.7,0.05,,2+,1,2.78,,8,ns,0.00000000278,0.00000000008,,,,,,,,,,,0.76,0.14,-0.5,0.2,15-Feb-2020,Jun Chen and  Balraj Singh,2025-10-16
38,60,Sr,2,,215.64,0.1,,0+,2,22.9,,17,ns,0.0000000229,0.0000000017,,,,,,,,,,,,,,,15-Feb-2020,Jun Chen and  Balraj Singh,2025-10-16
38,60,Sr,3,,434.07,0.07,,4+,1,82,,6,ps,0.000000000082,0.000000000006,,,,,,,,,,,-1.9,0.2,-2.1,0.2,15-Feb-2020,Jun Chen and  Balraj Singh,2025-10-16
38,60,Sr,4,,867.37,0.09,,6+,1,7.86,,24,ps,0.00000000000786,0.00000000000024,,,,,,,,,,,-1.2,0.3,-1.3,0.2,15-Feb-2020,Jun Chen and  Balraj Singh,2025-10-16
38,60,Sr,5,,871.34,0.12,,(2+),1,8.6,,14,ps,0.0000000000086,0.0000000000014,,,,,,,,,,,0.02,0.12,0.03,0.2,15-Feb-2020,Jun Chen and  Balraj Singh,2025-10-16
38,60,Sr,6,,1224.4,0.3,,(0+ 1),1,,,,,,,,,,,,,,,,,,,,,15-Feb-2020,Jun Chen and  Balraj Singh,2025-10-16
38,60,Sr,7,,1433.65,0.13,,8+,1,2.97,,48,ps,0.00000000000297,0.00000000000048,,,,,,,,,,,-1,0.8,-0.9,0.9,15-Feb-2020,Jun Chen and  Balraj Singh,2025-10-16
38,60,Sr,8,,1539.42,0.16,,(2+),2,,,,,,,,,,,,,,,,,,,,,15-Feb-2020,Jun Chen and  Balraj Singh,2025-10-16
38,60,Sr,9,,1600.69,0.14,,(2+),3,,,,,,,,,,,,,,,,,,,,,15-Feb-2020,Jun Chen and  Balraj Singh,2025-10-16
38,60,Sr,10,,1681.45,0.18,,(4+),1,,,,,,,,,,,,,,,,,,,,,15-Feb-2020,Jun Chen and  Balraj Singh,2025-10-16
38,60,Sr,11,,1745.3,0.4,,,,,,,,,,,,,,,,,,,,,,,,15-Feb-2020,Jun Chen and  Balraj Singh,2025-10-16
38,60,Sr,12,,1837.94,0.15,,(3+),1,7.5,,15,ns,0.0000000075,0.0000000015,,,,,,,,,,,,,,,15-Feb-2020,Jun Chen and  Balraj Singh,2025-10-16
38,60,Sr,13,,1922.4,0.4,,,,,,,,,,,,,,,,,,,,,,,,15-Feb-2020,Jun Chen and  Balraj Singh,2025-10-16
38,60,Sr,14,,1964.16,0.2,,(1 2+),1,,,,,,,,,,,,,,,,,,,,,15-Feb-2020,Jun Chen and  Balraj Singh,2025-10-16
38,60,Sr,15,,1978.53,0.17,,(4+),2,,,,,,,,,,,,,,,,,,,,,15-Feb-2020,Jun Chen and  Balraj Singh,2025-10-16
38,60,Sr,16,,2043.1,1,,,,,,,,,,,,,,,,,,,,,,,,15-Feb-2020,Jun Chen and  Balraj Singh,2025-10-16
38,60,Sr,17,,2123.15,0.24,,10+,1,1.07,,17,ps,0.00000000000107,0.00000000000017,,,,,,,,,,,,,,,15-Feb-2020,Jun Chen and  Balraj Singh,2025-10-16
38,60,Sr,18,,2124.23,0.13,,(1+:4+),1,,,,,,,,,,,,,,,,,,,,,15-Feb-2020,Jun Chen and  Balraj Singh,2025-10-16
38,60,Sr,19,,2153.61,0.25,,(5+),1,,,,,,,,,,,,,,,,,,,,,15-Feb-2020,Jun Chen and  Balraj Singh,2025-10-16
38,60,Sr,20,,2182.1,1.5,,,,,,,,,,,,,,,,,,,,,,,,15-Feb-2020,Jun Chen and  Balraj Singh,2025-10-16
38,60,Sr,21,,2206.09,0.2,,(3),1,,,,,,,,,,,,,,,,,,,,,15-Feb-2020,Jun Chen and  Balraj Singh,2025-10-16
38,60,Sr,22,,2231.38,0.14,,(2 3 4+),1,,,,,,,,,,,,,,,,,,,,,15-Feb-2020,Jun Chen and  Balraj Singh,2025-10-16
38,60,Sr,23,,2237.6,0.4,,,,,,,,,,,,,,,,,,,,,,,,15-Feb-2020,Jun Chen and  Balraj Singh,2025-10-16
38,60,Sr,24,,2289.2,0.3,,,,,,,,,,,,,,,,,,,,,,,,15-Feb-2020,Jun Chen and  Balraj Singh,2025-10-16
38,60,Sr,25,,2316.14,0.21,,(2+),4,,,,,,,,,,,,,,,,,,,,,15-Feb-2020,Jun Chen and  Balraj Singh,2025-10-16
38,60,Sr,26,,2359.14,0.24,,(2+ 3 4+),1,,,,,,,,,,,,,,,,,,,,,15-Feb-2020,Jun Chen and  Balraj Singh,2025-10-16
38,60,Sr,27,,2361.1,0.6,,(6+),1,,,,,,,,,,,,,,,,,,,,,15-Feb-2020,Jun Chen and  Balraj Singh,2025-10-16
38,60,Sr,28,,2432.23,0.15,,(6+),2,,,,,,,,,,,,,,,,,,,,,15-Feb-2020,Jun Chen and  Balraj Singh,2025-10-16
38,60,Sr,29,,2534.3,0.6,,(6+),3,4.5,,10,ns,0.0000000045,0.000000001,,,,,,,,,,,,,,,15-Feb-2020,Jun Chen and  Balraj Singh,2025-10-16
38,60,Sr,30,,2574.8,0.8,,,,,,,,,,,,,,,,,,,,,,,,15-Feb-2020,Jun Chen and  Balraj Singh,2025-10-16
38,60,Sr,31,,2602.7,0.8,,(7+),1,,,,,,,,,,,,,,,,,,,,,15-Feb-2020,Jun Chen and  Balraj Singh,2025-10-16
38,60,Sr,32,,2771.9,0.6,,(7+),2,,,,,,,,,,,,,,,,,,,,,15-Feb-2020,Jun Chen and  Balraj Singh,2025-10-16
38,60,Sr,33,,2804.4,0.3,,(1 2+),2,,,,,,,,,,,,,,,,,,,,,15-Feb-2020,Jun Chen and  Balraj Singh,2025-10-16
38,60,Sr,34,,2818.27,0.18,,(7+),3,,,,,,,,,,,,,,,,,,,,,15-Feb-2020,Jun Chen and  Balraj Singh,2025-10-16
38,60,Sr,35,,2873.5,0.9,,(8+),1,,,,,,,,,,,,,,,,,,,,,15-Feb-2020,Jun Chen and  Balraj Singh,2025-10-16
38,60,Sr,36,,2899.5,1,,,,,,,,,,,,,,,,,,,,,,,,15-Feb-2020,Jun Chen and  Balraj Singh,2025-10-16
38,60,Sr,37,,2927.7,0.4,,(12+),1,0.46,,7,ps,0.00000000000046,0.00000000000007,,,,,,,,,,,,,,,15-Feb-2020,Jun Chen and  Balraj Singh,2025-10-16
38,60,Sr,38,,2932.3,0.4,,(2+ 3 4),1,,,,,,,,,,,,,,,,,,,,,15-Feb-2020,Jun Chen and  Balraj Singh,2025-10-16
38,60,Sr,39,,3041.4,0.7,,(8+),2,,,,,,,,,,,,,,,,,,,,,15-Feb-2020,Jun Chen and  Balraj Singh,2025-10-16
38,60,Sr,40,,3162.7,1,,,,,,,,,,,,,,,,,,,,,,,,15-Feb-2020,Jun Chen and  Balraj Singh,2025-10-16
38,60,Sr,41,,3174.6,1,,(9+),1,,,,,,,,,,,,,,,,,,,,,15-Feb-2020,Jun Chen and  Balraj Singh,2025-10-16
38,60,Sr,42,,3290.5,0.4,,(1 2+),3,,,,,,,,,,,,,,,,,,,,,15-Feb-2020,Jun Chen and  Balraj Singh,2025-10-16
38,60,Sr,43,,3341.4,1.2,,(9+),2,,,,,,,,,,,,,,,,,,,,,15-Feb-2020,Jun Chen and  Balraj Singh,2025-10-16
38,60,Sr,44,,3442.7,0.4,,(3),2,,,,,,,,,,,,,,,,,,,,,15-Feb-2020,Jun Chen and  Balraj Singh,2025-10-16
38,60,Sr,45,,3445.7,1.4,,,,,,,,,,,,,,,,,,,,,,,,15-Feb-2020,Jun Chen and  Balraj Singh,2025-10-16
38,60,Sr,46,,3462.7,0.4,,(2+:4),1,,,,,,,,,,,,,,,,,,,,,15-Feb-2020,Jun Chen and  Balraj Singh,2025-10-16
38,60,Sr,47,,3510.7,1.1,,(10+),1,,,,,,,,,,,,,,,,,,,,,15-Feb-2020,Jun Chen and  Balraj Singh,2025-10-16
38,60,Sr,48,,3622.7,0.5,,(1 2+),4,,,,,,,,,,,,,,,,,,,,,15-Feb-2020,Jun Chen and  Balraj Singh,2025-10-16
38,60,Sr,49,,3671,1.6,,(10+),2,,,,,,,,,,,,,,,,,,,,,15-Feb-2020,Jun Chen and  Balraj Singh,2025-10-16

