z,n,symbol,radius,unc_r,abundance,unc_a,energy_shift,energy,unc_e,ripl_shift,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_md,electric_quadrupole,unc_eq,qbm,unc_qb,qbm_n,unc_qbmn,qa,unc_qa,qec,unc_qec,sn,unc_sn,sp,unc_sp,binding,unc_ba,atomic_mass,unc_am,massexcess,unc_me,me_systematics,discovery,ENSDFpublicationcut-off,ENSDFauthors,Extraction_date
1,0,H,0.8783,0.0086,99.9855,0.0078,,0,,,1/2+,STABLE,,,,,,,,,,,,,,,,2.792847351,0.000000009,,,,,,,,,-782.347,0,,,0,0,0,0,1007825.032,0.000014,7288.971064,0.000013,N,1920,31-Oct-05,BALRAJ SINGH,10/18/23
1,1,H,2.1421,0.0088,0.0145,0.0078,,0,,,1+,STABLE,,,,,,,,,,,,,,,,0.857438231,0.000000005,0.0028578,0.0000003,,,,,,,,,2224.5662,0.0004,2224.5662,0.0004,1112.2831,0.0002,2014101.778,0.000015,13135.7229,0.000015,N,1932,1-May-03,J.H. KELLEY and  J.L. GODWIN,10/18/23
2,1,He,1.9661,0.003,0.0002,0.0002,,0,,,1/2+,STABLE,,,,,,,,,,,,,,,,-2.12762531,0.00000003,,,-13736,2000,,,,,-18.592,0,,,5493.4751,0.0001,2572.68044,0.00015,3016029.322,0.00006,14931.21888,0.00006,N,1934,30-Jun-15,J.E. Purcell{+#} and  C.G. Sheu{+*},10/18/23
2,2,He,1.6755,0.0028,99.9998,0.0002,,0,,,0+,STABLE,,,,,,,,,,,,,,,0,,,,,-22898.274,212.132,-34313,2000,0,0,-22196.213,100,20577.6211,0.0005,19813.8661,0.0002,7073.9156,0.0002,4002603.254,0.00016,2424.91587,0.00015,N,1908,8-Oct-91,J. H. KELLEY and  D. R. TILLEY and  H.R. WELLER AND G.M. HALE,10/18/23
3,3,Li,2.589,0.039,4.85,1.71,,0,,,1+,STABLE,,,,,,,,,,,,,,,0,0.822043,0.000003,-0.000806,0.000006,-4288.1534,5.4478,-31123,2003,-1473.7583,0.0015,-3505.215,0.053,5663.3245,50,4433.3246,20,5332.3312,0.0003,6015122.887,0.00155,14086.88044,0.00144,N,1921,23-Aug-01,HU and  TILLEY and  KELLEY et al.,10/18/23
3,4,Li,2.444,0.042,95.15,1.71,,0,,,3/2-,STABLE,,,,,,,,,,,,,,,2-Jan,3.256407,0.000012,-0.04,0.0003,-861.893,0.0707,-11539.2472,5.4478,-2467.6221,0.0042,-11166.023,7.559,7251.0939,0.0045,9973.9616,0.0531,5606.4401,0.0006,7016003.434,0.0045,14907.10463,0.00419,N,1921,23-Aug-01,HU and  TILLEY and  KELLEY and  GODWIN et al.,10/18/23
4,5,Be,2.519,0.012,100,,,0,,,3/2-,STABLE,,,,,,,,,,,,,,,2-Jan,-1.17743,0.000005,0.0529,0.0004,-1068.0349,0.8994,-19644.4361,1.0028,-2307.6989,20.0001,-13606.454,0.201,1664.5388,0.0843,16886.3247,0.0898,6462.6693,0.0085,9012183.062,0.082,11348.451,0.076,N,1921,31-Mar-04,J.H. KELLEY and  C.G. SHEU and  J.L. GODWIN and  ET AL.,10/18/23
5,5,B,2.4277,0.0499,19.65,0.44,,0,,,3+,STABLE,,,,,,,,,,,,,,,0,1.8004636,0.0000008,0.0846,0.0002,-3648.0623,0.0687,-24931.6787,2.1367,-4461.1857,0.015,-556.876,0.082,8437.1932,0.9027,6586.8113,0.0779,6475.0835,0.0015,10012936.86,0.016,12050.611,0.015,N,1920,31-Mar-04,J.H. KELLEY and  C.G.SHEU AND J.L. GODWIN and  ET AL.,10/18/23
5,6,B,2.406,0.0294,80.35,0.44,,0,,,3/2-,STABLE,,,,,,,,,,,,,,,2-Jan,2.688378,0.000001,0.04059,0.0001,-1981.6889,0.0608,-15102.2829,0.0714,-8664.3124,0.0128,-11509.461,0.238,11454.2206,0.0192,11228.7495,0.0818,6927.7323,0.0011,11009305.17,0.013,8667.708,0.012,N,1920,1-Jan-11,J.H. KELLEY and  C.G. SHEU,10/18/23
6,6,C,2.4702,0.0022,98.94,0.06,,0,,,0+,STABLE,,,,,,,,,,,,,,,0,,,0.06,0.03,-17338.0681,0.9999,-32436.962,5.0005,-7366.5875,0.0354,-13369.398,1.321,18720.7151,0.0596,15956.6792,0.0121,7680.1446,0.0002,12000000,0,0,0,N,1919,1-Jan-17,J.H. KELLEY and  J.E. Purcell and C.G. SHEU,10/18/23
